ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
FTNT,10-Q,2025-07-18,0001065280-25-000323,https://www.sec.gov/Archives/edgar/data/0001065280/000106528025000323/nflx-20250630.htm,0,,,10-Q - 2025-07-18,metadata_only
FTNT,8-K,2025-07-17,0001065280-25-000322,https://www.sec.gov/Archives/edgar/data/0001065280/000106528025000322/nflx-20250717.htm,0,,,8-K - 2025-07-17,metadata_only
FTNT,8-K,2025-06-24,0001065280-25-000287,https://www.sec.gov/Archives/edgar/data/0001065280/000106528025000287/nflx-20250622.htm,0,,,8-K - 2025-06-24,metadata_only
FTNT,8-K,2025-06-06,0001065280-25-000286,https://www.sec.gov/Archives/edgar/data/0001065280/000106528025000286/nflx-20250605.htm,0,,,8-K - 2025-06-06,metadata_only
FTNT,10-Q,2025-04-18,0001065280-25-000176,https://www.sec.gov/Archives/edgar/data/0001065280/000106528025000176/nflx-20250331.htm,0,,,10-Q - 2025-04-18,metadata_only
FTNT,DEF 14A,2025-04-17,0001193125-25-084425,https://www.sec.gov/Archives/edgar/data/0001193125/000119312525084425/d867701ddef14a.htm,0,,,DEF 14A - 2025-04-17,metadata_only
FTNT,8-K,2025-04-17,0001065280-25-000175,https://www.sec.gov/Archives/edgar/data/0001065280/000106528025000175/nflx-20250411.htm,0,,,8-K - 2025-04-17,metadata_only
FTNT,10-K,2025-01-27,0001065280-25-000044,https://www.sec.gov/Archives/edgar/data/0001065280/000106528025000044/nflx-20241231.htm,0,,,10-K - 2025-01-27,metadata_only
FTNT,8-K,2025-01-21,0001065280-25-000033,https://www.sec.gov/Archives/edgar/data/0001065280/000106528025000033/nflx-20250121.htm,0,,,8-K - 2025-01-21,metadata_only
FTNT,10-Q,2024-10-18,0001065280-24-000287,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000287/nflx-20240930.htm,0,,,10-Q - 2024-10-18,metadata_only
FTNT,8-K,2024-10-17,0001065280-24-000286,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000286/nflx-20241017.htm,0,,,8-K - 2024-10-17,metadata_only
FTNT,8-K,2024-08-01,0001140361-24-035325,https://www.sec.gov/Archives/edgar/data/0001140361/000114036124035325/ny20032950x5_8k.htm,0,,,8-K - 2024-08-01,metadata_only
FTNT,10-Q,2024-07-19,0001065280-24-000200,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000200/nflx-20240630.htm,0,,,10-Q - 2024-07-19,metadata_only
FTNT,8-K,2024-07-18,0001065280-24-000199,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000199/nflx-20240718.htm,0,,,8-K - 2024-07-18,metadata_only
FTNT,8-K,2024-06-07,0001065280-24-000185,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000185/nflx-20240606.htm,0,,,8-K - 2024-06-07,metadata_only
FTNT,10-Q,2024-04-22,0001065280-24-000128,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000128/nflx-20240331.htm,0,,,10-Q - 2024-04-22,metadata_only
FTNT,DEF 14A,2024-04-18,0001193125-24-100913,https://www.sec.gov/Archives/edgar/data/0001193125/000119312524100913/d521836ddef14a.htm,0,,,DEF 14A - 2024-04-18,metadata_only
FTNT,8-K,2024-04-18,0001065280-24-000127,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000127/nflx-20240412.htm,0,,,8-K - 2024-04-18,metadata_only
FTNT,10-K,2024-01-26,0001065280-24-000030,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000030/nflx-20231231.htm,0,,,10-K - 2024-01-26,metadata_only
FTNT,8-K,2024-01-23,0001065280-24-000029,https://www.sec.gov/Archives/edgar/data/0001065280/000106528024000029/nflx-20240123.htm,0,,,8-K - 2024-01-23,metadata_only
FTNT,8-K,2023-12-08,0001065280-23-000334,https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000334/nflx-20231206.htm,0,,,8-K - 2023-12-08,metadata_only
FTNT,10-Q,2023-10-20,0001065280-23-000273,https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000273/nflx-20230930.htm,0,,,10-Q - 2023-10-20,metadata_only
FTNT,8-K,2023-10-18,0001065280-23-000272,https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000272/nflx-20231018.htm,0,,,8-K - 2023-10-18,metadata_only
