"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 08/12/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.41,BABA,"ALIBABA GRP-ADR",BP41ZD1,80.91,"846,906.00","68,523,164.46"
3.38,META,"META PLATFORMS INC",B7TL820,515.95,"131,876.00","68,041,422.20"
3.38,NOW,"SERVICENOW INC",B80NXX8,806.62,"84,188.00","67,907,724.56"
3.30,IBM,IBM,2005973,189.48,"350,075.00","66,332,211.00"
3.29,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,48.13,"1,375,043.00","66,183,353.44"
3.16,NFLX,"NETFLIX INC",2857817,633.14,"100,256.00","63,476,083.84"
3.14,CRM,"SALESFORCE INC",2310525,251.31,"251,684.00","63,250,706.04"
3.12,ADBE,"ADOBE INC",2008154,530.93,"118,054.00","62,678,410.22"
3.10,CSCO,"CISCO SYSTEMS INC",2198163,44.86,"1,390,190.00","62,363,923.40"
3.10,AAPL,"APPLE INC",2046251,217.53,"286,441.00","62,309,510.73"
3.05,ACN,"ACCENTURE PLC-CL A",B4BNMY3,313.96,"195,114.00","61,257,991.44"
2.97,ORCL,"ORACLE CORP",2661568,132.58,"450,364.00","59,709,259.12"
2.93,MSFT,"MICROSOFT CORP",2588173,406.81,"144,878.00","58,937,819.18"
2.91,"005930 KS","SAMSUNG ELECTRON",6771720,55.03,"1,064,800.00","58,597,179.20"
2.91,AVGO,"BROADCOM INC",BDZ78H9,148.62,"393,538.00","58,487,617.56"
2.87,AMZN,"AMAZON.COM INC",2000019,166.80,"345,746.00","57,670,432.80"
2.86,GOOGL,"ALPHABET INC-CL A",BYVY8G0,162.29,"354,515.00","57,534,239.35"
2.85,NVDA,"NVIDIA CORP",2379504,109.02,"525,729.00","57,314,975.58"
2.70,QCOM,"QUALCOMM INC",2714923,162.89,"333,334.00","54,296,775.26"
2.57,TSLA,"TESLA INC",B616C79,197.49,"261,594.00","51,662,199.06"
2.57,UBER,"UBER TECHNOLOGIES INC",BK6N347,69.26,"745,496.00","51,633,052.96"
2.44,"SIE GR","SIEMENS AG-REG",5727973,171.84,"285,809.00","49,114,195.39"
1.86,MU,"MICRON TECHNOLOGY INC",2588184,94.64,"395,619.00","37,441,382.16"
1.67,"000660 KS","SK HYNIX INC",6450267,129.01,"259,691.00","33,503,631.33"
1.47,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,68.31,"431,503.00","29,475,969.93"
1.46,INTC,"INTEL CORP",2463247,19.36,"1,518,792.00","29,403,813.12"
1.41,SNPS,"SYNOPSYS INC",2867719,520.84,"54,549.00","28,411,301.16"
1.31,"3690 HK","MEITUAN-CLASS B",BGJW376,13.35,"1,974,415.00","26,355,605.76"
1.29,CDNS,"CADENCE DESIGN SYS INC",2302232,266.64,"97,106.00","25,892,343.84"
1.28,TRI,"THOMSON REUTERS CORP",BNBXPB4,160.65,"160,724.00","25,820,310.60"
1.09,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,240.16,"91,224.00","21,908,355.84"
0.95,FTNT,"FORTINET INC",B5B2106,70.36,"271,124.00","19,076,284.64"
0.79,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,210.57,"75,694.00","15,938,885.58"
0.76,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,33.10,"464,120.00","15,362,600.82"
0.76,TTD,"TRADE DESK INC-A",BD8FDD1,97.04,"157,980.00","15,330,379.20"
0.73,"EXPN LN","EXPERIAN PLC",B19NLV4,45.06,"326,354.00","14,705,480.28"
0.72,"WKL NA","WOLTERS KLUWER",5671519,163.97,"88,292.00","14,477,421.05"
