"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/05/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.43,IBM,IBM,2005973,202.59,"348,915.00","70,686,689.85"
3.40,NOW,"SERVICENOW INC",B80NXX8,835.40,"83,908.00","70,096,743.20"
3.37,BABA,"ALIBABA GRP-ADR",BP41ZD1,82.43,"844,106.00","69,579,657.58"
3.31,NFLX,"NETFLIX INC",2857817,683.62,"99,916.00","68,304,575.92"
3.30,CSCO,"CISCO SYSTEMS INC",2198163,49.13,"1,385,590.00","68,074,036.70"
3.29,META,"META PLATFORMS INC",B7TL820,516.86,"131,436.00","67,934,010.96"
3.24,ADBE,"ADOBE INC",2008154,567.93,"117,674.00","66,830,594.82"
3.21,ACN,"ACCENTURE PLC-CL A",B4BNMY3,340.93,"194,474.00","66,302,020.82"
3.18,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,47.90,"1,371,043.00","65,668,807.48"
3.10,ORCL,"ORACLE CORP",2661568,142.61,"448,884.00","64,015,347.24"
3.08,AAPL,"APPLE INC",2046251,222.38,"285,501.00","63,489,712.38"
2.99,CRM,"SALESFORCE INC",2310525,246.12,"250,844.00","61,737,725.28"
2.97,AMZN,"AMAZON.COM INC",2000019,177.89,"344,606.00","61,301,961.34"
2.91,TSLA,"TESLA INC",B616C79,230.17,"260,734.00","60,013,144.78"
2.91,AVGO,"BROADCOM INC",BDZ78H9,152.82,"392,238.00","59,941,811.16"
2.86,MSFT,"MICROSOFT CORP",2588173,408.39,"144,398.00","58,970,699.22"
2.72,NVDA,"NVIDIA CORP",2379504,107.21,"523,989.00","56,176,860.69"
2.69,GOOGL,"ALPHABET INC-CL A",BYVY8G0,157.24,"353,335.00","55,558,395.40"
2.66,"005930 KS","SAMSUNG ELECTRON",6771720,51.67,"1,061,280.00","54,832,137.78"
2.64,QCOM,"QUALCOMM INC",2714923,163.70,"332,234.00","54,386,705.80"
2.57,UBER,"UBER TECHNOLOGIES INC",BK6N347,71.25,"743,036.00","52,941,315.00"
2.53,"SIE GR","SIEMENS AG-REG",5727973,183.05,"284,869.00","52,144,399.22"
1.71,MU,"MICRON TECHNOLOGY INC",2588184,89.39,"394,319.00","35,248,175.41"
1.50,"000660 KS","SK HYNIX INC",6450267,119.36,"258,831.00","30,893,044.85"
1.46,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,70.11,"430,083.00","30,153,119.13"
1.46,"3690 HK","MEITUAN-CLASS B",BGJW376,15.30,"1,968,415.00","30,122,488.68"
1.42,INTC,"INTEL CORP",2463247,19.40,"1,513,772.00","29,367,176.80"
1.30,TRI,"THOMSON REUTERS CORP",BNBXPB4,168.00,"160,184.00","26,910,912.00"
1.25,SNPS,"SYNOPSYS INC",2867719,476.03,"54,369.00","25,881,275.07"
1.18,CDNS,"CADENCE DESIGN SYS INC",2302232,250.85,"96,786.00","24,278,768.10"
1.04,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,236.70,"90,924.00","21,521,710.80"
0.99,FTNT,"FORTINET INC",B5B2106,75.80,"270,224.00","20,482,979.20"
0.94,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,255.79,"75,454.00","19,300,378.66"
0.79,TTD,"TRADE DESK INC-A",BD8FDD1,103.54,"157,460.00","16,303,408.40"
0.75,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,33.29,"462,580.00","15,397,808.69"
0.74,"EXPN LN","EXPERIAN PLC",B19NLV4,47.09,"325,274.00","15,317,434.36"
0.71,"WKL NA","WOLTERS KLUWER",5671519,166.52,"87,992.00","14,652,172.70"
0.69,"6702 JP","FUJITSU LIMITED",6356945,19.58,"731,175.00","14,315,647.54"
0.68,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,87.29,"161,467.00","14,094,454.43"
0.59,DDOG,"DATADOG INC - CLASS A",BKT9Y49,110.09,"109,695.00","12,076,322.55"
0.51,EBAY,"EBAY INC",2293819,59.12,"177,293.00","10,481,562.16"
0.50,ROK,"ROCKWELL AUTOMATION INC",2754060,256.92,"40,183.00","10,323,816.36"
0.47,"6954 JP","FANUC CORP",6356934,27.43,"353,916.00","9,707,916.13"
0.42,"6701 JP","NEC CORP",6640400,89.87,"96,861.00","8,704,905.41"
0.42,"5803 JP","FUJIKURA LTD",6356707,27.22,"318,226.00","8,662,610.07"
0.42,ZS,"ZSCALER INC",BZ00V34,162.25,"53,376.00","8,660,256.00"
0.42,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,414.60,"20,741.00","8,599,218.60"
0.41,BIDU,"BAIDU INC - SPON ADR",B0FXT17,82.81,"102,093.00","8,454,321.33"
0.40,HPE,"HEWLETT PACKA",BYVYWS0,17.64,"462,549.00","8,159,364.36"
