"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 06/17/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.95,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,65.42,"2,086,343.00","136,479,544.77"
3.62,NFLX,"NETFLIX INC",2857817,"1,220.67","102,460.00","125,069,848.20"
3.56,PLTR,"PALANTIR TECHN-A",BN78DQ4,138.20,"890,600.00","123,080,920.00"
3.33,"005930 KS","SAMSUNG ELECTRON",6771720,42.64,"2,705,407.00","115,356,044.84"
3.26,ORCL,"ORACLE CORP",2661568,208.18,"542,233.00","112,882,065.94"
3.23,BABA,"ALIBABA GRP-ADR",BP41ZD1,115.03,"971,572.00","111,759,927.16"
3.20,META,"META PLATFORMS INC",B7TL820,697.23,"158,727.00","110,669,226.21"
3.13,MSFT,"MICROSOFT CORP",2588173,478.04,"226,118.00","108,093,448.72"
3.09,IBM,IBM,2005973,283.05,"377,719.00","106,913,362.95"
3.07,CSCO,"CISCO SYSTEMS INC",2198163,65.33,"1,624,467.00","106,126,429.11"
3.03,AVGO,"BROADCOM INC",BDZ78H9,249.37,"420,711.00","104,912,702.07"
2.86,NVDA,"NVIDIA CORP",2379504,144.12,"686,551.00","98,945,730.12"
2.78,TSM,"TAIWAN SEMIC-ADR",2113382,213.90,"450,225.00","96,303,127.50"
2.67,AMZN,"AMAZON.COM INC",2000019,214.82,"429,375.00","92,238,337.50"
2.60,GOOGL,"ALPHABET INC-CL A",BYVY8G0,175.95,"510,642.00","89,847,459.90"
2.59,NOW,"SERVICENOW INC",B80NXX8,"1,004.91","89,118.00","89,555,569.38"
2.56,AAPL,"APPLE INC",2046251,195.64,"452,061.00","88,441,214.04"
2.51,ACN,"ACCENTURE PLC-CL A",B4BNMY3,312.03,"278,391.00","86,866,343.73"
2.43,AMD,"ADVANCED MICRO DEVICES",2007849,127.10,"662,617.00","84,218,620.70"
2.33,"SIE GR","SIEMENS AG-REG",5727973,246.68,"326,489.00","80,537,440.78"
2.29,CRM,"SALESFORCE INC",2310525,262.34,"302,221.00","79,285,866.02"
2.24,TSLA,"TESLA INC",B616C79,316.35,"244,867.00","77,463,675.45"
2.11,UBER,"UBER TECHNOLOGIES INC",BK6N347,84.76,"859,873.00","72,882,835.48"
2.03,QCOM,"QUALCOMM INC",2714923,154.46,"453,733.00","70,083,599.18"
1.97,ADBE,"ADOBE INC",2008154,382.68,"177,806.00","68,042,800.08"
1.58,MU,"MICRON TECHNOLOGY INC",2588184,120.34,"454,964.00","54,750,367.76"
1.57,"000660 KS","SK HYNIX INC",6450267,182.74,"297,359.00","54,339,051.08"
1.53,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,106.53,"495,305.00","52,764,841.65"
1.27,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,360.45,"121,838.00","43,916,507.10"
1.15,"3690 HK","MEITUAN-CLASS B",BGJW376,17.59,"2,265,815.00","39,862,041.26"
1.06,INTC,"INTEL CORP",2463247,20.80,"1,755,313.00","36,510,510.40"
1.04,TRI,"THOMSON REUTERS CORP",BNBXPB4,196.04,"183,634.00","35,999,609.36"
0.97,CDNS,"CADENCE DESIGN SYS INC",2302232,299.00,"112,062.00","33,506,538.00"
0.93,FTNT,"FORTINET INC",B5B2106,102.88,"312,026.00","32,101,234.88"
0.87,SNPS,"SYNOPSYS INC",2867719,475.40,"63,268.00","30,077,607.20"
0.82,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,209.45,"134,672.00","28,207,050.40"
0.71,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,69.99,"352,476.00","24,669,795.24"
0.64,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,212.83,"103,788.00","22,089,200.04"
0.62,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,40.27,"531,482.00","21,402,514.81"
0.61,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,242.70,"87,451.00","21,224,357.70"
0.59,"6702 JP","FUJITSU LIMITED",6356945,24.15,"840,679.00","20,306,228.07"
0.56,ZS,"ZSCALER INC",BZ00V34,307.31,"62,702.00","19,268,951.62"
0.56,"EXPN LN","EXPERIAN PLC",B19NLV4,51.50,"373,209.00","19,218,705.23"
0.52,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,19.79,"902,131.00","17,853,172.49"
0.51,STNE,"STONECO LTD-A",BGKG6M3,14.98,"1,173,313.00","17,576,228.74"
0.50,"6701 JP","NEC CORP",6640400,28.34,"605,210.00","17,152,966.11"
0.46,"WKL NA","WOLTERS KLUWER",5671519,165.24,"97,202.00","16,061,584.84"
0.46,DDOG,"DATADOG INC - CLASS A",BKT9Y49,124.84,"127,824.00","15,957,548.16"
0.38,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,71.14,"186,067.00","13,236,806.38"
0.38,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,43.11,"300,561.00","12,957,184.71"
0.36,TTD,"TRADE DESK INC-A",BD8FDD1,67.64,"182,631.00","12,353,160.84"
0.35,STX,"SEAGATE TECHNOLO",BKVD2N4,130.87,"92,251.00","12,072,888.37"
0.33,OKTA,"OKTA INC",BDFZSP1,98.67,"114,118.00","11,260,023.06"
0.32,CYBR,"CYBERARK SOFTWAR",BQT3XY6,390.41,"27,993.00","10,928,747.13"
0.31,"6954 JP","FANUC CORP",6356934,26.47,"403,584.00","10,682,370.08"
0.31,"2353 TT","ACER INC",6005850,1.21,"8,863,500.00","10,681,811.79"
0.30,BIDU,"BAIDU INC - SPON ADR",B0FXT17,86.01,"121,829.00","10,478,512.29"
0.30,NICE,"NICE LTD - SPON ADR",2639736,165.76,"62,738.00","10,399,450.88"
0.30,"6526 JP","SOCIONEXT INC",BMTVX75,17.94,"578,898.00","10,384,598.40"
0.30,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.28,"1,251,851.00","10,365,326.28"
0.30,TWLO,"TWILIO INC - A",BD6P5Q0,116.32,"88,833.00","10,333,054.56"
0.30,"5803 JP","FUJIKURA LTD",6356707,47.42,"214,970.00","10,194,010.95"
