"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 03/12/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.26,NVDA,"NVIDIA CORP",2379504,919.13,"71,648.00","65,853,826.24"
3.61,META,"META PLATFORMS INC",B7TL820,499.75,"111,526.00","55,735,118.50"
3.44,NFLX,"NETFLIX INC",2857817,611.08,"86,888.00","53,095,519.04"
3.17,ORCL,"ORACLE CORP",2661568,127.54,"383,843.00","48,955,336.22"
3.16,IBM,IBM,2005973,197.78,"246,664.00","48,785,205.92"
3.13,QCOM,"QUALCOMM INC",2714923,173.08,"279,733.00","48,416,187.64"
3.12,AMZN,"AMAZON.COM INC",2000019,175.39,"275,198.00","48,266,977.22"
3.07,CRM,"SALESFORCE INC",2310525,306.22,"154,739.00","47,384,176.58"
2.97,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,37.17,"1,234,143.00","45,872,002.30"
2.93,AVGO,"BROADCOM INC",BDZ78H9,"1,291.88","34,994.00","45,208,048.72"
2.91,NOW,"SERVICENOW INC",B80NXX8,789.56,"56,936.00","44,954,388.16"
2.89,MSFT,"MICROSOFT CORP",2588173,415.28,"107,567.00","44,670,423.76"
2.86,ACN,"ACCENTURE PLC-CL A",B4BNMY3,380.48,"116,132.00","44,185,903.36"
2.85,BABA,"ALIBABA GRP-ADR",BP41ZD1,76.06,"579,495.00","44,076,389.70"
2.75,"005930 KS","SAMSUNG ELECTRON",6771720,55.91,"761,312.00","42,564,486.18"
2.69,ADBE,"ADOBE INC",2008154,579.14,"71,822.00","41,594,993.08"
2.68,CSCO,"CISCO SYSTEMS INC",2198163,50.07,"826,824.00","41,399,077.68"
2.62,GOOGL,"ALPHABET INC-CL A",BYVY8G0,138.50,"291,949.00","40,434,936.50"
2.61,UBER,"UBER TECHNOLOGIES INC",BK6N347,78.32,"514,583.00","40,302,140.56"
2.59,"SIE GR","SIEMENS AG-REG",5727973,199.52,"200,413.00","39,985,448.10"
2.57,INTC,"INTEL CORP",2463247,45.24,"878,407.00","39,739,132.68"
2.46,AAPL,"APPLE INC",2046251,173.23,"219,763.00","38,069,544.49"
2.35,TSLA,"TESLA INC",B616C79,177.54,"204,798.00","36,359,836.92"
