"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 03/05/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.11,NVDA,"NVIDIA CORP",2379504,859.64,"67,002.00","57,597,599.28"
3.64,META,"META PLATFORMS INC",B7TL820,490.22,"104,001.00","50,983,370.22"
3.47,NFLX,"NETFLIX INC",2857817,598.50,"81,169.00","48,579,646.50"
3.19,AMZN,"AMAZON.COM INC",2000019,174.12,"256,837.00","44,720,458.44"
3.16,IBM,IBM,2005973,191.95,"230,109.00","44,169,422.55"
3.13,AVGO,"BROADCOM INC",BDZ78H9,"1,342.75","32,586.00","43,754,851.50"
3.08,CRM,"SALESFORCE INC",2310525,298.75,"144,505.00","43,170,868.75"
3.01,QCOM,"QUALCOMM INC",2714923,161.45,"261,071.00","42,149,912.95"
2.92,ACN,"ACCENTURE PLC-CL A",B4BNMY3,376.88,"108,306.00","40,818,365.28"
2.89,MSFT,"MICROSOFT CORP",2588173,402.65,"100,343.00","40,403,108.95"
2.84,ORCL,"ORACLE CORP",2661568,110.94,"358,258.00","39,745,142.52"
2.83,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,34.28,"1,154,043.00","39,563,648.20"
2.81,NOW,"SERVICENOW INC",B80NXX8,740.15,"53,196.00","39,373,019.40"
2.80,"005930 KS","SAMSUNG ELECTRON",6771720,55.23,"710,744.00","39,252,029.07"
2.79,BABA,"ALIBABA GRP-ADR",BP41ZD1,72.07,"540,967.00","38,987,491.69"
2.71,UBER,"UBER TECHNOLOGIES INC",BK6N347,79.09,"480,269.00","37,984,475.21"
2.70,CSCO,"CISCO SYSTEMS INC",2198163,48.95,"771,741.00","37,776,721.95"
2.61,ADBE,"ADOBE INC",2008154,544.84,"67,006.00","36,507,549.04"
2.60,"SIE GR","SIEMENS AG-REG",5727973,194.10,"187,169.00","36,329,310.81"
2.58,GOOGL,"ALPHABET INC-CL A",BYVY8G0,132.67,"272,384.00","36,137,185.28"
2.53,INTC,"INTEL CORP",2463247,43.16,"820,013.00","35,391,761.08"
2.49,AAPL,"APPLE INC",2046251,170.12,"205,014.00","34,876,981.68"
2.47,TSLA,"TESLA INC",B616C79,180.74,"191,253.00","34,567,067.22"
1.74,MU,"MICRON TECHNOLOGY INC",2588184,94.47,"257,680.00","24,343,029.60"
1.50,"000660 KS","SK HYNIX INC",6450267,124.24,"169,266.00","21,029,826.00"
1.48,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,73.47,"282,074.00","20,723,976.78"
1.42,SNPS,"SYNOPSYS INC",2867719,565.26,"35,237.00","19,918,066.62"
1.40,CDNS,"CADENCE DESIGN SYS INC",2302232,307.70,"63,471.00","19,530,026.70"
1.19,TRI,"THOMSON REUTERS CORP",BNBXPB4,156.94,"106,170.00","16,662,319.80"
1.06,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,248.46,"59,926.00","14,889,213.96"
1.03,"3690 HK","MEITUAN-CLASS B",BGJW376,11.04,"1,305,515.00","14,409,860.45"
1.00,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,"1,090.83","12,891.00","14,061,889.53"
0.93,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,266.74,"48,742.00","13,001,441.08"
0.88,FTNT,"FORTINET INC",B5B2106,69.04,"178,753.00","12,341,107.12"
0.79,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,36.05,"305,335.00","11,007,249.74"
0.70,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,91.81,"105,967.00","9,728,830.27"
0.66,"WKL NA","WOLTERS KLUWER",5671519,158.23,"58,328.00","9,229,475.13"
0.66,"EXPN LN","EXPERIAN PLC",B19NLV4,42.63,"215,081.00","9,168,581.06"
0.63,DDOG,"DATADOG INC - CLASS A",BKT9Y49,123.53,"70,820.00","8,748,394.60"
0.61,TTD,"TRADE DESK INC-A",BD8FDD1,81.45,"104,576.00","8,517,715.20"
0.56,"6702 JP","FUJITSU LIMITED",6356945,163.54,"48,042.00","7,856,730.29"
0.54,ROK,"ROCKWELL AUTOMATION INC",2754060,287.68,"26,428.00","7,602,807.04"
0.51,ZS,"ZSCALER INC",BZ00V34,206.36,"34,410.00","7,100,847.60"
0.51,"6954 JP","FANUC CORP",6356934,30.23,"234,785.00","7,097,004.50"
0.47,"5803 JP","FUJIKURA LTD",6356707,13.12,"499,173.00","6,547,704.11"
0.47,BIDU,"BAIDU INC - SPON ADR",B0FXT17,98.25,"66,552.00","6,538,734.00"
0.44,SPLK,"SPLUNK INC",B424494,156.44,"38,980.00","6,098,031.20"
0.44,EBAY,"EBAY INC",2293819,50.09,"121,703.00","6,096,103.27"
0.43,CLS,"CELESTICA INC",2262659,45.78,"130,575.00","5,977,723.50"
0.39,HPE,"HEWLETT PACKA",BYVYWS0,18.10,"302,652.00","5,478,001.20"
0.37,PEGA,"PEGASYSTEMS INC",2675860,62.10,"83,506.00","5,185,722.60"
0.35,OKTA,"OKTA INC",BDFZSP1,106.99,"46,303.00","4,953,957.97"
0.35,"4755 JP","RAKUTEN GROUP INC",6229597,5.48,"902,339.00","4,946,185.71"
0.35,"6526 JP","SOCIONEXT INC",BMTVX75,26.67,"184,917.00","4,931,284.38"
0.35,STX,"SEAGATE TECHNOLO",BKVD2N4,98.63,"49,320.00","4,864,431.60"
0.34,HUBB,"HUBBELL INC",BDFG6S3,380.65,"12,503.00","4,759,266.95"
0.34,AI,"C3.AI INC-A",BMGNBJ2,31.26,"151,163.00","4,725,355.38"
0.33,"2395 TT","ADVANTECH CO LTD",6202673,12.33,"377,357.00","4,652,829.31"
0.32,ZBRA,"ZEBRA TECH CORP",2989356,284.54,"15,838.00","4,506,544.52"
0.31,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,132.96,"32,786.00","4,359,081.34"
0.31,"6701 JP","NEC CORP",6640400,68.40,"63,546.00","4,346,691.29"
0.31,CYBR,"CYBERARK SOFTWAR",BQT3XY6,253.10,"16,920.00","4,282,452.00"
0.30,INFA,"INFORMATICA INC - CLASS A",BMG95P4,31.70,"131,996.00","4,184,273.20"
0.30,WIX,"WIX.COM LTD",BFZCHN7,136.53,"30,643.00","4,183,688.79"
0.30,VRNT,"VERINT SYSTEMS INC",2849193,30.40,"136,883.00","4,161,243.20"
0.30,CCCS,"CCC INTELLIGENT",BP4CXL8,11.52,"359,191.00","4,137,880.32"
0.30,"AMP IM","AMPLIFON SPA",B14NJ71,33.33,"123,860.00","4,128,487.13"
0.29,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,75.25,"54,531.00","4,103,457.75"
0.29,"TIETO FH","TIETOEVRY OYJ",5479702,22.92,"173,867.00","3,984,515.09"
0.28,"6588 JP","TOSHIBA TEC CORP",6894887,20.53,"193,178.00","3,966,720.49"
0.28,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,5.39,"722,133.00","3,892,296.87"
0.27,AMBA,"AMBARELLA INC",B7KH3G6,55.37,"69,294.00","3,836,808.78"
0.27,"2353 TT","ACER INC",6005850,1.45,"2,624,000.00","3,812,709.92"
0.27,PATH,"UIPATH INC - CLASS A",BMD02L5,22.42,"169,350.00","3,796,827.00"
0.27,G,"GENPACT LTD",B23DBK6,34.55,"109,721.00","3,790,860.55"
0.27,STNE,"STONECO LTD-A",BGKG6M3,15.98,"234,181.00","3,742,212.38"
0.27,SNAP,"SNAP INC - A",BD8DJ71,11.43,"324,158.00","3,705,125.94"
0.26,"3443 TT","GLOBAL UNICHIP CORP",B056381,49.54,"72,529.00","3,593,215.63"
0.25,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,41.31,"85,606.00","3,536,383.86"
0.25,DXC,"DXC TECHNOLOGY CO",BYXD7B3,20.20,"174,170.00","3,518,234.00"
0.24,DOCU,"DOCUSIGN INC",BFYT7B7,51.78,"63,863.00","3,306,826.14"
0.23,TDC,"TERADATA CORP",B247H10,37.71,"84,331.00","3,180,122.01"
0.22,VSAT,"VIASAT INC",2946243,18.82,"165,417.00","3,113,147.94"
0.22,TWLO,"TWILIO INC - A",BD6P5Q0,56.66,"54,635.00","3,095,619.10"
0.22,"TEMN SW","TEMENOS AG - REG",7147892,75.56,"40,668.00","3,072,846.90"
0.22,,CASH,,1.00,"3,068,677.41","3,068,677.41"
0.02,,"OTHER PAYABLE & RECEIVABLES",,1.00,"267,212.40","267,212.40"
0.00,,"JAPANESE YEN",,0.01,-3.00,-0.02
0.00,,EURO,,1.09,-312.48,-339.71
0.00,,"BRITISH STERLING POUND",,1.27,-895.43,"-1,140.11"
-0.01,,"TAIWAN DOLLAR",,0.03,"-6,248,361.00","-197,798.67"
-0.14,,"KOREAN WON",,0.00,"-2,606,253,342.00","-1,952,981.15"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
