"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/27/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.04,BABA,"ALIBABA GRP-ADR",BP41ZD1,107.33,"844,106.00","90,597,896.98"
3.44,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,56.33,"1,371,043.00","77,230,430.05"
3.43,IBM,IBM,2005973,220.84,"348,915.00","77,054,388.60"
3.38,ORCL,"ORACLE CORP",2661568,168.74,"448,884.00","75,744,686.16"
3.32,META,"META PLATFORMS INC",B7TL820,567.36,"131,436.00","74,571,528.96"
3.30,NOW,"SERVICENOW INC",B80NXX8,881.79,"83,908.00","73,989,235.32"
3.27,CSCO,"CISCO SYSTEMS INC",2198163,53.02,"1,385,590.00","73,463,981.80"
3.15,NFLX,"NETFLIX INC",2857817,707.35,"99,916.00","70,675,582.60"
3.09,CRM,"SALESFORCE INC",2310525,276.64,"250,844.00","69,393,484.16"
3.03,ACN,"ACCENTURE PLC-CL A",B4BNMY3,349.70,"194,474.00","68,007,557.80"
3.03,TSLA,"TESLA INC",B616C79,260.46,"260,734.00","67,910,777.64"
3.02,AVGO,"BROADCOM INC",BDZ78H9,172.69,"392,238.00","67,735,580.22"
2.90,AAPL,"APPLE INC",2046251,227.79,"285,501.00","65,034,272.79"
2.89,AMZN,"AMAZON.COM INC",2000019,187.97,"344,606.00","64,775,589.82"
2.84,NVDA,"NVIDIA CORP",2379504,121.40,"523,989.00","63,612,264.60"
2.76,MSFT,"MICROSOFT CORP",2588173,428.02,"144,398.00","61,805,231.96"
2.70,ADBE,"ADOBE INC",2008154,515.48,"117,674.00","60,658,593.52"
2.60,"SIE GR","SIEMENS AG-REG",5727973,204.42,"284,869.00","58,232,977.47"
2.58,GOOGL,"ALPHABET INC-CL A",BYVY8G0,163.95,"353,335.00","57,929,273.25"
2.52,QCOM,"QUALCOMM INC",2714923,170.13,"332,234.00","56,522,970.42"
2.51,UBER,"UBER TECHNOLOGIES INC",BK6N347,75.75,"743,036.00","56,284,977.00"
