"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 08/02/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.35,NOW,"SERVICENOW INC",B80NXX8,790.64,"84,188.00","66,562,400.32"
3.34,IBM,IBM,2005973,189.12,"350,075.00","66,206,184.00"
3.31,BABA,"ALIBABA GRP-ADR",BP41ZD1,77.45,"846,906.00","65,592,869.70"
3.27,CSCO,"CISCO SYSTEMS INC",2198163,46.66,"1,390,190.00","64,866,265.40"
3.24,META,"META PLATFORMS INC",B7TL820,488.14,"131,876.00","64,373,950.64"
3.18,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,45.87,"1,375,043.00","63,070,197.79"
3.18,ACN,"ACCENTURE PLC-CL A",B4BNMY3,323.15,"195,114.00","63,051,089.10"
3.17,AAPL,"APPLE INC",2046251,219.86,"286,441.00","62,976,918.26"
3.13,ADBE,"ADOBE INC",2008154,526.17,"118,054.00","62,116,473.18"
3.12,"005930 KS","SAMSUNG ELECTRON",6771720,58.07,"1,064,800.00","61,828,850.71"
3.10,NFLX,"NETFLIX INC",2857817,613.64,"100,256.00","61,521,091.84"
3.09,CRM,"SALESFORCE INC",2310525,243.97,"251,684.00","61,403,345.48"
3.02,ORCL,"ORACLE CORP",2661568,133.28,"450,364.00","60,024,513.92"
2.98,MSFT,"MICROSOFT CORP",2588173,408.49,"144,878.00","59,181,214.22"
2.98,GOOGL,"ALPHABET INC-CL A",BYVY8G0,166.66,"354,515.00","59,083,469.90"
2.93,AMZN,"AMAZON.COM INC",2000019,167.90,"345,746.00","58,050,753.40"
2.85,AVGO,"BROADCOM INC",BDZ78H9,143.82,"393,538.00","56,598,635.16"
2.84,NVDA,"NVIDIA CORP",2379504,107.27,"525,729.00","56,394,949.83"
2.74,TSLA,"TESLA INC",B616C79,207.67,"261,594.00","54,325,225.98"
2.68,QCOM,"QUALCOMM INC",2714923,159.31,"333,334.00","53,103,439.54"
2.48,"SIE GR","SIEMENS AG-REG",5727973,172.36,"285,809.00","49,261,266.79"
2.22,UBER,"UBER TECHNOLOGIES INC",BK6N347,58.99,"745,496.00","43,976,809.04"
1.85,MU,"MICRON TECHNOLOGY INC",2588184,92.70,"395,619.00","36,673,881.30"
1.65,"000660 KS","SK HYNIX INC",6450267,126.34,"259,691.00","32,810,651.20"
1.64,INTC,"INTEL CORP",2463247,21.48,"1,518,792.00","32,623,652.16"
1.39,SNPS,"SYNOPSYS INC",2867719,505.78,"54,549.00","27,589,793.22"
1.33,"3690 HK","MEITUAN-CLASS B",BGJW376,13.32,"1,974,415.00","26,293,845.88"
1.28,TRI,"THOMSON REUTERS CORP",BNBXPB4,157.43,"160,724.00","25,302,779.32"
1.22,CDNS,"CADENCE DESIGN SYS INC",2302232,249.63,"97,106.00","24,240,570.78"
1.18,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,54.43,"431,503.00","23,486,708.29"
1.09,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,237.75,"91,224.00","21,688,506.00"
0.82,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,214.86,"75,694.00","16,263,612.84"
0.77,FTNT,"FORTINET INC",B5B2106,56.51,"271,124.00","15,321,217.24"
0.75,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,32.25,"464,120.00","14,969,814.10"
0.74,"EXPN LN","EXPERIAN PLC",B19NLV4,44.72,"326,354.00","14,594,713.04"
0.73,"WKL NA","WOLTERS KLUWER",5671519,163.73,"88,292.00","14,455,917.60"
0.68,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,83.44,"162,007.00","13,517,864.08"
0.66,TTD,"TRADE DESK INC-A",BD8FDD1,83.08,"157,980.00","13,124,978.40"
0.66,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,624.65,"20,801.00","12,993,344.65"
0.61,"6702 JP","FUJITSU LIMITED",6356945,16.37,"733,615.00","12,007,655.85"
0.60,DDOG,"DATADOG INC - CLASS A",BKT9Y49,107.25,"110,055.00","11,803,398.75"
0.52,ROK,"ROCKWELL AUTOMATION INC",2754060,253.47,"40,323.00","10,220,670.81"
0.50,EBAY,"EBAY INC",2293819,56.20,"177,893.00","9,997,586.60"
0.50,"6954 JP","FANUC CORP",6356934,27.74,"355,096.00","9,849,519.49"
0.46,ZS,"ZSCALER INC",BZ00V34,169.52,"53,556.00","9,078,813.12"
