"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 07/18/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
5.67,NVDA,"NVIDIA CORP",2379504,474.94,"55,540.00","26,378,167.60"
4.99,META,"META PLATFORMS INC",B7TL820,312.05,"74,471.00","23,238,675.55"
4.68,TSLA,"TESLA INC",B616C79,293.34,"74,257.00","21,782,548.38"
3.40,MSFT,"MICROSOFT CORP",2588173,359.49,"44,056.00","15,837,691.44"
3.35,ADBE,"ADOBE INC",2008154,532.23,"29,299.00","15,593,806.77"
3.34,CRM,"SALESFORCE INC",2310525,227.63,"68,322.00","15,552,136.86"
3.15,AAPL,"APPLE INC",2046251,193.73,"75,774.00","14,679,697.02"
3.12,AMZN,"AMAZON.COM INC",2000019,132.83,"109,161.00","14,499,855.63"
3.12,ORCL,"ORACLE CORP",2661568,120.77,"120,042.00","14,497,472.34"
3.05,NFLX,"NETFLIX INC",2857817,474.80,"29,899.00","14,196,045.20"
2.85,GOOGL,"ALPHABET INC-CL A",BYVY8G0,123.76,"107,080.00","13,252,220.80"
2.65,ACN,"ACCENTURE PLC-CL A",B4BNMY3,322.43,"38,205.00","12,318,438.15"
2.62,INTC,"INTEL CORP",2463247,34.50,"353,449.00","12,193,990.50"
2.62,"005930 KS","SAMSUNG ELECTRON",6771720,57.12,"213,323.00","12,185,533.74"
2.50,NOW,"SERVICENOW INC",B80NXX8,597.13,"19,462.00","11,621,344.06"
2.47,CSCO,"CISCO SYSTEMS INC",2198163,51.24,"224,472.00","11,501,945.28"
2.47,"SIE GR","SIEMENS AG-REG",5727973,168.77,"68,044.00","11,483,896.80"
2.19,IBM,IBM,2005973,135.36,"75,345.00","10,198,699.20"
2.15,QCOM,"QUALCOMM INC",2714923,122.86,"81,575.00","10,022,304.50"
1.96,UBER,"UBER TECHNOLOGIES INC",BK6N347,47.41,"192,568.00","9,129,648.88"
1.92,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,43.06,"207,743.00","8,944,961.15"
1.76,"3690 HK","MEITUAN-CLASS B",BGJW376,16.52,"495,015.00","8,179,762.12"
1.75,BABA,"ALIBABA GRP-ADR",BP41ZD1,91.20,"89,416.00","8,154,739.20"
1.46,SNPS,"SYNOPSYS INC",2867719,462.93,"14,646.00","6,780,072.78"
1.42,"000660 KS","SK HYNIX INC",6450267,93.46,"70,845.00","6,621,080.57"
1.39,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,67.26,"96,488.00","6,489,782.88"
1.39,CDNS,"CADENCE DESIGN SYS INC",2302232,244.09,"26,488.00","6,465,455.92"
1.25,TRI,"THOMSON REUTERS CORP",BNBXPB4,131.74,"44,050.78","5,803,249.30"
1.20,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,223.66,"25,009.00","5,593,512.94"
1.16,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,42.53,"126,372.00","5,374,601.33"
1.00,"STMMI IM","STMICROELECTRONICS NV",5962343,52.56,"88,343.00","4,643,675.60"
0.98,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,318.40,"14,295.00","4,551,528.00"
0.95,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,228.35,"19,415.00","4,433,415.25"
0.84,BIDU,"BAIDU INC - SPON ADR",B0FXT17,144.23,"27,040.00","3,899,979.20"
0.83,ROK,"ROCKWELL AUTOMATION INC",2754060,346.89,"11,068.00","3,839,378.52"
0.81,TTD,"TRADE DESK INC-A",BD8FDD1,88.53,"42,764.00","3,785,896.92"
0.80,IONQ,"IONQ INC",BP484B3,15.71,"236,938.00","3,722,295.98"
0.75,"EXPN LN","EXPERIAN PLC",B19NLV4,39.20,"88,621.00","3,473,514.69"
0.72,"6954 JP","FANUC CORP",6356934,34.11,"98,066.00","3,344,678.43"
0.69,DDOG,"DATADOG INC - CLASS A",BKT9Y49,113.82,"28,336.00","3,225,203.52"
0.69,"WKL NA","WOLTERS KLUWER",5671519,126.75,"25,150.00","3,187,693.83"
0.58,"6702 JP","FUJITSU LIMITED",6356945,132.98,"20,336.00","2,704,376.27"
0.54,EBAY,"EBAY INC",2293819,48.03,"52,226.00","2,508,414.78"
0.50,"3443 TT","GLOBAL UNICHIP CORP",B056381,57.75,"40,200.00","2,321,525.36"
0.48,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,63.72,"34,690.00","2,210,373.92"
0.46,HPE,"HEWLETT PACKA",BYVYWS0,17.46,"123,387.00","2,154,337.02"
0.46,ZS,"ZSCALER INC",BZ00V34,154.81,"13,915.00","2,154,181.15"
0.39,TDC,"TERADATA CORP",B247H10,57.01,"31,530.00","1,797,525.30"
0.38,"XRO AU","XERO LTD",B8P4LP4,85.42,"20,567.00","1,756,832.44"
0.38,SNAP,"SNAP INC - A",BD8DJ71,13.37,"131,083.00","1,752,579.71"
0.37,SPLK,"SPLUNK INC",B424494,109.28,"15,786.00","1,725,094.08"
0.36,HUBB,"HUBBELL INC",BDFG6S3,337.31,"4,997.00","1,685,538.07"
0.36,"2353 TT","ACER INC",6005850,1.30,"1,282,400.00","1,667,335.14"
0.34,"6701 JP","NEC CORP",6640400,49.73,"31,648.00","1,573,895.85"
0.33,PEGA,"PEGASYSTEMS INC",2675860,56.36,"27,012.00","1,522,396.32"
0.32,ZBRA,"ZEBRA TECH CORP",2989356,313.17,"4,818.00","1,508,853.06"
0.32,BAH,"BOOZ ALLEN HAMIL",B5367T7,115.57,"12,667.00","1,463,925.19"
0.31,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,4.91,"296,762.00","1,457,101.42"
0.31,"2395 TT","ADVANTECH CO LTD",6202673,12.92,"112,687.44","1,456,036.89"
0.31,"3665 TT","BIZLINK HOLDING INC",B5SG8Y4,10.16,"141,513.00","1,438,140.24"
0.31,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,74.69,"19,080.00","1,425,085.20"
0.30,"6502 JP","TOSHIBA CORP",6897217,32.64,"42,527.00","1,388,167.18"
0.30,,CASH,,1.00,"1,380,453.05","1,380,453.05"
0.29,"AMP IM","AMPLIFON SPA",B14NJ71,35.71,"37,922.00","1,354,174.52"
0.29,"TEMN SW","TEMENOS AG - REG",7147892,85.35,"15,727.00","1,342,291.61"
0.29,PATH,"UIPATH INC - CLASS A",BMD02L5,18.24,"72,717.00","1,326,358.08"
0.28,CCCS,"CCC INTELLIGENT",BP4CXL8,10.76,"121,487.00","1,307,200.12"
