"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 04/09/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.08,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,56.88,"1,962,743.00","111,648,461.11"
3.54,BABA,"ALIBABA GRP-ADR",BP41ZD1,104.78,"922,956.00","96,707,329.68"
3.37,NFLX,"NETFLIX INC",2857817,945.47,"97,516.00","92,198,452.52"
3.36,"005930 KS","SAMSUNG ELECTRON",6771720,35.72,"2,570,271.00","91,804,672.31"
3.28,CSCO,"CISCO SYSTEMS INC",2198163,58.13,"1,543,303.00","89,712,203.39"
3.23,META,"META PLATFORMS INC",B7TL820,585.77,"150,899.00","88,392,107.23"
3.12,AAPL,"APPLE INC",2046251,198.85,"429,401.00","85,386,388.85"
3.09,IBM,IBM,2005973,235.31,"358,767.00","84,421,462.77"
3.07,MSFT,"MICROSOFT CORP",2588173,390.49,"214,994.00","83,953,007.06"
2.89,ACN,"ACCENTURE PLC-CL A",B4BNMY3,298.46,"264,383.00","78,907,750.18"
2.85,AMZN,"AMAZON.COM INC",2000019,191.10,"407,951.00","77,959,436.10"
2.85,PLTR,"PALANTIR TECHN-A",BN78DQ4,92.01,"846,104.00","77,850,029.04"
2.82,GOOGL,"ALPHABET INC-CL A",BYVY8G0,158.71,"485,098.00","76,989,903.58"
2.78,CRM,"SALESFORCE INC",2310525,264.75,"286,977.00","75,978,308.66"
2.73,NVDA,"NVIDIA CORP",2379504,114.33,"652,355.00","74,583,747.15"
2.71,AVGO,"BROADCOM INC",BDZ78H9,185.15,"399,699.00","74,004,269.85"
2.62,ORCL,"ORACLE CORP",2661568,139.19,"515,041.00","71,688,556.79"
2.56,NOW,"SERVICENOW INC",B80NXX8,825.95,"84,586.00","69,863,806.70"
2.48,TSM,"TAIWAN SEMIC-ADR",2113382,158.75,"427,565.00","67,875,943.75"
2.32,TSLA,"TESLA INC",B616C79,272.20,"232,507.00","63,288,405.40"
2.26,QCOM,"QUALCOMM INC",2714923,143.59,"431,073.00","61,897,772.07"
2.25,ADBE,"ADOBE INC",2008154,364.64,"168,742.00","61,530,082.88"
2.23,AMD,"ADVANCED MICRO DEVICES",2007849,96.84,"629,657.00","60,975,983.88"
2.22,"SIE GR","SIEMENS AG-REG",5727973,195.56,"310,009.00","60,624,773.09"
2.17,UBER,"UBER TECHNOLOGIES INC",BK6N347,72.68,"817,025.00","59,381,377.00"
1.57,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,91.40,"470,585.00","43,011,469.00"
1.48,"3690 HK","MEITUAN-CLASS B",BGJW376,18.88,"2,142,215.00","40,435,045.22"
1.31,INTC,"INTEL CORP",2463247,21.53,"1,667,557.00","35,902,502.21"
1.23,MU,"MICRON TECHNOLOGY INC",2588184,77.87,"432,304.00","33,663,512.48"
1.16,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,274.96,"115,658.00","31,801,323.68"
1.15,"000660 KS","SK HYNIX INC",6450267,111.20,"282,527.00","31,416,217.95"
1.09,TRI,"THOMSON REUTERS CORP",BNBXPB4,170.06,"174,570.00","29,687,374.20"
1.08,FTNT,"FORTINET INC",B5B2106,99.93,"296,370.00","29,616,254.10"
1.03,CDNS,"CADENCE DESIGN SYS INC",2302232,264.65,"106,294.00","28,130,707.10"
0.94,SNPS,"SYNOPSYS INC",2867719,428.70,"59,972.00","25,709,996.40"
0.75,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,60.96,"334,760.00","20,406,969.60"
0.71,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,151.15,"128,080.00","19,359,292.00"
0.70,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,231.42,"82,919.00","19,189,114.98"
0.67,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,185.87,"98,432.00","18,295,555.84"
0.53,"EXPN LN","EXPERIAN PLC",B19NLV4,40.88,"354,669.00","14,500,569.52"
0.53,"6702 JP","FUJITSU LIMITED",6356945,18.04,"798,655.00","14,407,401.88"
0.52,"WKL NA","WOLTERS KLUWER",5671519,153.77,"92,258.00","14,186,174.72"
0.50,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,26.87,"504,702.00","13,562,974.87"
0.45,STNE,"STONECO LTD-A",BGKG6M3,11.08,"1,114,397.00","12,347,518.76"
0.44,ZS,"ZSCALER INC",BZ00V34,202.12,"59,406.00","12,007,140.72"
0.43,DDOG,"DATADOG INC - CLASS A",BKT9Y49,97.44,"121,232.00","11,812,846.08"
0.42,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,64.98,"176,591.00","11,474,883.18"
0.40,OKTA,"OKTA INC",BDFZSP1,101.73,"108,350.00","11,022,445.50"
0.39,"6701 JP","NEC CORP",6640400,18.74,"574,310.00","10,764,965.18"
0.38,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,36.71,"285,317.00","10,473,987.07"
0.36,G,"GENPACT LTD",B23DBK6,48.12,"206,834.00","9,952,852.08"
0.34,TTD,"TRADE DESK INC-A",BD8FDD1,54.12,"173,567.00","9,393,446.04"
0.34,CYBR,"CYBERARK SOFTWAR",BQT3XY6,350.19,"26,757.00","9,370,033.83"
0.34,BIDU,"BAIDU INC - SPON ADR",B0FXT17,80.59,"115,649.00","9,320,152.91"
0.33,NICE,"NICE LTD - SPON ADR",2639736,153.44,"59,442.00","9,120,780.48"
0.31,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,7.23,"1,188,815.00","8,595,132.45"
0.31,"TIETO FH","TIETOEVRY OYJ",5479702,16.26,"516,810.00","8,403,182.73"
0.30,"6954 JP","FANUC CORP",6356934,21.51,"383,396.00","8,247,125.65"
0.30,"4755 JP","RAKUTEN GROUP INC",6229597,5.00,"1,626,507.00","8,132,254.11"
0.29,"TEMN SW","TEMENOS AG - REG",7147892,71.26,"112,315.00","8,003,888.53"
0.29,SNAP,"SNAP INC - A",BD8DJ71,8.82,"901,648.00","7,952,535.36"
0.28,TWLO,"TWILIO INC - A",BD6P5Q0,91.98,"84,301.00","7,754,005.98"
0.28,"2395 TT","ADVANTECH CO LTD",6202673,9.25,"829,957.00","7,677,573.46"
0.28,PATH,"UIPATH INC - CLASS A",BMD02L5,11.08,"691,714.00","7,664,191.12"
0.28,CCCS,"CCC INTELLIGENT",BP4CXL8,9.02,"835,332.00","7,534,694.64"
0.27,HPE,"HEWLETT PACKA",BYVYWS0,14.50,"506,921.00","7,350,354.50"
0.26,DXC,"DXC TECHNOLOGY CO",BYXD7B3,15.56,"450,701.00","7,012,907.56"
0.26,"6588 JP","TOSHIBA TEC CORP",6894887,15.92,"437,820.00","6,968,101.96"
0.25,INFA,"INFORMATICA INC - CLASS A",BMG95P4,17.90,"386,037.00","6,910,062.30"
0.25,"2353 TT","ACER INC",6005850,0.82,"8,410,300.00","6,888,678.73"
0.24,WIX,"WIX.COM LTD",BFZCHN7,164.97,"40,207.00","6,632,948.79"
0.24,"AMP IM","AMPLIFON SPA",B14NJ71,18.88,"351,375.00","6,632,497.90"
0.24,STX,"SEAGATE TECHNOLO",BKVD2N4,74.29,"87,719.00","6,516,644.51"
0.23,TDC,"TERADATA CORP",B247H10,21.58,"296,348.00","6,395,189.84"
0.23,,"OTHER PAYABLE & RECEIVABLES",,1.00,"6,323,795.20","6,323,795.20"
0.23,PEGA,"PEGASYSTEMS INC",2675860,70.69,"87,513.00","6,186,293.97"
0.23,"3443 TT","GLOBAL UNICHIP CORP",B056381,25.83,"238,865.00","6,169,624.38"
0.22,VRNT,"VERINT SYSTEMS INC",2849193,16.07,"373,351.00","5,999,750.57"
0.22,AI,"C3.AI INC-A",BMGNBJ2,21.18,"280,012.00","5,930,654.16"
0.22,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,6.85,"856,811.00","5,869,155.35"
0.21,"5803 JP","FUJIKURA LTD",6356707,27.70,"204,258.00","5,657,960.00"
0.20,AMBA,"AMBARELLA INC",B7KH3G6,48.01,"115,610.00","5,550,436.10"
0.20,ZBRA,"ZEBRA TECH CORP",2989356,243.77,"22,686.00","5,530,166.22"
0.19,"6526 JP","SOCIONEXT INC",BMTVX75,9.62,"549,646.00","5,288,964.03"
0.19,SOUN,"SOUNDHOUND AI INC-A",BLDBS68,8.83,"581,012.00","5,130,335.96"
0.17,HUT,"HUT 8 CORP",BQQ8816,12.59,"374,463.00","4,714,489.17"
0.00,,"SWISS FRANC",,1.19,132.60,157.75
0.00,,"CANADIAN DOLLAR",,0.70,-277.95,-195.71
0.00,,EURO,,1.10,-545.69,-602.36
-0.01,,"KOREAN WON",,0.00,"-480,312,920.00","-323,693.72"
-0.02,,"TAIWAN DOLLAR",,0.03,"-21,339,665.00","-646,166.99"
-0.09,,CASH,,1.00,"-2,349,314.45","-2,349,314.45"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
