"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 08/13/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.52,PLTR,"PALANTIR TECHN-A",BN78DQ4,184.37,"856,329.00","157,881,377.73"
3.43,AMD,"ADVANCED MICRO DEVICES",2007849,184.42,"834,762.00","153,946,808.04"
3.23,META,"META PLATFORMS INC",B7TL820,780.08,"185,623.00","144,800,789.84"
3.22,AAPL,"APPLE INC",2046251,233.33,"618,387.00","144,288,238.71"
3.21,AVGO,"BROADCOM INC",BDZ78H9,309.09,"466,581.00","144,215,521.29"
3.19,"005930 KS","SAMSUNG ELECTRON",6771720,52.04,"2,752,181.00","143,216,193.02"
3.14,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,74.65,"1,886,818.00","140,851,259.94"
3.14,NVDA,"NVIDIA CORP",2379504,181.59,"775,459.00","140,815,599.81"
3.13,GOOGL,"ALPHABET INC-CL A",BYVY8G0,201.96,"696,201.00","140,604,753.96"
3.06,BABA,"ALIBABA GRP-ADR",BP41ZD1,126.86,"1,080,297.00","137,046,477.42"
3.04,MSFT,"MICROSOFT CORP",2588173,520.58,"261,933.00","136,357,081.14"
3.03,CSCO,"CISCO SYSTEMS INC",2198163,70.40,"1,929,620.00","135,845,248.00"
3.02,NFLX,"NETFLIX INC",2857817,"1,204.44","112,331.00","135,295,949.64"
3.01,TSLA,"TESLA INC",B616C79,339.38,"397,952.00","135,056,949.76"
2.98,ORCL,"ORACLE CORP",2661568,244.18,"547,125.00","133,596,982.50"
2.97,TSM,"TAIWAN SEMIC-ADR",2113382,241.44,"550,974.00","133,027,162.56"
2.90,AMZN,"AMAZON.COM INC",2000019,224.56,"580,052.00","130,256,477.12"
2.62,CRM,"SALESFORCE INC",2310525,237.03,"495,364.00","117,416,128.92"
2.51,IBM,IBM,2005973,240.07,"469,640.00","112,746,474.80"
2.30,"SIE GR","SIEMENS AG-REG",5727973,269.84,"381,525.00","102,951,119.50"
2.02,UBER,"UBER TECHNOLOGIES INC",BK6N347,90.83,"997,426.00","90,596,203.58"
1.94,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,150.09,"580,981.00","87,199,438.29"
1.90,NOW,"SERVICENOW INC",B80NXX8,863.30,"98,811.00","85,303,536.30"
1.83,QCOM,"QUALCOMM INC",2714923,156.59,"523,678.00","82,002,738.02"
1.63,ACN,"ACCENTURE PLC-CL A",B4BNMY3,245.68,"297,028.00","72,973,839.04"
1.59,ADBE,"ADOBE INC",2008154,351.07,"202,526.00","71,100,802.82"
1.56,"000660 KS","SK HYNIX INC",6450267,201.20,"348,339.00","70,086,300.93"
1.48,MU,"MICRON TECHNOLOGY INC",2588184,124.27,"533,579.00","66,307,862.33"
1.46,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,446.40,"146,747.00","65,507,860.80"
1.22,SNPS,"SYNOPSYS INC",2867719,618.57,"88,249.00","54,588,183.93"
1.03,INTC,"INTEL CORP",2463247,22.22,"2,078,862.00","46,192,313.64"
1.01,CDNS,"CADENCE DESIGN SYS INC",2302232,349.12,"130,063.00","45,407,594.56"
0.94,"3690 HK","MEITUAN-CLASS B",BGJW376,15.83,"2,650,115.00","41,963,234.73"
0.81,TRI,"THOMSON REUTERS CORP",BNBXPB4,169.73,"214,789.00","36,456,136.97"
0.73,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,79.32,"410,859.00","32,589,335.88"
0.70,SNOW,"SNOWFLAKE INC",BN134B7,196.87,"158,898.00","31,282,249.26"
0.65,FTNT,"FORTINET INC",B5B2106,79.33,"364,688.00","28,930,699.04"
0.62,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,230.52,"120,181.00","27,704,124.12"
0.59,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,42.91,"621,196.00","26,656,070.15"
