"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 08/14/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.37,META,"META PLATFORMS INC",B7TL820,526.76,"131,436.00","69,235,227.36"
3.35,NOW,"SERVICENOW INC",B80NXX8,819.02,"83,908.00","68,722,330.16"
3.27,IBM,IBM,2005973,192.32,"348,915.00","67,103,332.80"
3.27,BABA,"ALIBABA GRP-ADR",BP41ZD1,79.47,"844,106.00","67,081,103.82"
3.22,NFLX,"NETFLIX INC",2857817,661.68,"99,916.00","66,112,418.88"
3.20,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,47.97,"1,371,043.00","65,766,149.52"
3.12,CRM,"SALESFORCE INC",2310525,255.32,"250,844.00","64,045,490.08"
3.09,ADBE,"ADOBE INC",2008154,539.79,"117,674.00","63,519,248.46"
3.08,AAPL,"APPLE INC",2046251,221.72,"285,501.00","63,301,281.72"
3.07,CSCO,"CISCO SYSTEMS INC",2198163,45.44,"1,385,590.00","62,961,209.60"
3.03,ACN,"ACCENTURE PLC-CL A",B4BNMY3,319.83,"194,474.00","62,198,619.42"
3.01,NVDA,"NVIDIA CORP",2379504,118.08,"523,989.00","61,872,621.12"
3.01,AVGO,"BROADCOM INC",BDZ78H9,157.69,"392,238.00","61,852,010.22"
2.96,ORCL,"ORACLE CORP",2661568,135.60,"448,884.00","60,868,670.40"
2.93,"005930 KS","SAMSUNG ELECTRON",6771720,56.73,"1,061,280.00","60,207,830.69"
2.93,MSFT,"MICROSOFT CORP",2588173,416.11,"144,398.00","60,085,451.78"
2.85,AMZN,"AMAZON.COM INC",2000019,170.10,"344,606.00","58,617,480.60"
2.76,GOOGL,"ALPHABET INC-CL A",BYVY8G0,160.37,"353,335.00","56,664,333.95"
2.70,QCOM,"QUALCOMM INC",2714923,167.15,"332,234.00","55,532,913.10"
2.60,UBER,"UBER TECHNOLOGIES INC",BK6N347,71.93,"743,036.00","53,446,579.48"
2.56,TSLA,"TESLA INC",B616C79,201.38,"260,734.00","52,506,612.92"
2.44,"SIE GR","SIEMENS AG-REG",5727973,175.79,"284,869.00","50,076,286.62"
1.93,MU,"MICRON TECHNOLOGY INC",2588184,100.41,"394,319.00","39,593,570.79"
1.73,"000660 KS","SK HYNIX INC",6450267,137.20,"258,831.00","35,511,278.44"
1.50,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,71.59,"430,083.00","30,789,641.97"
1.47,INTC,"INTEL CORP",2463247,19.92,"1,513,772.00","30,154,338.24"
1.41,SNPS,"SYNOPSYS INC",2867719,530.80,"54,369.00","28,859,065.20"
1.29,TRI,"THOMSON REUTERS CORP",BNBXPB4,165.22,"160,184.00","26,465,600.48"
1.28,CDNS,"CADENCE DESIGN SYS INC",2302232,271.78,"96,786.00","26,304,499.08"
1.26,"3690 HK","MEITUAN-CLASS B",BGJW376,13.10,"1,968,415.00","25,790,184.60"
1.08,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,243.64,"90,924.00","22,152,723.36"
0.96,FTNT,"FORTINET INC",B5B2106,72.79,"270,224.00","19,669,604.96"
0.82,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,222.84,"75,454.00","16,814,169.36"
0.76,TTD,"TRADE DESK INC-A",BD8FDD1,98.69,"157,460.00","15,539,727.40"
0.76,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,33.52,"462,580.00","15,505,089.88"
0.73,"EXPN LN","EXPERIAN PLC",B19NLV4,46.10,"325,274.00","14,994,441.05"
0.72,"WKL NA","WOLTERS KLUWER",5671519,166.96,"87,992.00","14,691,064.54"
0.66,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,83.47,"161,467.00","13,477,650.49"
0.61,DDOG,"DATADOG INC - CLASS A",BKT9Y49,114.15,"109,695.00","12,521,684.25"
0.60,"6702 JP","FUJITSU LIMITED",6356945,16.93,"731,175.00","12,375,953.18"
0.58,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,577.09,"20,741.00","11,969,423.69"
0.51,ROK,"ROCKWELL AUTOMATION INC",2754060,261.17,"40,183.00","10,494,594.11"
0.48,EBAY,"EBAY INC",2293819,55.76,"177,293.00","9,885,857.68"
0.48,ZS,"ZSCALER INC",BZ00V34,183.98,"53,376.00","9,820,116.48"
0.47,"6954 JP","FANUC CORP",6356934,27.46,"353,916.00","9,716,806.76"
0.42,BIDU,"BAIDU INC - SPON ADR",B0FXT17,83.99,"102,093.00","8,574,791.07"
0.40,"6701 JP","NEC CORP",6640400,85.43,"96,861.00","8,274,939.13"
0.40,HPE,"HEWLETT PACKA",BYVYWS0,17.78,"462,549.00","8,224,121.22"
0.38,"5803 JP","FUJIKURA LTD",6356707,24.60,"318,226.00","7,828,552.55"
0.37,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,6.87,"1,101,529.00","7,567,504.23"
0.36,HUBB,"HUBBELL INC",BDFG6S3,379.68,"19,181.00","7,282,642.08"
0.35,STX,"SEAGATE TECHNOLO",BKVD2N4,97.06,"74,114.00","7,193,504.84"
0.35,G,"GENPACT LTD",B23DBK6,37.57,"190,009.00","7,138,638.13"
0.34,PEGA,"PEGASYSTEMS INC",2675860,67.82,"101,368.00","6,874,777.76"
0.32,CYBR,"CYBERARK SOFTWAR",BQT3XY6,275.55,"24,046.00","6,625,875.30"
0.32,"4755 JP","RAKUTEN GROUP INC",6229597,5.92,"1,105,455.00","6,540,775.06"
0.31,TWLO,"TWILIO INC - A",BD6P5Q0,60.61,"106,052.00","6,427,811.72"
0.31,ZBRA,"ZEBRA TECH CORP",2989356,333.24,"19,250.00","6,414,870.00"
0.31,DOCU,"DOCUSIGN INC",BFYT7B7,55.59,"113,483.00","6,308,519.97"
0.31,OKTA,"OKTA INC",BDFZSP1,95.08,"66,291.00","6,302,948.28"
0.31,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,47.72,"131,852.00","6,291,977.44"
0.31,"TIETO FH","TIETOEVRY OYJ",5479702,20.13,"312,166.00","6,283,210.12"
0.31,STNE,"STONECO LTD-A",BGKG6M3,13.35,"468,840.00","6,259,014.00"
0.30,DXC,"DXC TECHNOLOGY CO",BYXD7B3,19.35,"322,325.00","6,236,988.75"
0.30,"AMP IM","AMPLIFON SPA",B14NJ71,31.32,"197,842.00","6,195,866.26"
0.30,VSAT,"VIASAT INC",2946243,16.77,"368,169.00","6,174,194.13"
0.30,"6526 JP","SOCIONEXT INC",BMTVX75,19.91,"305,336.00","6,078,221.83"
0.30,"6588 JP","TOSHIBA TEC CORP",6894887,21.49,"282,599.00","6,074,189.09"
0.30,"2395 TT","ADVANTECH CO LTD",6202673,10.79,"562,957.00","6,072,693.67"
0.29,INFA,"INFORMATICA INC - CLASS A",BMG95P4,23.58,"255,572.00","6,026,387.76"
0.29,WIX,"WIX.COM LTD",BFZCHN7,159.05,"37,740.00","6,002,547.00"
0.29,"2353 TT","ACER INC",6005850,1.30,"4,541,600.00","5,918,264.15"
0.29,PATH,"UIPATH INC - CLASS A",BMD02L5,11.43,"517,272.00","5,912,418.96"
0.29,CCCS,"CCC INTELLIGENT",BP4CXL8,10.27,"570,620.00","5,860,267.40"
0.28,"TEMN SW","TEMENOS AG - REG",7147892,66.25,"87,915.00","5,824,006.02"
0.28,VRNT,"VERINT SYSTEMS INC",2849193,31.50,"183,576.00","5,782,644.00"
0.28,CLS,"CELESTICA INC",BMDLRD5,52.27,"110,256.00","5,763,081.12"
0.27,AI,"C3.AI INC-A",BMGNBJ2,25.11,"224,330.00","5,632,926.30"
0.27,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,74.13,"74,650.00","5,533,994.18"
0.26,TDC,"TERADATA CORP",B247H10,26.67,"197,152.00","5,258,043.84"
0.25,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,55.73,"90,991.00","5,070,928.43"
0.24,AMBA,"AMBARELLA INC",B7KH3G6,45.16,"110,179.00","4,975,683.64"
0.24,"3443 TT","GLOBAL UNICHIP CORP",B056381,33.58,"147,865.00","4,965,906.00"
0.22,SNAP,"SNAP INC - A",BD8DJ71,9.03,"495,185.00","4,471,520.55"
0.07,,"OTHER PAYABLE & RECEIVABLES",,1.00,"1,498,650.58","1,498,650.58"
0.07,,CASH,,1.00,"1,379,509.77","1,379,509.77"
0.00,,"TAIWAN DOLLAR",,0.03,"1,362,614.34","42,177.06"
0.00,,"KOREAN WON",,0.00,"54,659,119.96","40,166.90"
0.00,,"JAPANESE YEN",,0.01,"3,016,571.00","20,550.95"
0.00,,"SWISS FRANC",,1.16,132.60,153.57
0.00,,EURO,,1.10,-332.78,-367.22
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
