"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 08/06/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.50,PLTR,"PALANTIR TECHN-A",BN78DQ4,179.54,"837,102.00","150,293,293.08"
3.26,META,"META PLATFORMS INC",B7TL820,771.99,"181,424.00","140,057,513.76"
3.20,AVGO,"BROADCOM INC",BDZ78H9,301.67,"456,194.00","137,620,043.98"
3.19,ORCL,"ORACLE CORP",2661568,256.43,"534,970.00","137,182,357.10"
3.17,NVDA,"NVIDIA CORP",2379504,179.42,"758,000.00","136,000,360.00"
3.13,MSFT,"MICROSOFT CORP",2588173,524.94,"255,966.00","134,366,792.04"
3.11,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,72.42,"1,842,618.00","133,443,949.71"
3.11,GOOGL,"ALPHABET INC-CL A",BYVY8G0,196.09,"680,510.00","133,441,205.90"
3.10,"005930 KS","SAMSUNG ELECTRON",6771720,49.52,"2,690,522.00","133,233,464.28"
3.10,AMD,"ADVANCED MICRO DEVICES",2007849,163.12,"815,977.00","133,102,168.24"
3.04,CSCO,"CISCO SYSTEMS INC",2198163,69.21,"1,886,304.00","130,551,099.84"
3.02,NFLX,"NETFLIX INC",2857817,"1,178.48","109,900.00","129,514,952.00"
3.00,AAPL,"APPLE INC",2046251,213.25,"604,464.00","128,901,948.00"
2.97,BABA,"ALIBABA GRP-ADR",BP41ZD1,120.86,"1,055,987.00","127,626,588.82"
2.93,AMZN,"AMAZON.COM INC",2000019,222.31,"567,013.00","126,052,660.03"
2.90,TSM,"TAIWAN SEMIC-ADR",2113382,231.37,"538,598.00","124,615,419.26"
2.90,TSLA,"TESLA INC",B616C79,319.91,"389,112.00","124,480,819.92"
2.81,CRM,"SALESFORCE INC",2310525,249.17,"484,314.00","120,676,519.38"
2.70,IBM,IBM,2005973,252.28,"459,032.00","115,804,592.96"
2.21,"SIE GR","SIEMENS AG-REG",5727973,254.62,"372,906.00","94,949,905.82"
2.05,NOW,"SERVICENOW INC",B80NXX8,912.31,"96,601.00","88,130,058.31"
2.05,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,154.90,"567,942.00","87,974,215.80"
2.03,UBER,"UBER TECHNOLOGIES INC",BK6N347,89.22,"975,105.00","86,998,868.10"
1.74,QCOM,"QUALCOMM INC",2714923,145.84,"511,965.00","74,664,975.60"
1.67,ACN,"ACCENTURE PLC-CL A",B4BNMY3,247.54,"290,398.00","71,885,120.92"
1.59,ADBE,"ADOBE INC",2008154,345.62,"197,885.00","68,393,013.70"
1.48,"000660 KS","SK HYNIX INC",6450267,186.06,"340,604.00","63,372,176.92"
1.32,MU,"MICRON TECHNOLOGY INC",2588184,108.78,"521,645.00","56,744,543.10"
1.30,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,390.57,"143,432.00","56,020,236.24"
1.26,SNPS,"SYNOPSYS INC",2867719,625.88,"86,260.00","53,988,408.80"
1.07,CDNS,"CADENCE DESIGN SYS INC",2302232,360.16,"127,190.00","45,808,750.40"
0.97,INTC,"INTEL CORP",2463247,20.41,"2,032,231.00","41,477,834.71"
0.93,"3690 HK","MEITUAN-CLASS B",BGJW376,15.43,"2,583,815.00","39,860,126.05"
0.88,TRI,"THOMSON REUTERS CORP",BNBXPB4,179.97,"209,927.00","37,780,562.19"
0.80,FTNT,"FORTINET INC",B5B2106,96.58,"356,511.00","34,431,832.38"
0.76,SNOW,"SNOWFLAKE INC",BN134B7,210.54,"155,362.00","32,709,915.48"
0.70,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,75.32,"401,577.00","30,246,779.64"
0.56,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,39.90,"607,273.00","24,228,081.61"
0.56,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,205.92,"117,529.00","24,201,571.68"
0.54,"6702 JP","FUJITSU LIMITED",6356945,23.96,"964,173.00","23,097,763.58"
0.54,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,229.08,"100,407.00","23,001,235.56"
0.51,"EXPN LN","EXPERIAN PLC",B19NLV4,51.12,"426,441.00","21,799,827.18"
0.49,ZS,"ZSCALER INC",BZ00V34,289.32,"72,517.00","20,980,618.44"
0.47,DDOG,"DATADOG INC - CLASS A",BKT9Y49,136.96,"148,528.00","20,342,394.88"
0.46,"6701 JP","NEC CORP",6640400,30.80,"634,805.00","19,553,001.80"
0.44,CRWV,"COREWEAVE INC-CL A",BTTRKN7,110.24,"171,981.00","18,959,185.44"
0.43,TTD,"TRADE DESK INC-A",BD8FDD1,89.58,"207,695.00","18,605,318.10"
0.39,"5803 JP","FUJIKURA LTD",6356707,74.15,"225,822.00","16,745,713.63"
0.37,"WKL NA","WOLTERS KLUWER",5671519,143.70,"110,886.00","15,934,786.19"
0.35,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,69.96,"212,660.00","14,877,693.60"
0.34,STX,"SEAGATE TECHNOLO",BKVD2N4,147.27,"98,496.00","14,505,505.92"
0.33,CYBR,"CYBERARK SOFTWAR",BQT3XY6,413.46,"34,358.00","14,205,658.68"
0.31,"6954 JP","FANUC CORP",6356934,29.59,"456,497.00","13,506,451.49"
0.31,OKTA,"OKTA INC",BDFZSP1,97.75,"134,693.00","13,166,240.75"
0.30,"6588 JP","TOSHIBA TEC CORP",6894887,21.07,"620,324.00","13,067,648.29"
0.30,"3443 TT","GLOBAL UNICHIP CORP",B056381,42.21,"308,865.00","13,035,974.41"
0.30,"2353 TT","ACER INC",6005850,1.07,"12,120,200.00","13,000,948.55"
0.30,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,46.79,"277,381.00","12,978,656.99"
0.30,INFA,"INFORMATICA INC - CLASS A",BMG95P4,24.72,"524,873.00","12,974,860.56"
0.30,"TIETO FH","TIETOEVRY OYJ",5479702,17.32,"741,997.00","12,854,034.76"
0.30,"6526 JP","SOCIONEXT INC",BMTVX75,18.83,"680,205.00","12,808,500.81"
0.30,PEGA,"PEGASYSTEMS INC",2675860,57.65,"222,011.00","12,798,934.15"
0.30,TDC,"TERADATA CORP",B247H10,21.84,"579,927.00","12,665,605.68"
0.29,TWLO,"TWILIO INC - A",BD6P5Q0,130.22,"97,017.00","12,633,553.74"
0.29,VRNT,"VERINT SYSTEMS INC",2849193,21.82,"578,886.00","12,631,292.52"
0.29,"TEMN SW","TEMENOS AG - REG",7147892,89.84,"140,027.00","12,579,975.05"
0.29,CCCS,"CCC INTELLIGENT",BP4CXL8,9.70,"1,288,902.00","12,502,349.40"
0.29,HPE,"HEWLETT PACKA",BYVYWS0,20.13,"620,447.00","12,489,598.11"
0.29,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,7.39,"1,682,771.00","12,435,677.69"
0.29,"4755 JP","RAKUTEN GROUP INC",6229597,5.27,"2,350,188.00","12,390,726.24"
0.29,HUT,"HUT 8 CORP",BQQ8816,20.69,"594,542.00","12,301,073.98"
0.29,STNE,"STONECO LTD-A",BGKG6M3,13.41,"914,784.00","12,267,253.44"
0.29,PONY,"PONY AI INC",BRWKBD6,14.40,"851,074.00","12,255,465.60"
0.28,NICE,"NICE LTD - SPON ADR",2639736,153.92,"79,062.00","12,169,223.04"
0.28,"2395 TT","ADVANTECH CO LTD",6202673,10.86,"1,110,857.00","12,064,058.24"
0.28,BIDU,"BAIDU INC - SPON ADR",B0FXT17,86.81,"138,202.00","11,997,315.62"
0.28,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,16.17,"736,447.00","11,908,347.99"
0.28,AMBA,"AMBARELLA INC",B7KH3G6,62.49,"189,523.00","11,843,292.27"
0.28,G,"GENPACT LTD",B23DBK6,42.20,"280,463.00","11,835,538.60"
0.27,ZBRA,"ZEBRA TECH CORP",2989356,308.31,"38,241.00","11,790,082.71"
0.27,DXC,"DXC TECHNOLOGY CO",BYXD7B3,13.25,"868,126.00","11,502,669.50"
0.27,PATH,"UIPATH INC - CLASS A",BMD02L5,11.22,"1,020,112.00","11,445,656.64"
0.27,SOUN,"SOUNDHOUND AI INC-A",BLDBS68,10.80,"1,054,579.00","11,389,453.20"
0.26,WRD,"WERIDE INC-ADR",BMYDW80,8.67,"1,288,563.00","11,171,841.21"
0.25,WIX,"WIX.COM LTD",BFZCHN7,128.49,"83,337.00","10,707,971.13"
0.24,AI,"C3.AI INC-A",BMGNBJ2,23.25,"441,138.00","10,256,458.50"
0.23,SNAP,"SNAP INC - A",BD8DJ71,7.78,"1,278,255.00","9,944,823.90"
0.22,"AMP IM","AMPLIFON SPA",B14NJ71,17.53,"547,026.00","9,590,922.08"
0.16,,CASH,,1.00,"6,772,562.78","6,772,562.78"
0.00,"25557878D TT","ACER INC - RTS",,0.47,"4,376.00","2,036.74"
0.00,,"SWISS FRANC",,1.24,132.60,164.20
0.00,,"KOREAN WON",,0.00,0.96,0.00
0.00,,"TAIWAN DOLLAR",,0.03,-0.40,-0.01
0.00,,"CANADIAN DOLLAR",,0.73,-277.95,-202.11
0.00,,EURO,,1.16,-332.77,-386.90
-0.02,,"OTHER PAYABLE & RECEIVABLES",,1.00,"-892,901.43","-892,901.43"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
