"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/09/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.64,GOOGL,"ALPHABET INC-CL A",BYVY8G0,239.63,"735,322.00","176,205,210.86"
3.47,BABA,"ALIBABA GRP-ADR",BP41ZD1,147.10,"1,140,907.00","167,827,419.70"
3.43,AVGO,"BROADCOM INC",BDZ78H9,336.67,"492,478.00","165,802,568.26"
3.33,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,80.52,"1,997,018.00","160,802,682.25"
3.17,AAPL,"APPLE INC",2046251,234.35,"653,100.00","153,053,985.00"
3.11,META,"META PLATFORMS INC",B7TL820,765.70,"196,092.00","150,147,644.40"
3.10,"005930 KS","SAMSUNG ELECTRON",6771720,51.52,"2,905,910.00","149,711,006.27"
3.09,NFLX,"NETFLIX INC",2857817,"1,263.25","118,392.00","149,558,694.00"
3.04,PLTR,"PALANTIR TECHN-A",BN78DQ4,162.36,"904,266.00","146,816,627.76"
3.02,TSM,"TAIWAN SEMIC-ADR",2113382,250.92,"581,830.00","145,992,783.60"
3.02,AMZN,"AMAZON.COM INC",2000019,238.24,"612,561.00","145,936,532.64"
3.01,TSLA,"TESLA INC",B616C79,346.97,"419,992.00","145,724,624.24"
2.89,NVDA,"NVIDIA CORP",2379504,170.76,"818,988.00","139,850,390.88"
2.88,ORCL,"ORACLE CORP",2661568,241.51,"577,430.00","139,455,119.30"
2.85,MSFT,"MICROSOFT CORP",2588173,498.41,"276,810.00","137,964,872.10"
2.84,AMD,"ADVANCED MICRO DEVICES",2007849,155.82,"881,597.00","137,370,444.54"
2.84,CSCO,"CISCO SYSTEMS INC",2198163,67.34,"2,037,616.00","137,213,061.44"
2.73,CRM,"SALESFORCE INC",2310525,252.06,"522,914.00","131,805,702.84"
2.66,IBM,IBM,2005973,259.11,"496,088.00","128,541,361.68"
2.23,"SIE GR","SIEMENS AG-REG",5727973,268.06,"403,014.00","108,033,339.59"
2.08,UBER,"UBER TECHNOLOGIES INC",BK6N347,95.45,"1,053,077.00","100,516,199.65"
2.01,NOW,"SERVICENOW INC",B80NXX8,933.67,"104,321.00","97,401,388.07"
1.82,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,143.44,"613,490.00","87,999,005.60"
1.81,QCOM,"QUALCOMM INC",2714923,158.66,"552,881.00","87,720,099.46"
1.79,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,558.17,"155,012.00","86,523,048.04"
1.63,ACN,"ACCENTURE PLC-CL A",B4BNMY3,251.99,"313,558.00","79,013,480.42"
1.58,"000660 KS","SK HYNIX INC",6450267,207.52,"367,624.00","76,288,991.20"
1.58,MU,"MICRON TECHNOLOGY INC",2588184,135.24,"563,333.00","76,185,154.92"
1.57,ADBE,"ADOBE INC",2008154,354.06,"214,097.00","75,803,183.82"
1.17,SNPS,"SYNOPSYS INC",2867719,604.37,"93,208.00","56,332,118.96"
1.11,INTC,"INTEL CORP",2463247,24.44,"2,195,123.00","53,648,806.12"
1.03,CDNS,"CADENCE DESIGN SYS INC",2302232,361.77,"137,226.00","49,644,250.02"
0.82,TRI,"THOMSON REUTERS CORP",BNBXPB4,175.65,"226,911.00","39,856,917.15"
0.78,SNOW,"SNOWFLAKE INC",BN134B7,225.56,"167,714.00","37,829,569.84"
0.75,"3690 HK","MEITUAN-CLASS B",BGJW376,12.80,"2,815,415.00","36,029,936.08"
0.64,FTNT,"FORTINET INC",B5B2106,79.84,"385,075.00","30,744,388.00"
