"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 02/21/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.11,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,66.55,"2,021,243.00","134,506,710.13"
4.10,BABA,"ALIBABA GRP-ADR",BP41ZD1,143.75,"932,609.00","134,062,543.75"
3.26,AAPL,"APPLE INC",2046251,245.55,"433,977.00","106,563,052.35"
3.22,"005930 KS","SAMSUNG ELECTRON",6771720,40.58,"2,596,763.00","105,384,287.43"
3.18,META,"META PLATFORMS INC",B7TL820,683.55,"152,286.00","104,095,095.30"
3.05,CSCO,"CISCO SYSTEMS INC",2198163,63.98,"1,559,219.00","99,758,831.62"
3.01,NFLX,"NETFLIX INC",2857817,"1,003.15","98,219.00","98,528,389.85"
2.98,ACN,"ACCENTURE PLC-CL A",B4BNMY3,364.26,"267,291.00","97,363,419.66"
2.90,IBM,IBM,2005973,261.48,"362,603.00","94,813,432.44"
2.75,CRM,"SALESFORCE INC",2310525,309.80,"290,195.00","89,902,411.00"
2.73,AMZN,"AMAZON.COM INC",2000019,216.58,"412,113.00","89,255,433.54"
2.71,NVDA,"NVIDIA CORP",2379504,134.43,"658,845.00","88,568,533.35"
2.71,MSFT,"MICROSOFT CORP",2588173,408.21,"216,905.00","88,542,790.05"
2.70,AVGO,"BROADCOM INC",BDZ78H9,218.66,"403,789.00","88,292,502.74"
2.69,GOOGL,"ALPHABET INC-CL A",BYVY8G0,179.66,"490,165.00","88,063,043.90"
2.67,ORCL,"ORACLE CORP",2661568,167.81,"520,508.00","87,346,447.48"
2.65,PLTR,"PALANTIR TECHN-A",BN78DQ4,101.35,"854,659.00","86,619,689.65"
2.62,TSM,"TAIWAN SEMIC-ADR",2113382,198.24,"432,249.00","85,689,041.76"
2.46,NOW,"SERVICENOW INC",B80NXX8,938.41,"85,675.00","80,398,276.75"
2.43,TSLA,"TESLA INC",B616C79,337.80,"235,477.00","79,544,130.60"
2.32,ADBE,"ADOBE INC",2008154,444.32,"170,920.00","75,943,174.40"
2.22,"SIE GR","SIEMENS AG-REG",5727973,231.53,"313,969.00","72,691,990.48"
2.20,QCOM,"QUALCOMM INC",2714923,165.43,"435,439.00","72,034,673.77"
