"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 03/26/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.34,NVDA,"NVIDIA CORP",2379504,925.61,"76,428.00","70,742,521.08"
3.62,META,"META PLATFORMS INC",B7TL820,495.89,"118,806.00","58,914,707.34"
3.59,NFLX,"NETFLIX INC",2857817,629.24,"92,891.00","58,450,732.84"
3.21,AMZN,"AMAZON.COM INC",2000019,178.30,"293,191.00","52,275,955.30"
3.17,ORCL,"ORACLE CORP",2661568,126.47,"409,034.00","51,730,529.98"
3.10,CRM,"SALESFORCE INC",2310525,305.83,"165,212.00","50,526,785.96"
3.10,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,38.27,"1,318,143.00","50,445,721.65"
3.06,QCOM,"QUALCOMM INC",2714923,167.07,"298,000.00","49,786,860.00"
3.05,AVGO,"BROADCOM INC",BDZ78H9,"1,331.49","37,337.00","49,713,842.13"
3.04,IBM,IBM,2005973,188.50,"263,026.00","49,580,401.00"
2.97,"005930 KS","SAMSUNG ELECTRON",6771720,59.65,"811,037.00","48,375,839.87"
2.97,MSFT,"MICROSOFT CORP",2588173,421.65,"114,692.00","48,359,881.80"
2.90,NOW,"SERVICENOW INC",B80NXX8,778.57,"60,768.00","47,312,141.76"
2.88,GOOGL,"ALPHABET INC-CL A",BYVY8G0,150.67,"311,124.00","46,877,053.08"
2.71,BABA,"ALIBABA GRP-ADR",BP41ZD1,71.48,"618,013.00","44,175,569.24"
2.69,CSCO,"CISCO SYSTEMS INC",2198163,49.55,"883,697.00","43,787,186.35"
2.62,UBER,"UBER TECHNOLOGIES INC",BK6N347,77.91,"548,143.00","42,705,821.13"
2.55,ACN,"ACCENTURE PLC-CL A",B4BNMY3,336.39,"123,713.00","41,615,816.07"
2.49,"SIE GR","SIEMENS AG-REG",5727973,189.82,"213,958.00","40,614,232.31"
2.44,AAPL,"APPLE INC",2046251,169.71,"234,374.00","39,775,611.54"
2.41,INTC,"INTEL CORP",2463247,41.99,"935,558.00","39,284,080.42"
2.39,ADBE,"ADOBE INC",2008154,507.60,"76,595.00","38,879,622.00"
2.38,TSLA,"TESLA INC",B616C79,177.67,"218,751.00","38,865,490.17"
2.14,MU,"MICRON TECHNOLOGY INC",2588184,118.80,"293,121.00","34,822,774.80"
1.56,"000660 KS","SK HYNIX INC",6450267,131.84,"192,506.00","25,379,089.69"
1.55,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,78.53,"321,001.00","25,208,208.53"
1.45,SNPS,"SYNOPSYS INC",2867719,584.32,"40,534.00","23,684,826.88"
1.40,CDNS,"CADENCE DESIGN SYS INC",2302232,316.01,"72,186.00","22,811,497.86"
1.15,TRI,"THOMSON REUTERS CORP",BNBXPB4,155.09,"120,695.00","18,718,587.55"
1.10,"3690 HK","MEITUAN-CLASS B",BGJW376,11.94,"1,498,915.00","17,895,090.43"
1.01,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,239.06,"68,547.00","16,386,845.82"
0.95,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,277.38,"55,714.00","15,453,949.32"
0.93,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,"1,025.06","14,766.00","15,136,035.96"
0.84,FTNT,"FORTINET INC",B5B2106,67.45,"203,311.00","13,713,326.95"
0.72,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,33.95,"347,323.00","11,792,561.55"
0.66,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,89.07,"120,492.00","10,732,222.44"
0.65,"EXPN LN","EXPERIAN PLC",B19NLV4,43.47,"244,712.00","10,636,964.92"
0.64,"WKL NA","WOLTERS KLUWER",5671519,156.36,"66,462.00","10,392,221.68"
0.64,TTD,"TRADE DESK INC-A",BD8FDD1,87.05,"119,101.00","10,367,742.05"
0.61,DDOG,"DATADOG INC - CLASS A",BKT9Y49,123.45,"80,697.00","9,962,044.65"
0.55,"6702 JP","FUJITSU LIMITED",6356945,163.08,"55,289.00","9,016,354.39"
0.53,ROK,"ROCKWELL AUTOMATION INC",2754060,284.45,"30,388.00","8,643,866.60"
0.51,"5803 JP","FUJIKURA LTD",6356707,14.59,"567,731.00","8,282,726.57"
0.48,BIDU,"BAIDU INC - SPON ADR",B0FXT17,103.66,"75,848.00","7,862,403.68"
0.47,ZS,"ZSCALER INC",BZ00V34,195.63,"39,058.00","7,640,916.54"
0.46,"6954 JP","FANUC CORP",6356934,27.93,"267,321.00","7,466,682.81"
0.43,EBAY,"EBAY INC",2293819,51.08,"138,552.00","7,077,236.16"
0.42,CLS,"CELESTICA INC",2262659,46.37,"148,586.00","6,889,932.82"
0.38,PEGA,"PEGASYSTEMS INC",2675860,65.60,"95,126.00","6,240,265.60"
0.38,"6526 JP","SOCIONEXT INC",BMTVX75,29.03,"210,481.00","6,110,940.27"
0.37,HPE,"HEWLETT PACKA",BYVYWS0,17.69,"344,484.00","6,093,921.96"
0.37,"4755 JP","RAKUTEN GROUP INC",6229597,5.80,"1,027,410.00","5,958,347.67"
0.36,HUBB,"HUBBELL INC",BDFG6S3,413.33,"14,246.00","5,888,299.18"
0.34,OKTA,"OKTA INC",BDFZSP1,104.43,"52,694.00","5,502,834.42"
0.33,INFA,"INFORMATICA INC - CLASS A",BMG95P4,35.96,"150,163.00","5,399,861.48"
0.33,"2395 TT","ADVANTECH CO LTD",6202673,12.69,"420,457.00","5,333,673.80"
0.33,STX,"SEAGATE TECHNOLO",BKVD2N4,94.72,"56,292.00","5,331,978.24"
0.32,"AMP IM","AMPLIFON SPA",B14NJ71,36.84,"141,290.00","5,204,913.75"
0.32,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,82.36,"63,177.00","5,203,257.72"
0.32,"6701 JP","NEC CORP",6640400,72.01,"72,261.00","5,203,211.50"
0.32,ZBRA,"ZEBRA TECH CORP",2989356,291.38,"17,794.00","5,184,815.72"
0.31,CYBR,"CYBERARK SOFTWAR",BQT3XY6,263.49,"19,244.00","5,070,601.56"
0.30,CCCS,"CCC INTELLIGENT",BP4CXL8,11.94,"409,157.00","4,885,334.58"
0.30,VRNT,"VERINT SYSTEMS INC",2849193,30.94,"155,475.00","4,810,396.50"
0.29,WIX,"WIX.COM LTD",BFZCHN7,138.05,"34,710.00","4,791,715.50"
0.29,AI,"C3.AI INC-A",BMGNBJ2,27.06,"172,079.00","4,656,457.74"
0.27,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,5.43,"821,059.00","4,458,350.37"
0.27,STNE,"STONECO LTD-A",BGKG6M3,16.64,"266,717.00","4,438,170.88"
0.27,"6588 JP","TOSHIBA TEC CORP",6894887,19.92,"219,904.00","4,381,106.84"
0.27,PATH,"UIPATH INC - CLASS A",BMD02L5,22.71,"192,590.00","4,373,718.90"
0.26,"2353 TT","ACER INC",6005850,1.44,"2,972,600.00","4,278,933.11"
0.26,DOCU,"DOCUSIGN INC",BFYT7B7,58.00,"72,578.00","4,209,524.00"
0.26,SNAP,"SNAP INC - A",BD8DJ71,11.31,"368,895.00","4,172,202.45"
0.26,"TIETO FH","TIETOEVRY OYJ",5479702,21.00,"197,844.00","4,154,019.17"
0.25,DXC,"DXC TECHNOLOGY CO",BYXD7B3,20.64,"197,991.00","4,086,534.24"
0.25,G,"GENPACT LTD",B23DBK6,32.31,"124,827.00","4,033,160.37"
0.25,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,104.74,"38,434.00","4,025,764.73"
0.24,AMBA,"AMBARELLA INC",B7KH3G6,50.30,"78,590.00","3,953,077.00"
0.23,TWLO,"TWILIO INC - A",BD6P5Q0,60.71,"62,188.00","3,775,433.48"
0.23,TDC,"TERADATA CORP",B247H10,38.71,"95,951.00","3,714,263.21"
0.23,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,38.10,"97,382.00","3,710,254.20"
0.21,"TEMN SW","TEMENOS AG - REG",7147892,73.43,"46,478.00","3,413,071.27"
0.20,"3443 TT","GLOBAL UNICHIP CORP",B056381,39.67,"82,406.00","3,269,156.40"
0.20,VSAT,"VIASAT INC",2946243,17.21,"188,232.00","3,239,472.72"
0.16,,CASH,,1.00,"2,602,532.45","2,602,532.45"
0.00,,"OTHER PAYABLE & RECEIVABLES",,1.00,"7,620.42","7,620.42"
0.00,,"KOREAN WON",,0.00,-4.00,0.00
0.00,,"JAPANESE YEN",,0.01,-3.00,-0.02
0.00,,EURO,,1.08,-322.29,-348.99
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
