"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 08/07/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.30,GOOGL,"ALPHABET INC-CL A",BYVY8G0,131.53,"128,524.00","16,904,761.72"
3.29,AMZN,"AMAZON.COM INC",2000019,142.22,"118,601.00","16,867,434.22"
3.24,META,"META PLATFORMS INC",B7TL820,316.56,"52,382.00","16,582,045.92"
3.17,IBM,IBM,2005973,146.18,"110,996.00","16,225,395.28"
3.15,BABA,"ALIBABA GRP-ADR",BP41ZD1,96.56,"167,277.00","16,152,267.12"
3.12,INTC,"INTEL CORP",2463247,35.23,"453,309.00","15,970,076.07"
3.10,NFLX,"NETFLIX INC",2857817,440.76,"36,058.00","15,892,924.08"
3.09,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,43.70,"361,843.00","15,813,714.47"
3.08,NVDA,"NVIDIA CORP",2379504,454.17,"34,759.00","15,786,321.24"
3.07,ADBE,"ADOBE INC",2008154,529.73,"29,690.00","15,727,683.70"
3.03,CSCO,"CISCO SYSTEMS INC",2198163,53.01,"292,944.00","15,528,961.44"
3.02,ACN,"ACCENTURE PLC-CL A",B4BNMY3,315.87,"48,950.00","15,461,836.50"
2.97,ORCL,"ORACLE CORP",2661568,116.10,"131,055.00","15,215,485.50"
2.92,"SIE GR","SIEMENS AG-REG",5727973,163.27,"91,520.00","14,942,492.96"
2.91,TSLA,"TESLA INC",B616C79,251.45,"59,296.00","14,909,979.20"
2.89,MSFT,"MICROSOFT CORP",2588173,330.11,"44,853.00","14,806,423.83"
2.88,"005930 KS","SAMSUNG ELECTRON",6771720,52.45,"281,520.00","14,765,223.38"
2.88,QCOM,"QUALCOMM INC",2714923,119.34,"123,645.00","14,755,794.30"
2.87,NOW,"SERVICENOW INC",B80NXX8,554.89,"26,517.00","14,714,018.13"
2.85,CRM,"SALESFORCE INC",2310525,216.06,"67,644.00","14,615,162.64"
2.80,AAPL,"APPLE INC",2046251,178.85,"80,359.00","14,372,207.15"
2.22,"3690 HK","MEITUAN-CLASS B",BGJW376,18.53,"613,515.00","11,370,993.51"
1.95,UBER,"UBER TECHNOLOGIES INC",BK6N347,44.95,"221,914.00","9,975,034.30"
1.48,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,57.57,"131,437.00","7,566,828.09"
1.46,"000660 KS","SK HYNIX INC",6450267,93.33,"80,335.00","7,498,056.35"
1.44,SNPS,"SYNOPSYS INC",2867719,444.00,"16,581.00","7,361,964.00"
1.37,CDNS,"CADENCE DESIGN SYS INC",2302232,232.44,"30,143.00","7,006,438.92"
1.27,TRI,"THOMSON REUTERS CORP",BNBXPB4,130.43,"50,040.00","6,526,717.20"
1.21,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,218.73,"28,449.00","6,222,649.77"
1.07,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,38.12,"143,572.00","5,472,418.66"
1.03,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,233.55,"22,603.00","5,278,930.65"
0.97,"STMMI IM","STMICROELECTRONICS NV",5962343,49.48,"100,383.00","4,966,683.09"
0.88,BIDU,"BAIDU INC - SPON ADR",B0FXT17,147.00,"30,695.00","4,512,165.00"
0.81,TTD,"TRADE DESK INC-A",BD8FDD1,85.80,"48,569.00","4,167,220.20"
0.76,ROK,"ROCKWELL AUTOMATION INC",2754060,310.46,"12,573.00","3,903,413.58"
0.73,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,75.59,"49,777.00","3,762,643.43"
0.72,"EXPN LN","EXPERIAN PLC",B19NLV4,36.64,"100,661.00","3,688,379.28"
0.69,"WKL NA","WOLTERS KLUWER",5671519,124.34,"28,590.00","3,554,874.56"
0.67,DDOG,"DATADOG INC - CLASS A",BKT9Y49,106.30,"32,206.00","3,423,497.80"
0.63,"6954 JP","FANUC CORP",6356934,28.85,"111,291.00","3,211,016.45"
0.58,"6702 JP","FUJITSU LIMITED",6356945,129.30,"23,131.00","2,990,804.42"
0.51,EBAY,"EBAY INC",2293819,43.85,"59,321.00","2,601,225.85"
0.48,HPE,"HEWLETT PACKA",BYVYWS0,17.55,"140,262.00","2,461,598.10"
0.45,ZS,"ZSCALER INC",BZ00V34,145.34,"15,850.00","2,303,639.00"
0.39,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,353.29,"5,705.00","2,015,519.45"
0.38,FRSH,"FRESHWORKS INC-CL A",BPF0BB7,21.71,"90,320.00","1,960,847.20"
0.38,"6526 JP","SOCIONEXT INC",BMTVX75,127.51,"15,345.00","1,956,596.65"
0.36,SPLK,"SPLUNK INC",B424494,102.34,"17,936.00","1,835,570.24"
0.35,INFA,"INFORMATICA INC - CLASS A",BMG95P4,21.75,"82,284.00","1,789,677.00"
0.35,BAH,"BOOZ ALLEN HAMIL",B5367T7,123.33,"14,387.00","1,774,348.71"
0.34,STX,"SEAGATE TECHNOLO",BKVD2N4,68.51,"25,662.00","1,758,103.62"
0.34,HUBB,"HUBBELL INC",BDFG6S3,309.73,"5,642.00","1,747,496.66"
0.34,WIX,"WIX.COM LTD",BFZCHN7,94.87,"18,296.00","1,735,741.52"
0.33,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,5.03,"337,182.00","1,696,025.46"
0.33,STNE,"STONECO LTD-A",BGKG6M3,14.13,"119,896.00","1,694,130.48"
0.33,BZ,"KANZHUN LTD - ADR",BM91SH0,17.05,"99,019.00","1,688,273.95"
0.32,IONQ,"IONQ INC",BP484B3,15.58,"106,410.00","1,657,867.80"
0.31,OKTA,"OKTA INC",BDFZSP1,73.12,"21,860.00","1,598,403.20"
0.31,"6701 JP","NEC CORP",6640400,50.10,"31,838.00","1,595,199.10"
0.31,SNAP,"SNAP INC - A",BD8DJ71,10.57,"148,823.00","1,573,059.11"
0.31,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,43.03,"36,476.00","1,569,562.28"
0.30,"6502 JP","TOSHIBA CORP",6897217,32.20,"48,332.00","1,556,457.11"
0.30,"2353 TT","ACER INC",6005850,1.14,"1,356,400.00","1,549,535.47"
0.30,TDC,"TERADATA CORP",B247H10,55.48,"27,870.00","1,546,227.60"
0.30,CYBR,"CYBERARK SOFTWAR",BQT3XY6,153.62,"10,051.00","1,544,034.62"
0.30,"TIETO FH","TIETOEVRY OYJ",5479702,24.89,"61,751.00","1,536,980.22"
0.30,TWLO,"TWILIO INC - A",BD6P5Q0,61.59,"24,627.00","1,516,776.93"
0.30,"5803 JP","FUJIKURA LTD",6356707,8.08,"187,169.00","1,511,473.99"
0.29,AMBA,"AMBARELLA INC",B7KH3G6,76.42,"19,392.00","1,481,936.64"
0.29,VRNT,"VERINT SYSTEMS INC",2849193,36.26,"40,725.00","1,476,688.50"
0.29,"XRO AU","XERO LTD",B8P4LP4,79.35,"18,574.00","1,473,797.77"
0.29,"TEMN SW","TEMENOS AG - REG",7147892,82.13,"17,877.00","1,468,267.07"
0.29,CCCS,"CCC INTELLIGENT",BP4CXL8,10.62,"138,252.00","1,468,236.24"
0.29,G,"GENPACT LTD",B23DBK6,36.24,"40,299.00","1,460,435.76"
0.28,"3665 TT","BIZLINK HOLDING INC",B5SG8Y4,9.36,"154,368.00","1,444,398.89"
0.28,VSAT,"VIASAT INC",2946243,29.29,"48,899.00","1,432,251.71"
0.28,"2395 TT","ADVANTECH CO LTD",6202673,11.28,"126,457.00","1,426,671.85"
0.28,"AMP IM","AMPLIFON SPA",B14NJ71,32.89,"43,187.00","1,420,399.90"
0.28,PATH,"UIPATH INC - CLASS A",BMD02L5,16.19,"87,646.00","1,418,988.74"
0.27,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,64.72,"21,660.00","1,401,835.20"
0.27,ENV,"ENVESTNET INC",B474ZK7,55.42,"24,938.00","1,382,063.96"
0.27,CGNX,"COGNEX CORP",2208288,50.01,"27,330.00","1,366,773.30"
0.27,ZBRA,"ZEBRA TECH CORP",2989356,248.23,"5,463.00","1,356,080.49"
0.26,PEGA,"PEGASYSTEMS INC",2675860,47.55,"28,142.00","1,338,152.10"
0.25,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,64.38,"19,690.00","1,267,596.57"
0.21,DXC,"DXC TECHNOLOGY CO",BYXD7B3,19.35,"54,896.00","1,062,237.60"
0.20,"3443 TT","GLOBAL UNICHIP CORP",B056381,44.34,"23,200.00","1,028,654.38"
0.04,,CASH,,1.00,"226,121.74","226,121.74"
0.01,,"TAIWAN DOLLAR",,0.03,"1,248,487.90","39,399.39"
0.00,,"KOREAN WON",,0.00,-4.00,0.00
0.00,,"JAPANESE YEN",,0.01,-3.00,-0.02
0.00,,"CANADIAN DOLLAR",,0.75,-486.69,-363.81
0.00,,EURO,,1.10,-332.77,-366.16
-0.02,,"OTHER PAYABLE & RECEIVABLES",,1.00,"-83,521.29","-83,521.29"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
