"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/25/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.93,BABA,"ALIBABA GRP-ADR",BP41ZD1,175.47,"1,320,097.00","231,637,420.59"
3.55,GOOGL,"ALPHABET INC-CL A",BYVY8G0,245.79,"850,981.00","209,162,619.99"
3.51,"005930 KS","SAMSUNG ELECTRON",6771720,61.48,"3,360,401.00","206,590,879.04"
3.49,TSLA,"TESLA INC",B616C79,423.39,"485,997.00","205,766,269.83"
3.31,ORCL,"ORACLE CORP",2661568,291.33,"668,855.00","194,857,527.15"
3.30,AAPL,"APPLE INC",2046251,256.87,"755,727.00","194,123,594.49"
3.29,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,83.55,"2,322,818.00","194,068,265.66"
3.25,AVGO,"BROADCOM INC",BDZ78H9,336.10,"569,041.00","191,254,680.10"
3.18,PLTR,"PALANTIR TECHN-A",BN78DQ4,179.12,"1,045,989.00","187,357,549.68"
3.16,TSM,"TAIWAN SEMIC-ADR",2113382,276.66,"673,054.00","186,207,119.64"
2.89,META,"META PLATFORMS INC",B7TL820,748.91,"227,043.00","170,034,773.13"
2.86,NVDA,"NVIDIA CORP",2379504,177.69,"947,679.00","168,393,081.51"
2.81,NFLX,"NETFLIX INC",2857817,"1,208.24","137,128.00","165,683,534.72"
2.79,AMD,"ADVANCED MICRO DEVICES",2007849,161.27,"1,020,062.00","164,505,398.74"
2.76,MSFT,"MICROSOFT CORP",2588173,507.03,"320,793.00","162,651,674.79"
2.74,IBM,IBM,2005973,281.44,"574,280.00","161,625,363.20"
2.71,CSCO,"CISCO SYSTEMS INC",2198163,67.85,"2,356,900.00","159,915,665.00"
2.62,AMZN,"AMAZON.COM INC",2000019,218.15,"708,672.00","154,596,796.80"
2.47,CRM,"SALESFORCE INC",2310525,240.95,"604,364.00","145,621,505.80"
2.07,"SIE GR","SIEMENS AG-REG",5727973,261.32,"466,545.00","121,917,716.77"
2.02,UBER,"UBER TECHNOLOGIES INC",BK6N347,97.60,"1,217,606.00","118,838,345.60"
1.95,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,639.91,"179,447.00","114,829,929.77"
1.88,NOW,"SERVICENOW INC",B80NXX8,918.61,"120,611.00","110,794,470.71"
1.84,QCOM,"QUALCOMM INC",2714923,169.68,"639,218.00","108,462,510.24"
1.84,"000660 KS","SK HYNIX INC",6450267,254.55,"424,639.00","108,092,683.68"
1.73,MU,"MICRON TECHNOLOGY INC",2588184,156.83,"651,299.00","102,143,222.17"
1.73,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,143.45,"709,601.00","101,792,263.45"
1.49,ADBE,"ADOBE INC",2008154,354.16,"248,306.00","87,940,052.96"
1.47,INTC,"INTEL CORP",2463247,33.99,"2,538,842.00","86,295,239.58"
1.43,ACN,"ACCENTURE PLC-CL A",B4BNMY3,232.56,"362,428.00","84,286,255.68"
0.94,CDNS,"CADENCE DESIGN SYS INC",2302232,351.06,"158,403.00","55,608,957.18"
0.89,SNPS,"SYNOPSYS INC",2867719,487.20,"107,869.00","52,553,776.80"
0.74,"3690 HK","MEITUAN-CLASS B",BGJW376,13.15,"3,304,115.00","43,446,697.84"
0.73,SNOW,"SNOWFLAKE INC",BN134B7,221.60,"193,778.00","42,941,204.80"
0.72,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,83.81,"502,419.00","42,107,736.39"
0.70,TRI,"THOMSON REUTERS CORP",BNBXPB4,157.95,"262,749.00","41,501,204.55"
0.63,FTNT,"FORTINET INC",B5B2106,83.21,"445,348.00","37,057,407.08"
0.56,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,226.81,"146,341.00","33,191,602.21"
0.54,,CASH,,1.00,"31,658,044.10","31,658,044.10"
0.52,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,242.75,"125,559.00","30,479,447.25"
0.50,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,38.90,"758,536.00","29,507,282.45"
0.50,"6702 JP","FUJITSU LIMITED",6356945,24.33,"1,204,273.00","29,303,023.98"
0.47,"5803 JP","FUJIKURA LTD",6356707,97.24,"283,446.00","27,561,327.90"
0.46,CRWV,"COREWEAVE INC-CL A",BTTRKN7,126.66,"215,199.00","27,257,105.34"
0.46,STX,"SEAGATE TECHNOLO",BKVD2N4,219.85,"122,506.00","26,932,944.10"
0.45,ZS,"ZSCALER INC",BZ00V34,286.66,"91,725.00","26,293,888.50"
0.44,"EXPN LN","EXPERIAN PLC",B19NLV4,48.78,"532,085.00","25,952,594.14"
0.44,HUT,"HUT 8 CORP",BQQ8816,34.88,"743,404.00","25,929,931.52"
0.43,DDOG,"DATADOG INC - CLASS A",BKT9Y49,136.60,"184,543.00","25,208,573.80"
0.43,"6701 JP","NEC CORP",6640400,31.70,"793,271.00","25,144,413.76"
0.40,BIDU,"BAIDU INC - SPON ADR",B0FXT17,135.40,"171,816.00","23,263,886.40"
0.39,PONY,"PONY AI INC",BRWKBD6,21.31,"1,064,763.00","22,690,099.53"
0.37,SOUN,"SOUNDHOUND AI INC-A",BLDBS68,16.35,"1,318,689.00","21,560,565.15"
0.36,STNE,"STONECO LTD-A",BGKG6M3,18.57,"1,142,879.00","21,223,263.03"
0.36,CYBR,"CYBERARK SOFTWAR",BQT3XY6,480.54,"43,962.00","21,125,499.48"
0.34,AMBA,"AMBARELLA INC",B7KH3G6,83.40,"237,543.00","19,811,086.20"
0.33,"4755 JP","RAKUTEN GROUP INC",6229597,6.52,"2,938,433.00","19,156,222.75"
0.32,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,71.50,"265,482.00","18,981,963.00"
0.32,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,20.58,"921,324.00","18,960,847.92"
0.32,HPE,"HEWLETT PACKA",BYVYWS0,24.21,"776,512.00","18,799,355.52"
0.31,"WKL NA","WOLTERS KLUWER",5671519,131.48,"139,698.00","18,367,150.23"
0.31,WIX,"WIX.COM LTD",BFZCHN7,173.60,"104,946.00","18,218,100.87"
0.30,WRD,"WERIDE INC-ADR",BMYDW80,10.91,"1,610,297.00","17,568,340.27"
0.29,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.13,"2,103,653.00","17,102,698.89"
0.29,"3443 TT","GLOBAL UNICHIP CORP",B056381,43.05,"396,196.00","17,056,368.33"
0.28,"TIETO FH","TIETOEVRY OYJ",5479702,17.74,"926,874.00","16,439,616.15"
0.28,"6526 JP","SOCIONEXT INC",BMTVX75,19.31,"850,676.00","16,429,669.80"
0.28,"6954 JP","FANUC CORP",6356934,28.68,"571,745.00","16,395,614.63"
0.28,INFA,"INFORMATICA INC - CLASS A",BMG95P4,24.84,"656,928.00","16,318,091.52"
0.27,PEGA,"PEGASYSTEMS INC",2675860,58.29,"277,234.00","16,159,969.86"
0.27,"6588 JP","TOSHIBA TEC CORP",6894887,20.68,"776,389.00","16,058,568.88"
0.27,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,46.24,"347,010.00","16,045,742.40"
0.27,"2353 TT","ACER INC",6005850,1.04,"15,241,500.00","15,902,910.83"
0.27,TDC,"TERADATA CORP",B247H10,21.88,"723,987.00","15,840,835.56"
0.26,PATH,"UIPATH INC - CLASS A",BMD02L5,12.14,"1,274,618.00","15,473,862.52"
0.26,OKTA,"OKTA INC",BDFZSP1,91.19,"168,307.00","15,347,915.33"
0.25,CCCS,"CCC INTELLIGENT",BP4CXL8,9.20,"1,610,636.00","14,817,851.20"
0.25,VRNT,"VERINT SYSTEMS INC",2849193,20.27,"722,946.00","14,654,115.42"
0.25,"2395 TT","ADVANTECH CO LTD",6202673,10.55,"1,387,957.00","14,641,522.11"
0.25,G,"GENPACT LTD",B23DBK6,41.79,"350,092.00","14,630,344.68"
0.25,NICE,"NICE LTD - SPON ADR",2639736,147.14,"98,270.00","14,459,447.80"
0.25,ZBRA,"ZEBRA TECH CORP",2989356,301.97,"47,845.00","14,447,754.65"
0.25,DXC,"DXC TECHNOLOGY CO",BYXD7B3,13.27,"1,086,617.00","14,419,407.59"
0.24,"TEMN SW","TEMENOS AG - REG",7147892,80.84,"176,042.00","14,231,170.61"
0.23,SNAP,"SNAP INC - A",BD8DJ71,8.33,"1,597,588.00","13,307,908.04"
0.21,TWLO,"TWILIO INC - A",BD6P5Q0,101.33,"121,027.00","12,263,665.91"
0.21,TTD,"TRADE DESK INC-A",BD8FDD1,46.76,"260,517.00","12,181,774.92"
0.19,"AMP IM","AMPLIFON SPA",B14NJ71,16.33,"683,883.00","11,167,539.01"
0.16,AI,"C3.AI INC-A",BMGNBJ2,17.28,"551,584.00","9,531,371.52"
0.00,,"SWISS FRANC",,1.25,132.60,165.68
0.00,,"CANADIAN DOLLAR",,0.72,-277.95,-199.66
0.00,,EURO,,1.17,-332.77,-388.56
-0.01,,"HONG KONG DOLLAR",,0.13,"-4,015,354.26","-516,119.01"
-0.08,,"TAIWAN DOLLAR",,0.03,"-137,359,942.40","-4,514,038.76"
-0.16,,"KOREAN WON",,0.00,"-12,859,290,086.04","-9,181,927.94"
-0.30,,"OTHER PAYABLE & RECEIVABLES",,1.00,"-17,844,631.37","-17,844,631.37"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
