"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 12/29/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.08,INTC,"INTEL CORP",2463247,50.25,"732,054.00","36,785,713.50"
3.35,NOW,"SERVICENOW INC",B80NXX8,706.49,"42,802.00","30,239,184.98"
3.32,META,"META PLATFORMS INC",B7TL820,353.96,"84,620.00","29,952,095.20"
3.25,IBM,IBM,2005973,163.55,"179,010.00","29,277,085.50"
3.23,AMZN,"AMAZON.COM INC",2000019,151.94,"191,561.00","29,105,778.34"
3.22,GOOGL,"ALPHABET INC-CL A",BYVY8G0,139.69,"207,519.00","28,988,329.11"
3.20,QCOM,"QUALCOMM INC",2714923,144.63,"199,683.00","28,880,152.29"
3.19,CRM,"SALESFORCE INC",2310525,263.14,"109,131.00","28,716,731.34"
3.17,ADBE,"ADOBE INC",2008154,596.60,"47,897.00","28,575,350.20"
3.15,NFLX,"NETFLIX INC",2857817,486.88,"58,249.00","28,360,273.12"
3.09,NVDA,"NVIDIA CORP",2379504,495.22,"56,183.00","27,822,945.26"
3.08,ACN,"ACCENTURE PLC-CL A",B4BNMY3,350.91,"79,093.00","27,754,524.63"
3.08,"SIE GR","SIEMENS AG-REG",5727973,187.70,"147,813.00","27,744,940.64"
3.07,"005930 KS","SAMSUNG ELECTRON",6771720,60.95,"453,725.00","27,655,417.73"
3.02,MSFT,"MICROSOFT CORP",2588173,376.04,"72,443.00","27,241,465.72"
2.77,AAPL,"APPLE INC",2046251,192.53,"129,760.00","24,982,692.80"
2.65,CSCO,"CISCO SYSTEMS INC",2198163,50.52,"473,225.00","23,907,327.00"
2.64,TSLA,"TESLA INC",B616C79,248.48,"95,773.00","23,797,675.04"
2.48,ORCL,"ORACLE CORP",2661568,105.43,"211,674.00","22,316,789.82"
2.45,UBER,"UBER TECHNOLOGIES INC",BK6N347,61.57,"357,942.00","22,038,488.94"
2.44,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,37.60,"584,543.00","21,978,706.01"
2.32,BABA,"ALIBABA GRP-ADR",BP41ZD1,77.51,"270,180.00","20,941,651.80"
1.84,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,77.90,"212,442.00","16,549,231.80"
