"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 04/01/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.49,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,64.77,"1,991,543.00","128,993,570.74"
4.26,BABA,"ALIBABA GRP-ADR",BP41ZD1,132.70,"920,927.00","122,207,012.90"
3.57,"005930 KS","SAMSUNG ELECTRON",6771720,39.94,"2,564,291.00","102,428,797.12"
3.33,AAPL,"APPLE INC",2046251,223.19,"428,532.00","95,644,057.08"
3.31,CSCO,"CISCO SYSTEMS INC",2198163,61.80,"1,539,716.00","95,154,448.80"
3.14,NFLX,"NETFLIX INC",2857817,928.38,"97,031.00","90,081,639.78"
3.12,IBM,IBM,2005973,250.34,"358,049.00","89,633,986.66"
3.07,META,"META PLATFORMS INC",B7TL820,586.00,"150,405.00","88,137,330.00"
2.88,ACN,"ACCENTURE PLC-CL A",B4BNMY3,313.58,"263,925.00","82,761,601.50"
2.85,MSFT,"MICROSOFT CORP",2588173,382.19,"214,232.00","81,877,328.08"
2.72,AMZN,"AMAZON.COM INC",2000019,192.17,"406,965.00","78,206,464.05"
2.70,CRM,"SALESFORCE INC",2310525,270.20,"286,532.00","77,420,946.40"
2.65,GOOGL,"ALPHABET INC-CL A",BYVY8G0,157.07,"484,027.00","76,026,120.89"
2.54,ORCL,"ORACLE CORP",2661568,141.94,"513,974.00","72,953,469.56"
2.51,TSM,"TAIWAN SEMIC-ADR",2113382,168.64,"426,804.00","71,976,226.56"
2.51,"SIE GR","SIEMENS AG-REG",5727973,232.15,"310,009.00","71,970,025.57"
2.50,NVDA,"NVIDIA CORP",2379504,110.15,"650,628.00","71,666,674.20"
2.49,PLTR,"PALANTIR TECHN-A",BN78DQ4,84.68,"843,967.00","71,467,125.56"
2.39,NOW,"SERVICENOW INC",B80NXX8,811.56,"84,586.00","68,646,614.16"
2.34,AVGO,"BROADCOM INC",BDZ78H9,168.52,"398,740.00","67,195,664.80"
2.29,QCOM,"QUALCOMM INC",2714923,153.05,"429,994.00","65,810,581.70"
2.25,ADBE,"ADOBE INC",2008154,383.20,"168,742.00","64,661,934.40"
2.25,AMD,"ADVANCED MICRO DEVICES",2007849,102.78,"627,890.00","64,534,534.20"
2.17,TSLA,"TESLA INC",B616C79,268.46,"232,507.00","62,418,829.22"
2.07,UBER,"UBER TECHNOLOGIES INC",BK6N347,72.99,"814,633.00","59,460,062.67"
1.60,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,97.64,"469,278.00","45,820,303.92"
1.51,"3690 HK","MEITUAN-CLASS B",BGJW376,20.29,"2,142,215.00","43,470,338.95"
1.33,MU,"MICRON TECHNOLOGY INC",2588184,88.71,"430,873.00","38,222,743.83"
1.31,"000660 KS","SK HYNIX INC",6450267,133.83,"281,655.00","37,693,036.92"
1.28,INTC,"INTEL CORP",2463247,22.05,"1,667,557.00","36,769,631.85"
1.14,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,282.70,"115,658.00","32,696,516.60"
1.05,TRI,"THOMSON REUTERS CORP",BNBXPB4,174.07,"173,790.00","30,251,625.30"
1.00,FTNT,"FORTINET INC",B5B2106,96.67,"296,370.00","28,650,087.90"
0.96,CDNS,"CADENCE DESIGN SYS INC",2302232,258.79,"106,294.00","27,507,824.26"
0.91,SNPS,"SYNOPSYS INC",2867719,435.94,"59,972.00","26,144,193.68"
0.73,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,62.67,"334,760.00","20,979,409.20"
0.68,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,234.53,"82,919.00","19,446,993.07"
0.66,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,149.54,"127,362.00","19,045,713.48"
0.65,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,190.00,"98,432.00","18,702,080.00"
0.59,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,33.47,"504,702.00","16,891,964.50"
0.57,"EXPN LN","EXPERIAN PLC",B19NLV4,46.51,"354,669.00","16,496,978.75"
0.55,"6702 JP","FUJITSU LIMITED",6356945,19.87,"798,655.00","15,869,833.72"
0.50,"WKL NA","WOLTERS KLUWER",5671519,156.27,"92,258.00","14,416,715.03"
0.49,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,79.57,"176,591.00","14,051,345.87"
0.43,DDOG,"DATADOG INC - CLASS A",BKT9Y49,101.06,"121,232.00","12,251,705.92"
0.43,"6701 JP","NEC CORP",6640400,21.31,"574,310.00","12,239,172.68"
0.42,ZS,"ZSCALER INC",BZ00V34,201.07,"59,406.00","11,944,764.42"
0.41,STNE,"STONECO LTD-A",BGKG6M3,10.57,"1,114,397.00","11,779,176.29"
0.40,OKTA,"OKTA INC",BDFZSP1,104.69,"108,350.00","11,343,161.50"
0.37,BIDU,"BAIDU INC - SPON ADR",B0FXT17,91.63,"115,649.00","10,596,917.87"
0.37,"6954 JP","FANUC CORP",6356934,27.39,"383,396.00","10,502,838.87"
0.36,G,"GENPACT LTD",B23DBK6,50.56,"206,834.00","10,457,527.04"
0.35,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,35.05,"285,317.00","10,000,360.85"
0.35,TTD,"TRADE DESK INC-A",BD8FDD1,57.10,"173,567.00","9,910,675.70"
0.33,"2395 TT","ADVANTECH CO LTD",6202673,11.56,"820,957.00","9,489,118.30"
0.33,"2353 TT","ACER INC",6005850,1.11,"8,410,300.00","9,366,717.84"
0.32,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,7.79,"1,188,815.00","9,260,868.85"
0.32,NICE,"NICE LTD - SPON ADR",2639736,155.09,"59,442.00","9,218,859.78"
0.32,"4755 JP","RAKUTEN GROUP INC",6229597,5.66,"1,626,507.00","9,207,774.19"
0.32,CYBR,"CYBERARK SOFTWAR",BQT3XY6,348.26,"26,330.00","9,169,685.80"
0.32,"TIETO FH","TIETOEVRY OYJ",5479702,17.66,"516,810.00","9,129,082.73"
0.31,"TEMN SW","TEMENOS AG - REG",7147892,80.27,"112,315.00","9,015,484.90"
0.29,TWLO,"TWILIO INC - A",BD6P5Q0,98.17,"84,301.00","8,275,829.17"
0.28,SNAP,"SNAP INC - A",BD8DJ71,8.93,"901,648.00","8,051,716.64"
0.28,HPE,"HEWLETT PACKA",BYVYWS0,15.64,"506,921.00","7,928,244.44"
0.27,DXC,"DXC TECHNOLOGY CO",BYXD7B3,17.34,"450,701.00","7,815,155.34"
0.27,"6588 JP","TOSHIBA TEC CORP",6894887,17.55,"437,820.00","7,684,912.07"
0.26,CCCS,"CCC INTELLIGENT",BP4CXL8,9.06,"835,332.00","7,568,107.92"
0.26,STX,"SEAGATE TECHNOLO",BKVD2N4,84.54,"87,719.00","7,415,764.26"
0.25,PATH,"UIPATH INC - CLASS A",BMD02L5,10.50,"691,714.00","7,262,997.00"
0.25,"AMP IM","AMPLIFON SPA",B14NJ71,20.43,"351,375.00","7,177,313.84"
0.25,"5803 JP","FUJIKURA LTD",6356707,35.05,"204,258.00","7,158,232.66"
0.25,"3443 TT","GLOBAL UNICHIP CORP",B056381,32.66,"218,865.00","7,147,929.84"
0.24,INFA,"INFORMATICA INC - CLASS A",BMG95P4,17.65,"386,037.00","6,813,553.05"
0.24,TDC,"TERADATA CORP",B247H10,22.75,"296,348.00","6,741,917.00"
0.23,VRNT,"VERINT SYSTEMS INC",2849193,17.83,"373,351.00","6,656,848.33"
0.23,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,7.76,"856,811.00","6,648,853.36"
0.23,WIX,"WIX.COM LTD",BFZCHN7,164.00,"40,207.00","6,593,948.00"
0.23,"6526 JP","SOCIONEXT INC",BMTVX75,11.84,"549,646.00","6,510,395.12"
0.22,ZBRA,"ZEBRA TECH CORP",2989356,283.07,"22,686.00","6,421,726.02"
0.22,PEGA,"PEGASYSTEMS INC",2675860,70.57,"87,513.00","6,175,792.41"
