"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 12/09/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.20,TSLA,"TESLA INC",B616C79,389.79,"280,944.00","109,509,161.76"
3.89,NOW,"SERVICENOW INC",B80NXX8,"1,120.48","90,488.00","101,389,994.24"
3.78,NFLX,"NETFLIX INC",2857817,913.69,"107,906.00","98,592,633.14"
3.65,CRM,"SALESFORCE INC",2310525,351.57,"270,584.00","95,129,216.88"
3.54,ORCL,"ORACLE CORP",2661568,190.45,"483,664.00","92,113,808.80"
3.38,CSCO,"CISCO SYSTEMS INC",2198163,58.95,"1,493,690.00","88,053,025.50"
3.34,META,"META PLATFORMS INC",B7TL820,613.57,"141,776.00","86,989,500.32"
3.32,IBM,IBM,2005973,230.00,"376,175.00","86,520,250.00"
3.22,BABA,"ALIBABA GRP-ADR",BP41ZD1,92.32,"909,906.00","84,002,521.92"
3.22,AMZN,"AMAZON.COM INC",2000019,226.09,"371,396.00","83,968,921.64"
3.03,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,53.88,"1,465,043.00","78,930,713.51"
3.01,NVDA,"NVIDIA CORP",2379504,138.81,"564,879.00","78,410,853.99"
2.91,AAPL,"APPLE INC",2046251,246.75,"307,591.00","75,898,079.25"
2.90,AVGO,"BROADCOM INC",BDZ78H9,178.94,"422,788.00","75,653,684.72"
2.89,ACN,"ACCENTURE PLC-CL A",B4BNMY3,359.50,"209,514.00","75,320,283.00"
2.67,MSFT,"MICROSOFT CORP",2588173,446.02,"155,678.00","69,435,501.56"
2.66,ADBE,"ADOBE INC",2008154,547.93,"126,604.00","69,370,129.72"
2.57,GOOGL,"ALPHABET INC-CL A",BYVY8G0,175.37,"381,065.00","66,827,369.05"
2.42,"SIE GR","SIEMENS AG-REG",5727973,205.63,"306,959.00","63,120,844.24"
2.21,QCOM,"QUALCOMM INC",2714923,160.74,"358,084.00","57,558,422.16"
2.05,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,115.29,"463,453.00","53,431,496.37"
2.02,UBER,"UBER TECHNOLOGIES INC",BK6N347,65.74,"800,846.00","52,647,616.04"
1.79,"3690 HK","MEITUAN-CLASS B",BGJW376,22.09,"2,109,415.00","46,593,068.09"
1.68,MU,"MICRON TECHNOLOGY INC",2588184,102.82,"424,869.00","43,685,030.58"
1.63,"005930 KS","SAMSUNG ELECTRON",6771720,37.17,"1,144,000.00","42,517,817.37"
1.30,INTC,"INTEL CORP",2463247,20.81,"1,631,742.00","33,956,551.02"
1.26,"000660 KS","SK HYNIX INC",6450267,117.55,"279,041.00","32,802,077.46"
1.24,CDNS,"CADENCE DESIGN SYS INC",2302232,309.75,"104,306.00","32,308,783.50"
1.14,SNPS,"SYNOPSYS INC",2867719,508.49,"58,599.00","29,797,005.51"
1.12,TRI,"THOMSON REUTERS CORP",BNBXPB4,169.06,"172,874.00","29,226,078.44"
1.09,FTNT,"FORTINET INC",B5B2106,97.04,"291,374.00","28,274,932.96"
0.88,TTD,"TRADE DESK INC-A",BD8FDD1,134.77,"169,680.00","22,867,773.60"
0.87,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,279.91,"81,094.00","22,699,021.54"
0.84,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,223.61,"97,974.00","21,907,966.14"
0.73,DDOG,"DATADOG INC - CLASS A",BKT9Y49,161.19,"118,155.00","19,045,404.45"
0.68,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,35.39,"498,770.00","17,650,385.76"
0.64,"EXPN LN","EXPERIAN PLC",B19NLV4,47.20,"350,654.00","16,549,935.40"
0.62,"WKL NA","WOLTERS KLUWER",5671519,170.90,"95,042.00","16,242,838.97"
0.56,"6702 JP","FUJITSU LIMITED",6356945,18.51,"788,515.00","14,592,944.38"
0.55,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,81.90,"174,157.00","14,263,458.30"
0.54,"5803 JP","FUJIKURA LTD",6356707,40.97,"343,136.00","14,059,431.01"
