"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 10/02/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.55,GOOGL,"ALPHABET INC-CL A",BYVY8G0,134.17,"150,750.00","20,226,127.50"
3.31,INTC,"INTEL CORP",2463247,35.46,"532,498.00","18,882,379.08"
3.31,META,"META PLATFORMS INC",B7TL820,306.82,"61,459.00","18,856,850.38"
3.26,CSCO,"CISCO SYSTEMS INC",2198163,54.00,"343,963.00","18,574,002.00"
3.22,IBM,IBM,2005973,140.80,"130,402.00","18,360,601.60"
3.20,NVDA,"NVIDIA CORP",2379504,447.82,"40,706.00","18,228,960.92"
3.18,ADBE,"ADOBE INC",2008154,521.13,"34,819.00","18,145,225.47"
3.16,AMZN,"AMAZON.COM INC",2000019,129.46,"139,259.00","18,028,470.14"
3.10,ACN,"ACCENTURE PLC-CL A",B4BNMY3,308.26,"57,401.00","17,694,432.26"
3.07,TSLA,"TESLA INC",B616C79,251.60,"69,625.00","17,517,650.00"
3.03,NOW,"SERVICENOW INC",B80NXX8,555.23,"31,101.00","17,268,208.23"
2.98,BABA,"ALIBABA GRP-ADR",BP41ZD1,86.53,"196,386.00","16,993,280.58"
2.97,MSFT,"MICROSOFT CORP",2588173,321.80,"52,678.00","16,951,780.40"
2.91,"005930 KS","SAMSUNG ELECTRON",6771720,50.69,"327,835.00","16,617,692.31"
2.91,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,39.09,"424,443.00","16,592,865.24"
2.88,ORCL,"ORACLE CORP",2661568,106.71,"153,904.00","16,423,095.84"
2.88,AAPL,"APPLE INC",2046251,173.75,"94,444.00","16,409,645.00"
2.83,CRM,"SALESFORCE INC",2310525,203.71,"79,339.00","16,162,147.69"
2.83,QCOM,"QUALCOMM INC",2714923,111.10,"145,242.00","16,136,386.20"
2.82,NFLX,"NETFLIX INC",2857817,380.33,"42,318.00","16,094,804.94"
2.66,"SIE GR","SIEMENS AG-REG",5727973,141.12,"107,483.00","15,168,230.22"
2.09,UBER,"UBER TECHNOLOGIES INC",BK6N347,45.68,"260,726.00","11,909,963.68"
1.85,"3690 HK","MEITUAN-CLASS B",BGJW376,14.63,"720,415.00","10,540,572.23"
1.58,SNPS,"SYNOPSYS INC",2867719,463.82,"19,398.00","8,997,180.36"
1.46,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,54.00,"154,286.00","8,331,444.00"
1.46,CDNS,"CADENCE DESIGN SYS INC",2302232,236.49,"35,093.00","8,299,143.57"
1.39,"000660 KS","SK HYNIX INC",6450267,85.00,"93,315.00","7,931,844.15"
1.25,TRI,"THOMSON REUTERS CORP",BNBXPB4,121.63,"58,386.00","7,101,489.18"
1.17,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,200.19,"33,457.00","6,697,756.83"
1.00,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,213.66,"26,672.00","5,698,739.52"
0.98,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,32.97,"168,612.00","5,559,337.55"
0.89,"STMMI IM","STMICROELECTRONICS NV",5962343,43.10,"117,911.00","5,081,442.40"
0.84,BIDU,"BAIDU INC - SPON ADR",B0FXT17,133.05,"36,016.00","4,791,928.80"
0.78,TTD,"TRADE DESK INC-A",BD8FDD1,78.31,"57,020.00","4,465,236.20"
0.74,ROK,"ROCKWELL AUTOMATION INC",2754060,283.95,"14,764.00","4,192,237.80"
0.71,"WKL NA","WOLTERS KLUWER",5671519,120.56,"33,598.00","4,050,522.54"
0.70,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,67.84,"58,541.00","3,971,421.44"
0.67,"EXPN LN","EXPERIAN PLC",B19NLV4,32.36,"118,189.00","3,824,979.45"
0.61,DDOG,"DATADOG INC - CLASS A",BKT9Y49,91.84,"37,840.00","3,475,225.60"
0.60,"6954 JP","FANUC CORP",6356934,26.38,"130,384.00","3,439,607.27"
0.56,"6702 JP","FUJITSU LIMITED",6356945,117.19,"27,200.00","3,187,507.09"
0.54,SPLK,"SPLUNK INC",B424494,146.20,"21,066.00","3,079,849.20"
0.53,ZS,"ZSCALER INC",BZ00V34,160.89,"18,667.00","3,003,333.63"
0.52,EBAY,"EBAY INC",2293819,43.55,"68,638.00","2,989,184.90"
0.50,HPE,"HEWLETT PACKA",BYVYWS0,17.44,"164,989.00","2,877,408.16"
0.37,CCCS,"CCC INTELLIGENT",BP4CXL8,12.94,"162,979.00","2,108,948.26"
0.36,OKTA,"OKTA INC",BDFZSP1,80.72,"25,616.00","2,067,723.52"
0.36,FRSH,"FRESHWORKS INC-CL A",BPF0BB7,19.37,"106,283.00","2,058,701.71"
0.36,"6701 JP","NEC CORP",6640400,54.55,"37,472.00","2,044,086.41"
0.36,HUBB,"HUBBELL INC",BDFG6S3,309.26,"6,581.00","2,035,240.06"
0.35,INFA,"INFORMATICA INC - CLASS A",BMG95P4,20.88,"96,682.00","2,018,720.16"
0.35,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,84.66,"23,690.00","2,005,541.51"
0.35,STX,"SEAGATE TECHNOLO",BKVD2N4,66.19,"30,044.00","1,988,612.36"
0.34,CYBR,"CYBERARK SOFTWAR",BQT3XY6,164.56,"11,929.00","1,963,036.24"
0.34,WIX,"WIX.COM LTD",BFZCHN7,90.74,"21,426.00","1,944,195.24"
0.34,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,288.86,"6,644.00","1,919,185.84"
0.34,BAH,"BOOZ ALLEN HAMIL",B5367T7,113.57,"16,891.00","1,918,310.87"
0.33,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,4.76,"396,026.00","1,885,083.76"
0.33,IONQ,"IONQ INC",BP484B3,14.81,"125,190.00","1,854,063.90"
0.33,"2353 TT","ACER INC",6005850,1.15,"1,606,800.00","1,851,077.45"
0.32,BZ,"KANZHUN LTD - ADR",BM91SH0,15.49,"116,234.00","1,800,464.66"
0.31,"5803 JP","FUJIKURA LTD",6356707,8.08,"220,034.00","1,776,776.94"
0.31,PATH,"UIPATH INC - CLASS A",BMD02L5,17.24,"102,983.00","1,775,426.92"
0.31,"6526 JP","SOCIONEXT INC",BMTVX75,97.37,"18,162.00","1,768,384.53"
0.31,"6502 JP","TOSHIBA CORP",6897217,30.71,"56,783.00","1,743,525.53"
0.30,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,40.63,"42,736.00","1,736,363.68"
0.30,G,"GENPACT LTD",B23DBK6,35.87,"47,498.00","1,703,753.26"
0.30,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,66.74,"25,416.00","1,696,263.84"
0.29,TWLO,"TWILIO INC - A",BD6P5Q0,57.84,"29,009.00","1,677,880.56"
0.28,"TIETO FH","TIETOEVRY OYJ",5479702,21.96,"72,706.00","1,596,608.95"
0.27,"XRO AU","XERO LTD",B8P4LP4,71.97,"21,704.00","1,561,951.21"
0.27,"3665 TT","BIZLINK HOLDING INC",B5SG8Y4,8.31,"185,668.00","1,543,035.09"
0.27,"2395 TT","ADVANTECH CO LTD",6202673,10.68,"142,757.00","1,525,072.84"
0.27,SNAP,"SNAP INC - A",BD8DJ71,8.74,"174,489.00","1,525,033.86"
0.26,STNE,"STONECO LTD-A",BGKG6M3,10.68,"140,554.00","1,501,116.72"
0.26,ZBRA,"ZEBRA TECH CORP",2989356,233.63,"6,402.00","1,495,699.26"
0.26,"AMP IM","AMPLIFON SPA",B14NJ71,29.26,"51,012.00","1,492,368.07"
0.26,TDC,"TERADATA CORP",B247H10,45.24,"32,878.00","1,487,400.72"
0.26,"TEMN SW","TEMENOS AG - REG",7147892,69.98,"21,007.00","1,470,021.48"
0.25,PEGA,"PEGASYSTEMS INC",2675860,43.18,"33,150.00","1,431,417.00"
0.24,DXC,"DXC TECHNOLOGY CO",BYXD7B3,21.15,"64,599.00","1,366,268.85"
0.24,CGNX,"COGNEX CORP",2208288,42.23,"32,025.00","1,352,415.75"
0.22,ENV,"ENVESTNET INC",B474ZK7,42.45,"29,320.00","1,244,634.00"
0.22,"3443 TT","GLOBAL UNICHIP CORP",B056381,43.72,"28,200.00","1,233,025.82"
0.21,AMBA,"AMBARELLA INC",B7KH3G6,52.63,"22,835.00","1,201,806.05"
0.19,VRNT,"VERINT SYSTEMS INC",2849193,22.75,"47,924.00","1,090,271.00"
0.18,VSAT,"VIASAT INC",2946243,17.99,"57,350.00","1,031,726.50"
0.16,,CASH,,1.00,"907,726.68","907,726.68"
0.03,,"OTHER PAYABLE & RECEIVABLES",,1.00,"188,814.26","188,814.26"
0.00,,"KOREAN WON",,0.00,-4.00,0.00
0.00,,"JAPANESE YEN",,0.01,-3.00,-0.02
0.00,,EURO,,1.05,-332.77,-349.31
0.00,,"CANADIAN DOLLAR",,0.73,-486.69,-356.15
-0.01,,"TAIWAN DOLLAR",,0.03,"-1,640,519.76","-50,872.77"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
