"Global X Artificial Intelligence & Technology ETF",,,,
"Fund Holdings Data as of 08/07/2020",,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.477,QCOM,"QUALCOMM INC",2714923,108.25,"23,235.00","2,515,188.75"
3.324,FB,"FACEBOOK INC-CLASS A",B7TL820,268.44,"8,957.00","2,404,417.08"
3.267,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,"1,053.12","2,244.00","2,363,201.28"
3.219,"3690 HK","MEITUAN DIANPING-CLASS B",BGJW376,28.70,"81,142.00","2,328,408.50"
3.215,AMD,"ADVANCED MICRO DEVICES",2007849,84.85,"27,410.00","2,325,738.50"
3.184,NVDA,"NVIDIA CORP",2379504,447.98,"5,141.00","2,303,065.18"
3.094,"005930 KS","SAMSUNG ELECTRON",6771720,48.54,"46,102.00","2,237,677.80"
3.072,CRM,"SALESFORCE.COM INC",2310525,201.05,"11,051.00","2,221,803.55"
3.056,AMZN,"AMAZON.COM INC",2000019,"3,167.46",698.00,"2,210,887.08"
3.021,MSFT,"MICROSOFT CORP",2588173,212.48,"10,286.00","2,185,569.28"
2.998,ADBE,"ADOBE INC",2008154,449.57,"4,824.00","2,168,725.68"
2.983,NFLX,"NETFLIX INC",2857817,494.73,"4,362.00","2,158,012.26"
2.955,"SIE GR","SIEMENS AG-REG",5727973,136.68,"15,639.00","2,137,484.86"
2.884,NOW,"SERVICENOW INC",B80NXX8,431.21,"4,837.00","2,085,762.77"
2.882,BABA,"ALIBABA GRP-ADR",BP41ZD1,252.10,"8,270.00","2,084,867.00"
2.881,CSCO,"CISCO SYSTEMS INC",2198163,47.43,"43,942.00","2,084,169.06"
2.853,ORCL,"ORACLE CORP",2661568,55.23,"37,362.00","2,063,503.26"
2.842,GOOGL,"ALPHABET INC-CL A",BYVY8G0,"1,498.37","1,372.00","2,055,763.64"
2.827,IBM,IBM,2005973,124.96,"16,362.00","2,044,595.52"
2.730,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,68.06,"29,010.00","1,974,462.44"
2.290,INTC,"INTEL CORP",2463247,48.03,"34,489.00","1,656,506.67"
1.858,UBER,"UBER TECHNOLOGIES INC",BK6N347,32.90,"40,844.00","1,343,767.60"
1.775,NOC,"NORTHROP GRUMMAN CORP",2648806,329.27,"3,900.00","1,284,153.00"
1.254,EBAY,"EBAY INC",2293819,55.21,"16,432.00","907,210.72"
1.200,TRI,"THOMSON REUTERS CORP",BFXPT09,74.87,"11,591.00","867,818.17"
1.102,BIDU,"BAIDU INC - SPON ADR",B0FXT17,125.00,"6,375.00","796,875.00"
1.102,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,25.98,"30,689.00","797,361.20"
1.070,"EXPN LN","EXPERIAN PLC",B19NLV4,36.10,"21,440.00","773,968.83"
1.046,TWLO,"TWILIO INC - A",BD6P5Q0,249.00,"3,039.00","756,711.00"
1.029,SPLK,"SPLUNK INC",B424494,200.38,"3,714.00","744,211.32"
1.004,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,177.47,"4,092.00","726,207.24"
1.002,VRSK,"VERISK ANALYTICS INC",B4P9W92,191.16,"3,792.00","724,878.72"
0.968,SNPS,"SYNOPSYS INC",2867719,198.79,"3,524.00","700,535.96"
0.944,"000660 KS","SK HYNIX INC",6450267,68.04,"10,041.00","683,159.25"
0.942,TWTR,"TWITTER INC",BFLR866,37.14,"18,340.00","681,147.60"
0.888,MU,"MICRON TECHNOLOGY INC",2588184,48.75,"13,176.00","642,330.00"
0.849,"STM IM","STMICROELECTRONICS NV",5962343,28.87,"21,267.00","613,982.21"
0.844,SNAP,"SNAP INC - A",BD8DJ71,21.58,"28,305.00","610,821.90"
0.844,XLNX,"XILINX INC",2985677,107.46,"5,684.00","610,802.64"
0.798,MCHP,"MICROCHIP TECHNOLOGY INC",2592174,98.97,"5,833.00","577,292.01"
0.774,"HEXAB SS","HEXAGON AB-B SHS",B1XFTL2,68.09,"8,223.00","559,931.08"
0.684,FTNT,"FORTINET INC",B5B2106,131.00,"3,776.00","494,656.00"
0.668,TTD,"TRADE DESK INC-A",BD8FDD1,493.20,979.00,"482,842.80"
0.496,CRWD,"CROWDSTRIKE HO-A",BJJP138,101.75,"3,529.00","359,075.75"
0.485,WIX,"WIX.COM LTD",BFZCHN7,291.60,"1,203.00","350,794.80"
0.484,ZBRA,"ZEBRA TECH CORP",2989356,283.04,"1,238.00","350,403.52"
0.466,"6502 JP","TOSHIBA CORP",6897217,31.83,"10,600.00","337,366.01"
0.445,NLOK,"NORTONLIFELOCK INC",BJN4XN5,23.36,"13,781.00","321,924.16"
0.419,LPSN,"LIVEPERSON INC",2577052,57.51,"5,267.00","302,905.17"
0.418,HPE,"HEWLETT PACKA",BYVYWS0,10.09,"29,960.00","302,296.40"
0.414,FICO,"FAIR ISAAC CORP",2330299,441.72,678.00,"299,486.16"
0.401,"OTEX CN","OPEN TEXT CORP",2260824,45.79,"6,333.00","290,006.16"
0.375,HUBS,"HUBSPOT INC",BR4T3B3,258.46,"1,049.00","271,124.54"
0.375,STX,"SEAGATE TECHNOLOGY",B58JVZ5,45.31,"5,983.00","271,089.73"
0.346,TME,"TENCENT MUSI-ADR",BFZYWR2,16.02,"15,631.00","250,408.62"
0.344,TDC,"TERADATA CORP",B247H10,24.58,"10,121.00","248,774.18"
0.338,PTC,"PTC INC",B95N910,86.94,"2,814.00","244,649.16"
0.336,FEYE,"FIREEYE INC",BD4R405,15.66,"15,537.00","243,309.42"
0.335,ZEN,"ZENDESK INC",BMH0MR7,88.38,"2,739.00","242,072.82"
0.334,ENV,"ENVESTNET INC",B474ZK7,89.04,"2,712.00","241,476.48"
0.327,STNE,"STONECO LTD-A",BGKG6M3,49.06,"4,822.00","236,567.32"
0.325,DXC,"DXC TECHNOLOGY CO",BYXD7B3,19.90,"11,825.00","235,317.50"
0.318,NUAN,"NUANCE COMMUNICATIONS INC",2402121,29.48,"7,808.00","230,179.84"
0.317,PEGA,"PEGASYSTEMS INC",2675860,114.66,"1,998.00","229,090.68"
0.309,"XRO AU","XERO LTD",B8P4LP4,65.36,"3,422.00","223,656.60"
0.307,G,"GENPACT LTD",B23DBK6,41.38,"5,360.00","221,796.80"
0.306,NTAP,"NETAPP INC",2630643,42.80,"5,166.00","221,104.80"
0.303,"CCC LN","COMPUTACENTER PLC",BV9FP30,26.60,"8,243.00","219,248.18"
0.300,NLSN,"NIELSEN HOLDINGS PLC",BWFY550,15.88,"13,677.00","217,190.76"
0.294,LSCC,"LATTICE SEMICOND",2506658,30.04,"7,090.00","212,983.60"
0.293,JNPR,"JUNIPER NETWORKS INC",2431846,25.94,"8,182.00","212,241.08"
0.293,BB,"BLACKBERRY LTD",BCBHZ42,4.84,"43,729.00","211,648.36"
0.293,"SOW GR","SOFTWARE AG",BF06WX9,48.10,"4,405.00","211,868.72"
0.293,AMBA,"AMBARELLA INC",B7KH3G6,46.34,"4,580.00","212,237.20"
0.289,VRNT,"VERINT SYSTEMS INC",2849193,44.40,"4,713.00","209,257.20"
0.287,LOGM,"LOGMEIN INC",B600J15,85.89,"2,420.00","207,853.80"
0.285,CSOD,"CORNERSTONE ONDEMAND INC",B404719,36.30,"5,689.00","206,510.70"
0.281,PLAN,"ANAPLAN INC",BD9PLW5,43.64,"4,665.00","203,580.60"
0.279,CLDR,"CLOUDERA INC",BYQHPY1,11.25,"17,958.00","202,027.50"
0.278,"2344 TT","WINBOND ELECTRONICS CORP",6966515,0.45,"444,600.00","201,244.94"
0.276,PSTG,"PURE STORAGE-A",BYZ62T3,17.33,"11,519.00","199,624.27"
0.267,"2337 TT","MACRONIX INTERNATIONAL",6574101,1.03,"187,300.00","193,464.08"
0.264,YELP,"YELP INC",B7KCD72,21.92,"8,697.00","190,638.24"
0.259,PRO,"PROS HOLDINGS INC",B1YWQK0,36.07,"5,200.00","187,564.00"
0.258,"8299 TT","PHISON ELECTRONICS CORP",6728469,9.97,"18,690.00","186,372.05"
0.185,,CASH,,0.00,"-54,149,430.97","133,464.29"
