"Global X Artificial Intelligence & Technology ETF",,,,
"Fund Holdings Data as of 01/15/2021",,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
0.346,NLSN,"NIELSEN HOLDINGS PLC",BWFY550,22.13,"24,248.00","536,608.24"
0.334,"OTEX CN","OPEN TEXT CORP",2260824,46.12,"11,220.00","517,426.76"
0.332,WIX,"WIX.COM LTD",BFZCHN7,241.28,"2,134.00","514,891.52"
0.324,"ENR GR","SIEMENS ENERGY AG NPV",BMTVQK9,37.04,"13,537.00","501,400.68"
0.322,NLOK,"NORTONLIFELOCK INC",BJN4XN5,20.45,"24,401.00","499,000.45"
0.312,YELP,"YELP INC",B7KCD72,31.41,"15,410.00","484,028.10"
0.308,PEGA,"PEGASYSTEMS INC",2675860,134.17,"3,553.00","476,706.01"
0.307,"2337 TT","MACRONIX INTERNATIONAL",6574101,1.43,"333,000.00","475,425.27"
0.301,"CCC LN","COMPUTACENTER PLC",BV9FP30,31.86,"14,613.00","465,586.95"
0.301,PSTG,"PURE STORAGE-A",BYZ62T3,22.86,"20,424.00","466,892.64"
0.298,"8299 TT","PHISON ELECTRONICS CORP",6728469,13.83,"33,390.00","461,794.37"
0.295,TDC,"TERADATA CORP",B247H10,25.47,"17,948.00","457,135.56"
0.292,CLDR,"CLOUDERA INC",BYQHPY1,14.21,"31,825.00","452,233.25"
0.283,CSOD,"CORNERSTONE ONDEMAND INC",B404719,43.41,"10,099.00","438,397.59"
0.270,PRO,"PROS HOLDINGS INC",B1YWQK0,45.30,"9,218.00","417,575.40"
0.260,ENV,"ENVESTNET INC",B474ZK7,85.20,"4,721.00","402,229.20"
0.252,G,"GENPACT LTD",B23DBK6,40.98,"9,512.00","389,801.76"
0.232,JNPR,"JUNIPER NETWORKS INC",2431846,24.44,"14,699.00","359,243.56"
0.195,"SOW GR","SOFTWARE AG",BF06WX9,38.48,"7,835.00","301,477.34"
-0.100,,CASH,,0.00,"-257,006,966.95","-154,753.24"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,
