"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 11/10/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.52,ADBE,"ADOBE INC",2008154,597.22,"40,650.00","24,276,993.00"
3.49,INTC,"INTEL CORP",2463247,38.86,"619,277.00","24,065,104.22"
3.40,META,"META PLATFORMS INC",B7TL820,328.77,"71,406.00","23,476,150.62"
3.37,GOOGL,"ALPHABET INC-CL A",BYVY8G0,132.59,"175,446.00","23,262,385.14"
3.37,AMZN,"AMAZON.COM INC",2000019,143.56,"161,897.00","23,241,933.32"
3.34,NOW,"SERVICENOW INC",B80NXX8,634.76,"36,246.00","23,007,510.96"
3.31,NVDA,"NVIDIA CORP",2379504,483.35,"47,303.00","22,863,905.05"
3.28,MSFT,"MICROSOFT CORP",2588173,369.67,"61,253.00","22,643,396.51"
3.28,IBM,IBM,2005973,149.02,"151,668.00","22,601,565.36"
3.19,NFLX,"NETFLIX INC",2857817,447.24,"49,178.00","21,994,368.72"
3.09,ACN,"ACCENTURE PLC-CL A",B4BNMY3,319.69,"66,662.00","21,311,174.78"
3.05,CSCO,"CISCO SYSTEMS INC",2198163,52.59,"399,872.00","21,029,268.48"
3.04,QCOM,"QUALCOMM INC",2714923,124.21,"168,909.00","20,980,186.89"
2.98,"005930 KS","SAMSUNG ELECTRON",6771720,53.54,"384,512.00","20,585,561.00"
2.97,AAPL,"APPLE INC",2046251,186.40,"109,879.00","20,481,445.60"
2.93,ORCL,"ORACLE CORP",2661568,113.07,"178,943.00","20,233,085.01"
2.86,CRM,"SALESFORCE INC",2310525,213.63,"92,373.00","19,733,643.99"
2.77,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,38.77,"493,043.00","19,114,940.58"
2.74,BABA,"ALIBABA GRP-ADR",BP41ZD1,82.75,"228,285.00","18,890,583.75"
2.53,"SIE GR","SIEMENS AG-REG",5727973,139.57,"124,976.00","17,442,977.51"
2.52,TSLA,"TESLA INC",B616C79,214.65,"80,944.00","17,374,629.60"
2.27,UBER,"UBER TECHNOLOGIES INC",BK6N347,51.58,"303,258.00","15,642,047.64"
1.71,"3690 HK","MEITUAN-CLASS B",BGJW376,14.17,"834,115.00","11,822,405.09"
1.70,SNPS,"SYNOPSYS INC",2867719,518.83,"22,603.00","11,727,114.49"
1.59,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,61.34,"179,325.00","10,999,795.50"
1.57,"000660 KS","SK HYNIX INC",6450267,99.10,"109,199.00","10,821,634.58"
1.55,CDNS,"CADENCE DESIGN SYS INC",2302232,261.56,"40,924.00","10,704,081.44"
1.29,TRI,"THOMSON REUTERS CORP",BNBXPB4,130.92,"67,990.00","8,901,250.80"
1.05,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,186.67,"38,945.00","7,269,863.15"
1.04,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,230.01,"31,131.00","7,160,441.31"
0.89,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,31.27,"196,052.00","6,130,547.46"
0.82,"STMMI IM","STMICROELECTRONICS NV",5962343,41.22,"137,119.00","5,652,083.92"
0.75,"WKL NA","WOLTERS KLUWER",5671519,132.05,"39,086.00","5,161,223.80"
0.69,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,69.52,"68,145.00","4,737,440.40"
0.66,DDOG,"DATADOG INC - CLASS A",BKT9Y49,103.65,"44,014.00","4,562,051.10"
0.65,"EXPN LN","EXPERIAN PLC",B19NLV4,32.72,"137,397.00","4,496,056.29"
0.64,ROK,"ROCKWELL AUTOMATION INC",2754060,258.43,"17,165.00","4,435,950.95"
0.64,BIDU,"BAIDU INC - SPON ADR",B0FXT17,105.94,"41,847.00","4,433,271.18"
0.62,TTD,"TRADE DESK INC-A",BD8FDD1,64.01,"66,281.00","4,242,646.81"
0.60,"6702 JP","FUJITSU LIMITED",6356945,129.99,"31,659.00","4,115,304.24"
0.56,"6954 JP","FANUC CORP",6356934,25.62,"151,307.00","3,876,695.61"
0.55,ZS,"ZSCALER INC",BZ00V34,175.04,"21,754.00","3,807,820.16"
0.52,SPLK,"SPLUNK INC",B424494,147.00,"24,496.00","3,600,912.00"
0.46,EBAY,"EBAY INC",2293819,39.85,"79,957.00","3,186,286.45"
