"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 06/26/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.83,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,65.35,"2,131,043.00","139,266,112.82"
3.75,NFLX,"NETFLIX INC",2857817,"1,306.67","104,248.00","136,217,734.16"
3.60,PLTR,"PALANTIR TECHN-A",BN78DQ4,144.25,"906,692.00","130,790,321.00"
3.34,"005930 KS","SAMSUNG ELECTRON",6771720,44.10,"2,754,279.00","121,476,544.01"
3.23,ORCL,"ORACLE CORP",2661568,212.82,"552,067.00","117,490,898.94"
3.23,META,"META PLATFORMS INC",B7TL820,726.09,"161,558.00","117,305,648.22"
3.18,AVGO,"BROADCOM INC",BDZ78H9,270.17,"428,310.00","115,716,512.70"
3.15,MSFT,"MICROSOFT CORP",2588173,497.45,"230,141.00","114,483,640.45"
3.14,CSCO,"CISCO SYSTEMS INC",2198163,68.95,"1,653,820.00","114,030,889.00"
3.10,BABA,"ALIBABA GRP-ADR",BP41ZD1,113.93,"989,154.00","112,694,315.22"
3.09,IBM,IBM,2005973,291.93,"384,573.00","112,268,395.89"
2.98,NVDA,"NVIDIA CORP",2379504,155.02,"698,918.00","108,346,268.36"
2.82,TSM,"TAIWAN SEMIC-ADR",2113382,224.01,"458,420.00","102,690,664.20"
2.66,AMD,"ADVANCED MICRO DEVICES",2007849,143.68,"674,537.00","96,917,476.16"
2.61,AMZN,"AMAZON.COM INC",2000019,217.12,"437,123.00","94,908,145.76"
2.54,AAPL,"APPLE INC",2046251,201.00,"460,256.00","92,511,456.00"
2.52,NOW,"SERVICENOW INC",B80NXX8,"1,011.44","90,757.00","91,795,260.08"
2.48,GOOGL,"ALPHABET INC-CL A",BYVY8G0,173.54,"519,880.00","90,219,975.20"
2.31,ACN,"ACCENTURE PLC-CL A",B4BNMY3,296.08,"283,457.00","83,925,948.56"
2.30,"SIE GR","SIEMENS AG-REG",5727973,251.55,"332,449.00","83,626,033.40"
2.29,CRM,"SALESFORCE INC",2310525,270.74,"307,734.00","83,315,903.16"
2.24,UBER,"UBER TECHNOLOGIES INC",BK6N347,93.12,"875,369.00","81,514,361.28"
2.23,TSLA,"TESLA INC",B616C79,325.78,"249,337.00","81,229,007.86"
2.01,QCOM,"QUALCOMM INC",2714923,158.19,"461,928.00","73,072,390.32"
1.92,ADBE,"ADOBE INC",2008154,384.95,"181,084.00","69,708,285.80"
1.80,"000660 KS","SK HYNIX INC",6450267,215.96,"302,723.00","65,375,226.83"
1.60,MU,"MICRON TECHNOLOGY INC",2588184,126.00,"463,159.00","58,358,034.00"
1.57,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,113.07,"504,245.00","57,014,982.15"
1.19,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,347.45,"124,073.00","43,109,163.85"
1.11,INTC,"INTEL CORP",2463247,22.50,"1,787,050.00","40,208,625.00"
1.05,"3690 HK","MEITUAN-CLASS B",BGJW376,16.56,"2,310,515.00","38,263,793.17"
1.01,TRI,"THOMSON REUTERS CORP",BNBXPB4,197.20,"186,912.00","36,859,046.40"
0.95,CDNS,"CADENCE DESIGN SYS INC",2302232,303.69,"114,148.00","34,665,606.12"
0.91,FTNT,"FORTINET INC",B5B2106,103.86,"317,688.00","32,995,075.68"
0.88,SNPS,"SYNOPSYS INC",2867719,495.70,"64,460.00","31,952,822.00"
0.84,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,221.92,"137,056.00","30,415,467.52"
0.79,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,79.97,"358,883.00","28,699,873.51"
0.63,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,218.30,"105,725.00","23,079,767.50"
0.62,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,41.50,"541,167.00","22,457,809.58"
0.58,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,237.21,"89,090.00","21,133,038.90"
0.55,ZS,"ZSCALER INC",BZ00V34,313.85,"63,894.00","20,053,131.90"
0.55,"6702 JP","FUJITSU LIMITED",6356945,23.41,"855,877.00","20,032,992.35"
0.54,"EXPN LN","EXPERIAN PLC",B19NLV4,51.90,"379,914.00","19,717,022.67"
0.49,STNE,"STONECO LTD-A",BGKG6M3,14.95,"1,194,620.00","17,859,569.00"
0.49,"6701 JP","NEC CORP",6640400,28.67,"616,385.00","17,671,368.03"
0.47,DDOG,"DATADOG INC - CLASS A",BKT9Y49,131.12,"130,208.00","17,072,872.96"
0.45,"WKL NA","WOLTERS KLUWER",5671519,165.49,"98,990.00","16,382,049.95"
0.42,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,16.79,"918,521.00","15,421,967.59"
0.42,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,49.27,"306,074.00","15,080,265.98"
0.39,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,74.86,"189,494.00","14,185,520.84"
0.36,STX,"SEAGATE TECHNOLO",BKVD2N4,140.69,"93,890.00","13,209,384.10"
0.35,TTD,"TRADE DESK INC-A",BD8FDD1,68.02,"185,909.00","12,645,530.18"
0.32,CYBR,"CYBERARK SOFTWAR",BQT3XY6,403.56,"28,440.00","11,477,246.40"
0.31,"6526 JP","SOCIONEXT INC",BMTVX75,19.36,"589,477.00","11,411,536.67"
0.31,OKTA,"OKTA INC",BDFZSP1,98.13,"116,204.00","11,403,098.52"
0.31,"5803 JP","FUJIKURA LTD",6356707,51.56,"218,844.00","11,282,805.86"
0.30,TWLO,"TWILIO INC - A",BD6P5Q0,121.43,"90,472.00","10,986,014.96"
0.30,"6954 JP","FANUC CORP",6356934,26.63,"410,885.00","10,943,275.58"
0.30,BIDU,"BAIDU INC - SPON ADR",B0FXT17,86.46,"124,064.00","10,726,573.44"
0.29,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.36,"1,274,648.00","10,656,057.28"
0.29,NICE,"NICE LTD - SPON ADR",2639736,165.69,"63,930.00","10,592,242.05"
0.28,"TIETO FH","TIETOEVRY OYJ",5479702,18.63,"553,836.00","10,316,502.08"
0.28,"2395 TT","ADVANTECH CO LTD",6202673,11.55,"886,057.00","10,232,623.40"
0.28,INFA,"INFORMATICA INC - CLASS A",BMG95P4,24.35,"414,087.00","10,083,018.45"
0.27,HPE,"HEWLETT PACKA",BYVYWS0,18.37,"543,386.00","9,982,000.82"
0.27,"3443 TT","GLOBAL UNICHIP CORP",B056381,41.70,"238,865.00","9,960,222.90"
0.27,PEGA,"PEGASYSTEMS INC",2675860,52.20,"187,368.00","9,780,609.60"
0.27,"2353 TT","ACER INC",6005850,1.07,"9,027,400.00","9,650,748.51"
0.26,"4755 JP","RAKUTEN GROUP INC",6229597,5.44,"1,743,756.00","9,485,269.47"
0.26,PATH,"UIPATH INC - CLASS A",BMD02L5,12.77,"741,643.00","9,470,781.11"
0.26,"6588 JP","TOSHIBA TEC CORP",6894887,20.14,"469,236.00","9,452,633.39"
0.26,G,"GENPACT LTD",B23DBK6,42.25,"221,981.00","9,377,587.35"
0.26,"AMP IM","AMPLIFON SPA",B14NJ71,24.84,"376,620.00","9,356,854.31"
0.24,"TEMN SW","TEMENOS AG - REG",7147892,73.01,"120,169.00","8,773,982.12"
0.24,AMBA,"AMBARELLA INC",B7KH3G6,69.30,"124,025.00","8,594,932.50"
0.23,CCCS,"CCC INTELLIGENT",BP4CXL8,9.31,"895,359.00","8,335,792.29"
0.22,SNAP,"SNAP INC - A",BD8DJ71,8.14,"966,724.00","7,869,133.36"
0.21,VRNT,"VERINT SYSTEMS INC",2849193,19.39,"400,279.00","7,761,409.81"
0.21,ZBRA,"ZEBRA TECH CORP",2989356,308.32,"24,369.00","7,513,450.08"
0.21,HUT,"HUT 8 CORP",BQQ8816,18.68,"401,391.00","7,497,983.88"
0.20,AI,"C3.AI INC-A",BMGNBJ2,24.72,"300,208.00","7,421,141.76"
0.20,DXC,"DXC TECHNOLOGY CO",BYXD7B3,15.20,"483,239.00","7,345,232.80"
0.19,TDC,"TERADATA CORP",B247H10,21.73,"317,666.00","6,902,882.18"
