ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_dau_millions,sector,industry,country,employees,year_quarter
QCOM,QUALCOMM INC,2015-01-01 00:00:00-05:00,2015,1,1,45.92221450805664,54.78168990153489,55.362519104803745,45.87074891330265,275059800,1079000000,49550069454.193115,49.550069454193114,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q1
QCOM,QUALCOMM INC,2015-02-01 00:00:00-05:00,2015,1,2,53.311248779296875,45.94428254794989,53.35536055254345,45.77517806828758,243792600,1079000000,57522837432.86133,57.52283743286133,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q1
QCOM,QUALCOMM INC,2015-03-01 00:00:00-05:00,2015,1,3,50.980587005615234,52.789248570862135,54.4729117974518,48.28966176707343,278695100,1079000000,55008053379.05884,55.008053379058836,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q1
QCOM,QUALCOMM INC,2015-04-01 00:00:00-04:00,2015,2,4,50.286651611328125,50.63422201783396,53.17074011155637,48.94074439682299,265601600,1079000000,54259297088.62305,54.25929708862305,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q2
QCOM,QUALCOMM INC,2015-05-01 00:00:00-04:00,2015,2,5,51.52903366088867,50.5159033891471,52.74182905961019,49.91690236619626,216503600,1079000000,55599827320.09888,55.599827320098875,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q2
QCOM,QUALCOMM INC,2015-06-01 00:00:00-04:00,2015,2,6,46.315486907958984,51.403313731568275,51.802649591489335,46.18237495465197,251772700,1079000000,49974410373.687744,49.974410373687746,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q2
QCOM,QUALCOMM INC,2015-07-01 00:00:00-04:00,2015,3,7,47.947303771972656,46.986718799939624,49.18340721356612,45.296390804316744,305330200,1079000000,51735140769.958496,51.7351407699585,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q3
QCOM,QUALCOMM INC,2015-08-01 00:00:00-04:00,2015,3,8,42.131683349609375,47.9175268914794,48.26750819165188,39.16057197030033,304479200,1079000000,45460086334.228516,45.460086334228514,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q3
QCOM,QUALCOMM INC,2015-09-01 00:00:00-04:00,2015,3,9,40.346561431884766,41.48794971344332,42.62182725970854,39.175135938165305,244619500,1079000000,43533939785.00366,43.53393978500366,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q3
QCOM,QUALCOMM INC,2015-10-01 00:00:00-04:00,2015,4,10,44.6192512512207,40.24893760821039,45.94836766948758,39.798390932139476,206115300,1079000000,48144172100.06714,48.14417210006714,,,,,,,,16.1784,13.717908,4.1848454,6.683798,,,,,,Technology,Semiconductors,United States,49000,2015-Q4
