ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_subscribers_millions,user_dau_millions,sector,industry,country,employees,year_quarter
STX,SEAGATE TECHNOLOGY,2015-01-01 00:00:00-05:00,2015,1,1,33.98489761352539,40.14481071573423,40.469967984904,33.90662079823578,79538900,212968277,7237705088.773914,7.2377050887739145,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q1
STX,SEAGATE TECHNOLOGY,2015-02-01 00:00:00-05:00,2015,1,2,36.802913665771484,34.02703903509615,37.700106141111355,33.653711686245,55219100,212968277,7837853111.979107,7.837853111979107,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q1
STX,SEAGATE TECHNOLOGY,2015-03-01 00:00:00-05:00,2015,1,3,31.612022399902344,37.18954271677383,38.514052040161175,31.435827991629647,89317100,212968277,6732357942.992607,6.732357942992607,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q1
STX,SEAGATE TECHNOLOGY,2015-04-01 00:00:00-04:00,2015,2,4,35.67670440673828,31.624189348566336,36.217444265161,31.016616057267434,76336500,212968277,7598006266.541359,7.598006266541359,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q2
STX,SEAGATE TECHNOLOGY,2015-05-01 00:00:00-04:00,2015,2,5,34.117637634277344,36.16567710506183,36.846313320252854,33.29596904805562,54266600,212968277,7265974502.282402,7.265974502282402,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q2
STX,SEAGATE TECHNOLOGY,2015-06-01 00:00:00-04:00,2015,2,6,29.126304626464844,34.17895302666706,34.41196177951489,29.07724867484434,79848600,212968277,6202978911.675346,6.202978911675347,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q2
STX,SEAGATE TECHNOLOGY,2015-07-01 00:00:00-04:00,2015,3,7,31.027183532714844,29.353187497230472,32.425247980782025,27.26222515923165,125027400,212968277,6607805817.125053,6.607805817125054,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q3
STX,SEAGATE TECHNOLOGY,2015-08-01 00:00:00-04:00,2015,3,8,31.517728805541992,31.143685357341006,32.247418550331155,27.97964895657376,99426100,212968277,6712276398.669546,6.712276398669546,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q3
STX,SEAGATE TECHNOLOGY,2015-09-01 00:00:00-04:00,2015,3,9,27.7628231048584,31.1340246236705,32.29906998244554,25.773567786406318,98659100,212968277,5912600601.297483,5.912600601297483,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q3
STX,SEAGATE TECHNOLOGY,2015-10-01 00:00:00-04:00,2015,4,10,23.58601188659668,27.769027506408285,30.67544787861846,22.80518098039697,140072500,212968277,5023072312.790014,5.023072312790014,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q4
STX,SEAGATE TECHNOLOGY,2015-11-01 00:00:00-04:00,2015,4,11,22.27223014831543,23.400094745473893,25.35216935962766,20.066078562836044,83726300,212968277,4743278479.6341915,4.743278479634191,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q4
STX,SEAGATE TECHNOLOGY,2015-12-01 00:00:00-05:00,2015,4,12,23.078577041625977,22.757517696192433,23.884374929354976,21.026309645766005,85057500,212968277,4915004788.1668415,4.915004788166842,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,,,,Technology,Computer Hardware,Singapore,30000,2015-Q4
STX,SEAGATE TECHNOLOGY,2016-01-01 00:00:00-05:00,2016,1,1,18.28785514831543,22.68197645351937,23.217078661502065,16.52517074874302,129734100,212968277,3894733000.9623165,3.8947330009623164,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,-46.188288232367114,,,Technology,Computer Hardware,Singapore,30000,2016-Q1
STX,SEAGATE TECHNOLOGY,2016-02-01 00:00:00-05:00,2016,1,2,19.742069244384766,18.294148932798354,21.18369410931293,17.796820654133995,113343100,212968277,4204434471.3913155,4.204434471391315,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,-46.35731990223954,,,Technology,Computer Hardware,Singapore,30000,2016-Q1
STX,SEAGATE TECHNOLOGY,2016-03-01 00:00:00-05:00,2016,1,3,22.120243072509766,20.418684971006794,24.04653415372561,20.322370661886577,108565300,212968277,4710910053.973591,4.710910053973591,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,-30.02585284585241,,,Technology,Computer Hardware,Singapore,30000,2016-Q1
STX,SEAGATE TECHNOLOGY,2016-04-01 00:00:00-04:00,2016,2,4,13.978452682495117,21.76709036756212,22.98065336630444,13.875717255337191,205971800,212968277,2976966982.917013,2.976966982917013,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,-60.819103347855766,,,Technology,Computer Hardware,Singapore,30000,2016-Q2
STX,SEAGATE TECHNOLOGY,2016-05-01 00:00:00-04:00,2016,2,5,14.485708236694336,13.573930431365449,14.51139270501201,11.827427000957845,169629300,212968277,3084996324.293501,3.084996324293501,,,,,,,,33.08997,23.128866,5.2522187,-105.328636,,,,-57.54187792257686,,,Technology,Computer Hardware,Singapore,30000,2016-Q2
