ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
000660 KS,SK HYNIX INC,2015-01-01 00:00:00+09:00,2015,1,1,41437.95703125,41524.92021494622,44699.07641985834,40611.80678613589,53483941,690412123,28609267886728.09,28609.26788672809,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q1
000660 KS,SK HYNIX INC,2015-02-01 00:00:00+09:00,2015,1,2,40524.84375,41133.58603809013,41655.365142167386,39133.43280579399,39894722,690412123,27978843407680.78,27978.843407680783,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q1
000660 KS,SK HYNIX INC,2015-03-01 00:00:00+09:00,2015,1,3,39611.734375,40742.25588295829,42046.703776756316,37481.13614846323,66876826,690412123,27348421625555.83,27348.421625555828,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q1
000660 KS,SK HYNIX INC,2015-04-01 00:00:00+09:00,2015,2,4,40133.51953125,39959.5931194136,41307.52281114572,36133.21205901273,73472495,690412123,27708668423032.277,27708.66842303228,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q2
000660 KS,SK HYNIX INC,2015-05-01 00:00:00+09:00,2015,2,5,44438.203125,40133.523957314086,44612.12955601761,38611.667685909975,48711522,690412123,30680674161836.484,30680.674161836483,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q2
000660 KS,SK HYNIX INC,2015-06-01 00:00:00+09:00,2015,2,6,36785.43359375,44003.37919252364,44959.97439236111,35307.05919400118,71087633,690412123,25397109302936.457,25397.109302936457,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q2
000660 KS,SK HYNIX INC,2015-07-01 00:00:00+09:00,2015,3,7,32263.35546875,37220.25913915095,37568.11202830189,29610.97718897406,105251231,690412123,22275011744283.348,22275.011744283347,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q3
000660 KS,SK HYNIX INC,2015-08-01 00:00:00+09:00,2015,3,8,31132.830078125,31741.572565686103,33306.91039084322,26349.8533901449,103747726,690412123,21494483309236.54,21494.48330923654,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q3
000660 KS,SK HYNIX INC,2015-09-01 00:00:00+09:00,2015,3,9,29176.16015625,30567.571668917662,31741.575132731,29002.233717166542,67804680,690412123,20143574674464.574,20143.574674464573,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q3
000660 KS,SK HYNIX INC,2015-10-01 00:00:00+09:00,2015,4,10,26697.703125,29350.080797027687,33132.9800997557,26480.295119096092,90745363,690412123,18432417893754.984,18432.417893754984,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q4
000660 KS,SK HYNIX INC,2015-11-01 00:00:00+09:00,2015,4,11,27480.37890625,26697.709886768196,29697.94112811511,26132.44892825356,77816882,690412123,18972786741508.48,18972.78674150848,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q4
000660 KS,SK HYNIX INC,2015-12-01 00:00:00+09:00,2015,4,12,26741.1875,27523.856402439025,28828.30457317073,24827.996849593495,59495764,690412123,18462440033416.062,18462.440033416064,,,,,,,,,7.4762254,3.5365076,,,,,,Technology,Semiconductors,South Korea,33626,2015-Q4
000660 KS,SK HYNIX INC,2016-01-01 00:00:00+09:00,2016,1,1,24131.431640625,27181.00816663805,27578.779017857145,22805.528803228022,70670973,690412123,16660632950033.28,16660.63295003328,,,,,,,,,7.4762254,3.5365076,,,,,-41.76490983272526,Technology,Semiconductors,South Korea,33626,2016-Q1
000660 KS,SK HYNIX INC,2016-02-01 00:00:00+09:00,2016,1,2,26518.0546875,24838.577890624998,27843.957421875,23733.658945312498,50300642,690412123,18308386434626.977,18308.386434626977,,,,,,,,,7.4762254,3.5365076,,,,,-34.56346222803142,Technology,Semiconductors,South Korea,33626,2016-Q1
