ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,current_pe,forward_pe,current_ps,current_pb,peg_ratio,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
XRO AU,XERO LTD,2015-01-01 00:00:00+11:00,2015,1,1,14.6899995803833,15.84000015258789,16.0,14.399999618530273,293817,168262866,2471781430.9340916,2.4717814309340915,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q1
XRO AU,XERO LTD,2015-02-01 00:00:00+11:00,2015,1,2,23.81999969482422,14.75,24.5,14.619999885559082,1182776,168262866,4008021416.7702484,4.008021416770249,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q1
XRO AU,XERO LTD,2015-03-01 00:00:00+11:00,2015,1,3,23.31999969482422,23.700000762939453,25.600000381469727,22.520000457763672,654527,168262866,3923889983.7702484,3.9238899837702483,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q1
XRO AU,XERO LTD,2015-04-01 00:00:00+11:00,2015,2,4,19.020000457763672,23.299999237060547,24.450000762939453,18.75,863278,168262866,3200359788.3446274,3.2003597883446275,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q2
XRO AU,XERO LTD,2015-05-01 00:00:00+10:00,2015,2,5,19.139999389648438,18.989999771118164,19.5,17.40999984741211,1032496,168262866,3220551152.540497,3.2205511525404966,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q2
XRO AU,XERO LTD,2015-06-01 00:00:00+10:00,2015,2,6,16.0,19.149999618530273,19.5,15.899999618530273,652221,168262866,2692205856.0,2.692205856,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q2
XRO AU,XERO LTD,2015-07-01 00:00:00+10:00,2015,3,7,15.979999542236328,16.100000381469727,16.979999542236328,15.050000190734863,874192,168262866,2688840521.6553726,2.6888405216553726,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q3
XRO AU,XERO LTD,2015-08-01 00:00:00+10:00,2015,3,8,12.5,16.0,16.09000015258789,11.899999618530273,1036160,168262866,2103285825.0,2.103285825,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q3
XRO AU,XERO LTD,2015-09-01 00:00:00+10:00,2015,3,9,13.649999618530273,12.449999809265137,14.149999618530273,11.899999618530273,1323756,168262866,2296788056.7128105,2.2967880567128107,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q3
XRO AU,XERO LTD,2015-10-01 00:00:00+10:00,2015,4,10,15.0,13.649999618530273,15.510000228881836,13.460000038146973,826252,168262866,2523942990.0,2.52394299,115.11194,72.75944,12.386932,10.789732,,,Technology,Software - Application,New Zealand,4610,2015-Q4
