ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
4755 JP,RAKUTEN GROUP INC,2015-01-01 00:00:00+09:00,2015,1,1,1586.5909423828125,1625.7242756145445,1639.2518475958839,1472.5728356829513,69670800,2165034529,3435024173657.4385,3435.0241736574385,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q1
4755 JP,RAKUTEN GROUP INC,2015-02-01 00:00:00+09:00,2015,1,2,1924.7802734375,1577.4115443708429,1940.2403559550703,1562.4345894319465,97432400,2165034529,4167215752730.249,4167.215752730249,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q1
4755 JP,RAKUTEN GROUP INC,2015-03-01 00:00:00+09:00,2015,1,3,2047.01171875,1922.8479208461176,2153.782922394973,1856.6594371386004,112536300,2165034529,4431851052361.387,4431.851052361387,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q1
4755 JP,RAKUTEN GROUP INC,2015-04-01 00:00:00+09:00,2015,2,4,2025.7537841796875,2038.7982278173818,2314.180926835369,1982.2723053873738,93488500,2165034529,4385826890001.4375,4385.826890001437,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q2
4755 JP,RAKUTEN GROUP INC,2015-05-01 00:00:00+09:00,2015,2,5,1974.059326171875,2027.6864884834458,2111.2675612753533,1932.5103535701176,66319300,2165034529,4273906603456.583,4273.906603456583,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q2
4755 JP,RAKUTEN GROUP INC,2015-06-01 00:00:00+09:00,2015,2,6,1910.769775390625,1968.2619633227323,2026.7204065142028,1765.3483588564714,177020300,2165034529,4136882540690.2773,4136.882540690277,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q2
4755 JP,RAKUTEN GROUP INC,2015-07-01 00:00:00+09:00,2015,3,7,1928.162109375,1911.252644622275,2057.6402966244364,1821.874045215015,142038100,2165034529,4174537544306.3496,4174.537544306349,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q3
4755 JP,RAKUTEN GROUP INC,2015-08-01 00:00:00+09:00,2015,3,8,1675.4864501953125,1943.1391299554632,2022.8551807865551,1479.8197799735415,133448900,2165034529,3627486017544.49,3627.48601754449,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q3
4755 JP,RAKUTEN GROUP INC,2015-09-01 00:00:00+09:00,2015,3,9,1472.57275390625,1654.2287104248687,1656.1612206005989,1403.485515123903,134075600,2165034529,3188170858671.651,3188.170858671651,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q3
4755 JP,RAKUTEN GROUP INC,2015-10-01 00:00:00+09:00,2015,4,10,1630.5555419921875,1472.5728272569445,1692.878998263889,1471.606572120949,105900100,2165034529,3530209049865.3955,3530.2090498653956,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q4
4755 JP,RAKUTEN GROUP INC,2015-11-01 00:00:00+09:00,2015,4,11,1499.628173828125,1608.8150189586522,1623.3088479582798,1456.1466868292425,111604300,2165034529,3246746776999.1045,3246.7467769991044,,,,,,,,-128.29172,0.88536686,2.6232283,,,,,Consumer Cyclical,Internet Retail,Japan,29334,2015-Q4
