ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_subscribers_millions,sector,industry,country,employees,year_quarter
DOCU,DOCUSIGN INC,2018-04-01 00:00:00-04:00,2018,2,4,38.630001068115234,38.0,40.88999938964844,37.0,19704500,201104117,7768652254.512371,7.768652254512371,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q2
DOCU,DOCUSIGN INC,2018-05-01 00:00:00-04:00,2018,2,5,49.810001373291016,38.70000076293945,51.20100021362305,37.849998474121094,20699100,201104117,10016996343.944477,10.016996343944477,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q2
DOCU,DOCUSIGN INC,2018-06-01 00:00:00-04:00,2018,2,6,52.95000076293945,50.279998779296875,66.80000305175781,49.7599983215332,53726000,201104117,10648463148.580265,10.648463148580266,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q2
DOCU,DOCUSIGN INC,2018-07-01 00:00:00-04:00,2018,3,7,53.900001525878906,52.459999084472656,57.5,50.060001373291016,27967400,201104117,10839512213.16053,10.83951221316053,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q3
DOCU,DOCUSIGN INC,2018-08-01 00:00:00-04:00,2018,3,8,62.439998626708984,54.29999923706055,68.3499984741211,54.19499969482422,25478200,201104117,12556940789.305523,12.556940789305523,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q3
DOCU,DOCUSIGN INC,2018-09-01 00:00:00-04:00,2018,3,9,52.56999969482422,62.79999923706055,65.87000274658203,51.119998931884766,46709400,201104117,10572043369.317894,10.572043369317894,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q3
DOCU,DOCUSIGN INC,2018-10-01 00:00:00-04:00,2018,4,10,41.939998626708984,52.97999954223633,53.0,38.279998779296875,57796900,201104117,8434306390.805523,8.434306390805522,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q4
DOCU,DOCUSIGN INC,2018-11-01 00:00:00-04:00,2018,4,11,41.7599983215332,42.13999938964844,45.150001525878906,35.060001373291016,35619600,201104117,8398107588.373417,8.398107588373417,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q4
DOCU,DOCUSIGN INC,2018-12-01 00:00:00-05:00,2018,4,12,40.08000183105469,42.720001220703125,43.349998474121094,36.249000549316406,66857300,201104117,8060253377.592636,8.060253377592636,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2018-Q4
DOCU,DOCUSIGN INC,2019-01-01 00:00:00-05:00,2019,1,1,49.45000076293945,39.27000045776367,50.029998779296875,38.79999923706055,50019300,201104117,9944598739.080265,9.944598739080265,,,,,,,,54.196968,19.387533,4.6479177,7.2364964,,,,,,Technology,Software - Application,United States,6838,2019-Q1
