ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,net_income,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,sector,industry,country,employees,year_quarter
UPST,UPSTART HOLDINGS INC,2020-12-01 00:00:00-05:00,2020,4,12,40.75,26.0,51.39799880981445,22.610000610351562,42892300,96217742,3920872986.5,3.9208729865,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2020-Q4
UPST,UPSTART HOLDINGS INC,2021-01-01 00:00:00-05:00,2021,1,1,62.189998626708984,40.34000015258789,72.66999816894531,38.04999923706055,30196500,96217742,5983781242.845039,5.98378124284504,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q1
UPST,UPSTART HOLDINGS INC,2021-02-01 00:00:00-05:00,2021,1,2,65.63999938964844,63.0,105.58000183105469,61.0099983215332,19282400,96217742,6315732526.153351,6.315732526153351,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q1
UPST,UPSTART HOLDINGS INC,2021-03-01 00:00:00-05:00,2021,1,3,128.86000061035156,66.77999877929688,165.66000366210938,42.51100158691406,90669800,96217742,12398618292.84665,12.398618292846649,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q1
UPST,UPSTART HOLDINGS INC,2021-04-01 00:00:00-04:00,2021,2,4,109.0199966430664,133.94000244140625,156.27000427246094,89.33000183105469,47151700,96217742,10489657909.84343,10.48965790984343,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q2
UPST,UPSTART HOLDINGS INC,2021-05-01 00:00:00-04:00,2021,2,5,148.22000122070312,111.12000274658203,171.8699951171875,80.8499984741211,84414500,96217742,14261393836.693298,14.261393836693298,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q2
UPST,UPSTART HOLDINGS INC,2021-06-01 00:00:00-04:00,2021,2,6,124.9000015258789,150.0,191.88999938964844,114.19999694824219,138505800,96217742,12017596122.616623,12.017596122616624,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q2
UPST,UPSTART HOLDINGS INC,2021-07-01 00:00:00-04:00,2021,3,7,120.76000213623047,126.0,130.89999389648438,107.26000213623047,62941400,96217742,11619254729.463272,11.619254729463272,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q3
UPST,UPSTART HOLDINGS INC,2021-08-01 00:00:00-04:00,2021,3,8,229.1199951171875,122.0,230.3800048828125,121.0,141783400,96217742,22045408577.226807,22.045408577226805,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q3
UPST,UPSTART HOLDINGS INC,2021-09-01 00:00:00-04:00,2021,3,9,316.44000244140625,228.32699584960938,346.5400085449219,222.75,112255400,96217742,30447142513.386597,30.447142513386595,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q3
UPST,UPSTART HOLDINGS INC,2021-10-01 00:00:00-04:00,2021,4,10,322.0400085449219,311.8340148925781,401.489990234375,281.1300048828125,92175100,96217742,30985962455.85309,30.985962455853088,,,,,,136.21053,5.6286063,6.8884745,,,,,Financial Services,Credit Services,United States,1193,2021-Q4
