ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_subscribers_millions,sector,industry,country,employees,year_quarter
SPT,"Sprout Social, Inc.",2019-12-01 00:00:00-05:00,2019,4,12,16.049999237060547,18.049999237060547,18.75,15.600000381469727,7989600,52645842,844965723.9344101,0.84496572393441,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2019-Q4
SPT,"Sprout Social, Inc.",2020-01-01 00:00:00-05:00,2020,1,1,20.530000686645508,16.239999771118164,21.399999618530273,16.149999618530273,7842200,52645842,1080819172.409031,1.0808191724090308,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q1
SPT,"Sprout Social, Inc.",2020-02-01 00:00:00-05:00,2020,1,2,19.649999618530273,20.530000686645508,22.5,17.530000686645508,8884800,52645842,1034490775.217205,1.034490775217205,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q1
SPT,"Sprout Social, Inc.",2020-03-01 00:00:00-05:00,2020,1,3,15.960000038146973,19.5,21.469999313354492,10.539999961853027,7875500,52645842,840227640.3282795,0.8402276403282795,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q1
SPT,"Sprout Social, Inc.",2020-04-01 00:00:00-04:00,2020,2,4,16.81999969482422,15.180000305175781,16.959999084472656,11.899999618530273,5978900,52645842,885503046.373764,0.8855030463737641,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q2
SPT,"Sprout Social, Inc.",2020-05-01 00:00:00-04:00,2020,2,5,27.549999237060547,16.350000381469727,29.530000686645508,16.010000228881836,5760600,52645842,1450392906.93441,1.4503929069344101,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q2
SPT,"Sprout Social, Inc.",2020-06-01 00:00:00-04:00,2020,2,6,27.0,27.540000915527344,33.52000045776367,24.673999786376953,15265300,52645842,1421437734.0,1.421437734,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q2
SPT,"Sprout Social, Inc.",2020-07-01 00:00:00-04:00,2020,3,7,28.889999389648438,26.989999771118164,31.389999389648438,24.549999237060547,11345300,52645842,1520938343.247528,1.520938343247528,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q3
SPT,"Sprout Social, Inc.",2020-08-01 00:00:00-04:00,2020,3,8,38.75,29.18000030517578,38.810001373291016,25.610000610351562,20369000,52645842,2040026377.5,2.0400263775,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q3
SPT,"Sprout Social, Inc.",2020-09-01 00:00:00-04:00,2020,3,9,38.5,39.029998779296875,41.869998931884766,31.270000457763672,13567500,52645842,2026864917.0,2.026864917,,,,,,,,,15.845071,1.53593,3.585086,,,,,,Technology,Software - Application,United States,1322,2020-Q3
