ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_mau_millions,user_subscribers_millions,sector,industry,country,employees,year_quarter
HUT,HUT 8 CORP,2018-03-01 00:00:00-05:00,2018,1,3,12.774999618530273,17.90999984741211,18.719999313354492,12.765000343322754,13020,105527928,1348119239.9442902,1.34811923994429,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q1
HUT,HUT 8 CORP,2018-04-01 00:00:00-04:00,2018,2,4,16.735000610351562,12.774999618530273,17.520000457763672,12.774999618530273,13180,105527928,1766009939.4891357,1.7660099394891358,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q2
HUT,HUT 8 CORP,2018-05-01 00:00:00-04:00,2018,2,5,15.385000228881836,16.360000610351562,16.55500030517578,14.399999618530273,16360,105527928,1623547196.433426,1.6235471964334258,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q2
HUT,HUT 8 CORP,2018-06-01 00:00:00-04:00,2018,2,6,11.300000190734863,15.399999618530273,15.699999809265137,11.220000267028809,18560,105527928,1192465606.527855,1.192465606527855,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q2
HUT,HUT 8 CORP,2018-07-01 00:00:00-04:00,2018,3,7,11.100000381469727,11.300000190734863,13.71500015258789,9.395000457763672,23120,105527928,1171360041.0557098,1.17136004105571,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q3
HUT,HUT 8 CORP,2018-08-01 00:00:00-04:00,2018,3,8,13.449999809265137,10.800000190734863,13.449999809265137,9.75,50820,105527928,1419350611.472145,1.419350611472145,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q3
HUT,HUT 8 CORP,2018-09-01 00:00:00-04:00,2018,3,9,11.055000305175781,13.46500015258789,14.25,11.055000305175781,12840,105527928,1166611276.2445679,1.166611276244568,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q3
HUT,HUT 8 CORP,2018-10-01 00:00:00-04:00,2018,4,10,10.880000114440918,11.055000305175781,12.800000190734863,9.699999809265137,7300,105527928,1148143868.716713,1.148143868716713,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q4
HUT,HUT 8 CORP,2018-11-01 00:00:00-04:00,2018,4,11,6.849999904632568,10.899999618530273,11.460000038146973,6.210000038146973,35860,105527928,722866296.7360725,0.7228662967360725,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q4
HUT,HUT 8 CORP,2018-12-01 00:00:00-05:00,2018,4,12,5.230000019073486,6.945000171661377,7.025000095367432,4.235000133514404,23700,105527928,551911065.4527855,0.5519110654527855,,,,,,,,33.328674,-595.75,36.302525,3.9284537,,,,,,,Financial Services,Capital Markets,United States,222,2018-Q4
