ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,market_cap,market_cap_billions,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,ps_ratio,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,market_cap_yoy_pct,user_dau_millions,sector,industry,country,employees,year_quarter
AISP,"Airship AI Holdings, Inc.",2021-05-01 00:00:00-04:00,2021,2,5,9.960000038146973,9.90999984741211,10.109999656677246,9.600000381469727,82600,31909348,317817107.297245,0.31781710729724505,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2021-Q2
AISP,"Airship AI Holdings, Inc.",2021-06-01 00:00:00-04:00,2021,2,6,9.649999618530273,9.800000190734863,9.800000190734863,9.600000381469727,950600,31909348,307925196.02754974,0.30792519602754975,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2021-Q2
AISP,"Airship AI Holdings, Inc.",2021-07-01 00:00:00-04:00,2021,3,7,9.630000114440918,9.649999618530273,9.789999961853027,9.619999885559082,162900,31909348,307287024.8917351,0.3072870248917351,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2021-Q3
AISP,"Airship AI Holdings, Inc.",2021-08-01 00:00:00-04:00,2021,3,8,9.630000114440918,9.645000457763672,9.699999809265137,9.619999885559082,1820200,31909348,307287024.8917351,0.3072870248917351,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2021-Q3
AISP,"Airship AI Holdings, Inc.",2021-09-01 00:00:00-04:00,2021,3,9,9.710000038146973,9.630000114440918,9.720000267028809,9.630000114440918,180500,31909348,309839770.297245,0.309839770297245,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2021-Q3
AISP,"Airship AI Holdings, Inc.",2021-10-01 00:00:00-04:00,2021,4,10,9.75,9.699999809265137,9.829999923706055,9.699999809265137,191300,31909348,311116143.0,0.311116143,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2021-Q4
AISP,"Airship AI Holdings, Inc.",2021-11-01 00:00:00-04:00,2021,4,11,9.739999771118164,9.755000114440918,9.800000190734863,9.670000076293945,345700,31909348,310797042.21652985,0.3107970422165299,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2021-Q4
AISP,"Airship AI Holdings, Inc.",2021-12-01 00:00:00-05:00,2021,4,12,9.789999961853027,9.729999542236328,9.819999694824219,9.699999809265137,161200,31909348,312392515.702755,0.31239251570275495,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2021-Q4
AISP,"Airship AI Holdings, Inc.",2022-01-01 00:00:00-05:00,2022,1,1,9.65999984741211,9.739999771118164,9.819999694824219,9.65999984741211,617600,31909348,308244296.8110199,0.3082442968110199,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2022-Q1
AISP,"Airship AI Holdings, Inc.",2022-02-01 00:00:00-05:00,2022,1,2,9.720000267028809,9.6899995803833,9.760000228881836,9.670000076293945,353900,31909348,310158871.0807152,0.31015887108071516,,,,,,,,,63.625004,11.834566,-3.4649422,,,,,,Technology,Software - Infrastructure,United States,55,2022-Q1
