group,metric,value
AI-Exposed / Big Tech,PS Ratio,2.609470850910264
AI-Exposed / Big Tech,PS Ratio,1.305517947500454
Non-AI / Control Group,PS Ratio,1.477243872311008
Non-AI / Control Group,PS Ratio,1.125612001854027
Non-AI / Control Group,PS Ratio,0.41006
AI-Exposed / Big Tech,PS Ratio,4.424669327391931
Non-AI / Control Group,PS Ratio,6.780072790777176
AI-Exposed / Big Tech,PS Ratio,5.265199209673574
Non-AI / Control Group,PS Ratio,2.638808376476145
Non-AI / Control Group,PS Ratio,1.951567719946038
Non-AI / Control Group,PS Ratio,13.098
Non-AI / Control Group,PS Ratio,0.7214828287533122
Non-AI / Control Group,PS Ratio,13.485
AI-Exposed / Big Tech,PS Ratio,2.877481826370336
Non-AI / Control Group,PS Ratio,1.85685523685987
AI-Exposed / Big Tech,PS Ratio,1.63032483016522
AI-Exposed / Big Tech,PS Ratio,1.800417614688417
Non-AI / Control Group,PS Ratio,6.273
AI-Exposed / Big Tech,PS Ratio,7.35
AI-Exposed / Big Tech,PS Ratio,2.54
AI-Exposed / Big Tech,PS Ratio,6.527
Non-AI / Control Group,PS Ratio,2.601
Pure-Play AI,PS Ratio,8.509
Pure-Play AI,PS Ratio,13.667
AI-Exposed / Big Tech,PS Ratio,21.64597999999999
AI-Exposed / Big Tech,PS Ratio,0.518
AI-Exposed / Big Tech,PS Ratio,6.328
Non-AI / Control Group,PS Ratio,12.553
AI-Exposed / Big Tech,PS Ratio,1.854
AI-Exposed / Big Tech,PS Ratio,9.186
AI-Exposed / Big Tech,PS Ratio,4.863
AI-Exposed / Big Tech,PS Ratio,21.64597999999999
Non-AI / Control Group,PS Ratio,4.231
AI-Exposed / Big Tech,PS Ratio,14.883
Non-AI / Control Group,PS Ratio,8.388
Non-AI / Control Group,PS Ratio,3.233750399170929
AI-Exposed / Big Tech,PS Ratio,8.875
Pure-Play AI,PS Ratio,10.314
Pure-Play AI,PS Ratio,10.134
AI-Exposed / Big Tech,PS Ratio,4.439
AI-Exposed / Big Tech,PS Ratio,5.317
Pure-Play AI,PS Ratio,5.209
Non-AI / Control Group,PS Ratio,4.178
Non-AI / Control Group,PS Ratio,6.91
Non-AI / Control Group,PS Ratio,6.103
AI-Exposed / Big Tech,PS Ratio,1.506
Non-AI / Control Group,PS Ratio,0.828
Non-AI / Control Group,PS Ratio,2.67
Non-AI / Control Group,PS Ratio,1.978
Non-AI / Control Group,PS Ratio,1.177
Non-AI / Control Group,PS Ratio,16.679
AI-Exposed / Big Tech,PS Ratio,0.41006
AI-Exposed / Big Tech,PS Ratio,2.221
Non-AI / Control Group,PS Ratio,5.325
AI-Exposed / Big Tech,PS Ratio,5.349
AI-Exposed / Big Tech,PS Ratio,2.745
Non-AI / Control Group,PS Ratio,2.129
AI-Exposed / Big Tech,PS Ratio,11.365
Non-AI / Control Group,PS Ratio,4.161
AI-Exposed / Big Tech,PS Ratio,12.196
Non-AI / Control Group,PS Ratio,2.463047261493811
AI-Exposed / Big Tech,PS Ratio,0.425
AI-Exposed / Big Tech,PS Ratio,6.981
Non-AI / Control Group,PS Ratio,4.415
AI-Exposed / Big Tech,PS Ratio,14.819
Non-AI / Control Group,PS Ratio,4.716
Non-AI / Control Group,PS Ratio,3.287
Non-AI / Control Group,PS Ratio,7.463
AI-Exposed / Big Tech,PS Ratio,10.944
AI-Exposed / Big Tech,PS Ratio,17.283
AI-Exposed / Big Tech,PS Ratio,10.831
Non-AI / Control Group,PS Ratio,14.138
AI-Exposed / Big Tech,PS Ratio,1.225
Non-AI / Control Group,PS Ratio,10.062
AI-Exposed / Big Tech,PS Ratio,3.455
Non-AI / Control Group,PS Ratio,1.471
AI-Exposed / Big Tech,PS Ratio,4.259
Non-AI / Control Group,PS Ratio,2.39
Non-AI / Control Group,PS Ratio,4.794
AI-Exposed / Big Tech,PS Ratio,13.348
Pure-Play AI,PS Ratio,1.119
AI-Exposed / Big Tech,PS Ratio,0.976
Pure-Play AI,PS Ratio,8.239
Non-AI / Control Group,PS Ratio,8.606
Non-AI / Control Group,PS Ratio,3.527
Non-AI / Control Group,PS Ratio,6.439
AI-Exposed / Big Tech,PS Ratio,7.683
Non-AI / Control Group,PS Ratio,4.322
Non-AI / Control Group,PS Ratio,4.019
Non-AI / Control Group,PS Ratio,2.82
Non-AI / Control Group,PS Ratio,2.241
AI-Exposed / Big Tech,PS Ratio,4.278
Non-AI / Control Group,PS Ratio,2.58
AI-Exposed / Big Tech,PS Ratio,5.783
AI-Exposed / Big Tech,PS Ratio,5.008
Non-AI / Control Group,PS Ratio,2.425
Non-AI / Control Group,PS Ratio,1.344
Non-AI / Control Group,PS Ratio,0.456
Non-AI / Control Group,PS Ratio,1.707
Non-AI / Control Group,PS Ratio,17.823
Non-AI / Control Group,PS Ratio,3.869
Non-AI / Control Group,PS Ratio,3.13
AI-Exposed / Big Tech,PS Ratio,6.949
