group,Date,group_index,weighting,start
AI-Exposed / Big Tech,2025-02-01,100.0,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-02-02,99.95857087873759,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-02-28,100.06511229877952,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-03-28,100.01891549295773,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-03-29,100.23433475492314,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-03-30,100.10235921934769,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-03-31,96.11594515369764,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-05-30,100.23508601536201,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-05-31,99.99295299501634,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-06-28,100.27689536934443,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-06-29,99.18587934173333,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-06-30,99.60728028741167,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-07-25,99.91589676503085,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-07-26,99.95349584747152,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-07-27,99.9662072547026,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-07-31,99.84149225415119,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-08-02,99.78433890732758,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-08-03,99.91384628480695,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-08-29,100.28878338287025,Cap-weighted,2023-01-01
AI-Exposed / Big Tech,2025-08-31,100.02146917617185,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-01-28,99.99999999999999,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-01-31,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-02-05,99.99999999999999,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-03-02,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-03-25,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-03-26,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-03-31,97.95975325922736,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-04-01,100.01948923477664,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-04-02,100.12282004803555,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-04-28,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-04-29,100.04575440019266,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-04-30,99.9262629818567,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-06-01,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-06-24,99.61900684508464,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-06-30,98.94350661725846,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-07-01,99.99999999999999,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-07-02,100.02334290940563,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-07-29,100.00747651233088,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-07-31,99.8833209510872,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-08-06,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-09-24,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-09-29,100.0515238095238,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-09-30,99.29446368600678,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-10-01,100.02858270211793,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-10-31,97.67887867940009,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-12-30,99.59490289872546,Cap-weighted,2023-01-01
Non-AI / Control Group,2023-12-31,97.75150687370139,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-01-27,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-01-31,96.46766765419184,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-02-03,99.80638452297227,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-02-04,99.70165188440099,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-02-29,100.0068709357046,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-03-24,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-03-29,100.00101449275364,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-03-30,99.95426658335772,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-03-31,98.41537179145249,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-04-26,100.16636778184916,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-04-27,100.21160837272834,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-04-28,100.21201082898685,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-04-30,99.70869379151499,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-05-30,100.00000000000001,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-05-31,99.98792306090982,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-06-29,99.99447985799686,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-06-30,95.72675106646777,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-07-27,99.91967677808836,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-07-31,100.00338028169014,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-08-03,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-08-04,99.8771345340888,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-08-29,99.95303863911678,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-08-31,99.94223357240247,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-09-28,99.99839832751346,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-09-29,99.91409013720015,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-09-30,92.7609786563944,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-10-26,96.75811397563666,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-11-28,99.97292505784813,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-11-30,99.95147423085777,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-12-28,99.99836963281506,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-12-29,99.89755427172895,Cap-weighted,2023-01-01
Non-AI / Control Group,2024-12-31,99.87716512012518,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-01-31,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-03-29,99.89445611911067,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-03-30,99.82584083890717,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-03-31,89.84582879963935,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-04-25,100.00828252641169,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-04-26,100.05057174302284,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-04-27,100.06178673278433,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-04-30,100.10140962640286,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-05-03,97.61289505621195,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-05-04,97.6009426667792,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-05-29,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-05-31,99.98507068994213,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-06-27,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-06-28,99.9989245799511,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-06-29,100.1125562294744,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-06-30,95.91005905431368,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-07-31,99.61365703974248,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-08-28,100.0,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-08-31,99.98031747116922,Cap-weighted,2023-01-01
Non-AI / Control Group,2025-09-30,98.30749350094877,Cap-weighted,2023-01-01
Pure-Play AI,2023-01-01,100.0,Cap-weighted,2023-01-01
Pure-Play AI,2023-01-27,100.0,Cap-weighted,2023-01-01
Pure-Play AI,2023-01-28,100.05116962569349,Cap-weighted,2023-01-01
Pure-Play AI,2023-01-29,100.07326312145003,Cap-weighted,2023-01-01
Pure-Play AI,2023-01-31,99.94234035603351,Cap-weighted,2023-01-01
Pure-Play AI,2023-03-31,100.0,Cap-weighted,2023-01-01
Pure-Play AI,2023-04-01,100.0,Cap-weighted,2023-01-01
Pure-Play AI,2023-04-02,100.03396540277785,Cap-weighted,2023-01-01
Pure-Play AI,2023-04-30,99.93681015712627,Cap-weighted,2023-01-01
Pure-Play AI,2023-06-30,98.00419585048115,Cap-weighted,2023-01-01
Pure-Play AI,2023-07-31,99.85413279569737,Cap-weighted,2023-01-01
Pure-Play AI,2023-09-30,96.83935924631001,Cap-weighted,2023-01-01
Pure-Play AI,2023-10-01,100.02031538745524,Cap-weighted,2023-01-01
Pure-Play AI,2023-10-31,99.76443686466189,Cap-weighted,2023-01-01
Pure-Play AI,2023-12-31,96.33276367025138,Cap-weighted,2023-01-01
Pure-Play AI,2024-01-31,99.67658722147162,Cap-weighted,2023-01-01
Pure-Play AI,2024-03-31,96.32911344658058,Cap-weighted,2023-01-01
Pure-Play AI,2024-04-30,99.58933254074209,Cap-weighted,2023-01-01
Pure-Play AI,2024-06-30,96.01409020730284,Cap-weighted,2023-01-01
Pure-Play AI,2024-07-31,99.50928641268615,Cap-weighted,2023-01-01
Pure-Play AI,2024-09-30,95.48235012561832,Cap-weighted,2023-01-01
Pure-Play AI,2024-10-31,99.43201441927609,Cap-weighted,2023-01-01
Pure-Play AI,2024-12-27,100.0,Cap-weighted,2023-01-01
Pure-Play AI,2024-12-28,99.99958546887697,Cap-weighted,2023-01-01
Pure-Play AI,2024-12-29,100.04189917122777,Cap-weighted,2023-01-01
Pure-Play AI,2024-12-31,97.2496878299972,Cap-weighted,2023-01-01
Pure-Play AI,2025-01-24,99.46206079481813,Cap-weighted,2023-01-01
Pure-Play AI,2025-01-25,99.50452643058561,Cap-weighted,2023-01-01
Pure-Play AI,2025-01-26,99.51390235829659,Cap-weighted,2023-01-01
Pure-Play AI,2025-01-31,99.51651932181974,Cap-weighted,2023-01-01
Pure-Play AI,2025-02-27,99.99999999999999,Cap-weighted,2023-01-01
Pure-Play AI,2025-02-28,99.97990018808301,Cap-weighted,2023-01-01
Pure-Play AI,2025-03-31,94.48707188136694,Cap-weighted,2023-01-01
Pure-Play AI,2025-04-30,99.19723378199626,Cap-weighted,2023-01-01
Pure-Play AI,2025-06-30,94.4370879038848,Cap-weighted,2023-01-01
Pure-Play AI,2025-07-31,99.11471956421586,Cap-weighted,2023-01-01
