group,Date,group_index,weighting,start
AI-Exposed / Big Tech,2022-09-24,93.80146416042965,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2022-09-25,99.71933035825603,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2022-09-30,96.45359607098204,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2022-11-30,100.11673736456505,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2022-12-01,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2022-12-02,100.22079155592527,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2022-12-31,96.23198805572414,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-02-28,100.11525908029257,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-03-03,100.25244022694294,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-03-31,97.26336341680422,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-04-01,87.9892404454895,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-05-07,96.16273061201086,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-05-31,100.01068891030577,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-06-02,100.28211325364859,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-06-25,100.0,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-06-30,99.0739068877884,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-07-01,97.61682560352571,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-07-02,100.0643378601142,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-07-28,100.02209094119421,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-07-29,100.06895545582128,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-07-30,100.07580951348866,Equal-weighted,2021-01-01
AI-Exposed / Big Tech,2023-07-31,99.98402340134552,Equal-weighted,2021-01-01
