"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 08/08/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.41,BABA,"ALIBABA GRP-ADR",BP41ZD1,80.31,"846,906.00","68,015,020.86"
3.37,META,"META PLATFORMS INC",B7TL820,509.63,"131,876.00","67,207,965.88"
3.36,NOW,"SERVICENOW INC",B80NXX8,796.14,"84,188.00","67,025,434.32"
3.35,IBM,IBM,2005973,190.94,"350,075.00","66,843,320.50"
3.26,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,47.24,"1,375,043.00","64,950,299.56"
3.19,CSCO,"CISCO SYSTEMS INC",2198163,45.83,"1,390,190.00","63,712,407.70"
3.17,NFLX,"NETFLIX INC",2857817,630.35,"100,256.00","63,196,369.60"
3.14,CRM,"SALESFORCE INC",2310525,249.12,"251,684.00","62,699,518.08"
3.14,ADBE,"ADOBE INC",2008154,530.24,"118,054.00","62,596,952.96"
3.09,ACN,"ACCENTURE PLC-CL A",B4BNMY3,315.88,"195,114.00","61,632,610.32"
3.06,AAPL,"APPLE INC",2046251,213.31,"286,441.00","61,100,729.71"
2.92,MSFT,"MICROSOFT CORP",2588173,402.69,"144,878.00","58,340,921.82"
2.91,ORCL,"ORACLE CORP",2661568,128.96,"450,364.00","58,078,941.44"
2.88,GOOGL,"ALPHABET INC-CL A",BYVY8G0,162.03,"354,515.00","57,442,065.45"
2.87,AVGO,"BROADCOM INC",BDZ78H9,145.74,"393,538.00","57,354,228.12"
2.87,AMZN,"AMAZON.COM INC",2000019,165.80,"345,746.00","57,324,686.80"
2.84,"005930 KS","SAMSUNG ELECTRON",6771720,53.31,"1,064,800.00","56,762,524.51"
2.77,NVDA,"NVIDIA CORP",2379504,104.97,"525,729.00","55,185,773.13"
2.76,QCOM,"QUALCOMM INC",2714923,164.95,"333,334.00","54,983,443.30"
2.61,TSLA,"TESLA INC",B616C79,198.84,"261,594.00","52,015,350.96"
2.58,UBER,"UBER TECHNOLOGIES INC",BK6N347,69.01,"745,496.00","51,446,678.96"
