"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 11/07/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.51,INTC,"INTEL CORP",2463247,38.77,"619,277.00","24,009,369.29"
3.48,ADBE,"ADOBE INC",2008154,585.20,"40,650.00","23,788,380.00"
3.38,AMZN,"AMAZON.COM INC",2000019,142.71,"161,897.00","23,104,320.87"
3.36,GOOGL,"ALPHABET INC-CL A",BYVY8G0,130.97,"175,446.00","22,978,162.62"
3.33,META,"META PLATFORMS INC",B7TL820,318.82,"71,406.00","22,765,660.92"
3.30,IBM,IBM,2005973,148.83,"151,668.00","22,572,748.44"
3.25,NOW,"SERVICENOW INC",B80NXX8,613.91,"36,246.00","22,251,781.86"
3.23,MSFT,"MICROSOFT CORP",2588173,360.53,"61,253.00","22,083,544.09"
3.18,NVDA,"NVIDIA CORP",2379504,459.55,"47,303.00","21,738,093.65"
3.12,NFLX,"NETFLIX INC",2857817,434.61,"49,178.00","21,373,250.58"
3.11,CSCO,"CISCO SYSTEMS INC",2198163,53.13,"399,872.00","21,245,199.36"
3.07,ACN,"ACCENTURE PLC-CL A",B4BNMY3,315.19,"66,662.00","21,011,195.78"
3.05,"005930 KS","SAMSUNG ELECTRON",6771720,54.21,"384,512.00","20,843,228.56"
2.98,QCOM,"QUALCOMM INC",2714923,120.72,"168,909.00","20,390,694.48"
2.92,AAPL,"APPLE INC",2046251,181.82,"109,879.00","19,978,199.78"
2.86,CRM,"SALESFORCE INC",2310525,211.84,"92,373.00","19,568,296.32"
2.85,ORCL,"ORACLE CORP",2661568,108.99,"178,943.00","19,502,997.57"
2.85,BABA,"ALIBABA GRP-ADR",BP41ZD1,85.41,"228,285.00","19,497,821.85"
2.84,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,39.46,"493,043.00","19,457,038.70"
2.63,TSLA,"TESLA INC",B616C79,222.18,"80,944.00","17,984,137.92"
2.52,"SIE GR","SIEMENS AG-REG",5727973,137.71,"124,976.00","17,210,256.42"
2.21,UBER,"UBER TECHNOLOGIES INC",BK6N347,49.92,"303,258.00","15,138,639.36"
1.80,"3690 HK","MEITUAN-CLASS B",BGJW376,14.77,"834,115.00","12,319,807.99"
1.65,SNPS,"SYNOPSYS INC",2867719,499.02,"22,603.00","11,279,349.06"
1.62,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,61.69,"179,325.00","11,062,559.25"
1.59,"000660 KS","SK HYNIX INC",6450267,99.70,"109,199.00","10,886,921.98"
