"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 11/06/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.46,INTC,"INTEL CORP",2463247,37.95,"609,157.00","23,117,508.15"
3.39,ADBE,"ADOBE INC",2008154,565.45,"39,970.00","22,601,036.50"
3.37,GOOGL,"ALPHABET INC-CL A",BYVY8G0,130.25,"172,566.00","22,476,721.50"
3.33,AMZN,"AMAZON.COM INC",2000019,139.74,"159,257.00","22,254,573.18"
3.33,IBM,IBM,2005973,148.97,"149,188.00","22,224,536.36"
3.32,META,"META PLATFORMS INC",B7TL820,315.80,"70,246.00","22,183,686.80"
3.25,NOW,"SERVICENOW INC",B80NXX8,609.25,"35,646.00","21,717,325.50"
3.22,MSFT,"MICROSOFT CORP",2588173,356.53,"60,253.00","21,482,002.09"
3.19,NVDA,"NVIDIA CORP",2379504,457.51,"46,543.00","21,293,887.93"
3.15,NFLX,"NETFLIX INC",2857817,434.74,"48,378.00","21,031,851.72"
3.14,CSCO,"CISCO SYSTEMS INC",2198163,53.29,"393,352.00","20,961,728.08"
3.10,"005930 KS","SAMSUNG ELECTRON",6771720,54.65,"378,232.00","20,670,327.05"
3.08,ACN,"ACCENTURE PLC-CL A",B4BNMY3,313.09,"65,582.00","20,533,068.38"
2.99,QCOM,"QUALCOMM INC",2714923,119.93,"166,149.00","19,926,249.57"
2.90,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,39.97,"485,043.00","19,388,942.90"
2.90,AAPL,"APPLE INC",2046251,179.23,"108,079.00","19,370,999.17"
2.88,ORCL,"ORACLE CORP",2661568,109.11,"176,023.00","19,205,869.53"
2.87,BABA,"ALIBABA GRP-ADR",BP41ZD1,85.36,"224,565.00","19,168,868.40"
2.82,CRM,"SALESFORCE INC",2310525,207.42,"90,853.00","18,844,729.26"
2.62,TSLA,"TESLA INC",B616C79,219.27,"79,624.00","17,459,154.48"
2.55,"SIE GR","SIEMENS AG-REG",5727973,138.58,"122,936.00","17,036,762.56"
2.15,UBER,"UBER TECHNOLOGIES INC",BK6N347,48.14,"298,298.00","14,360,065.72"
1.85,"3690 HK","MEITUAN-CLASS B",BGJW376,14.99,"822,115.00","12,320,975.68"
1.65,"000660 KS","SK HYNIX INC",6450267,102.52,"107,439.00","11,014,288.36"
1.63,SNPS,"SYNOPSYS INC",2867719,489.94,"22,243.00","10,897,735.42"
1.60,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,60.43,"176,405.00","10,660,154.15"
1.51,CDNS,"CADENCE DESIGN SYS INC",2302232,249.77,"40,244.00","10,051,743.88"
1.29,TRI,"THOMSON REUTERS CORP",BNBXPB4,128.85,"66,870.00","8,616,199.50"
1.05,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,182.80,"38,305.00","7,002,154.00"
1.00,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,218.39,"30,611.00","6,685,136.29"
0.91,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,31.37,"192,852.00","6,049,482.80"
0.83,"STMMI IM","STMICROELECTRONICS NV",5962343,40.93,"134,879.00","5,520,023.54"
0.76,TTD,"TRADE DESK INC-A",BD8FDD1,77.47,"65,201.00","5,051,121.47"
0.72,"WKL NA","WOLTERS KLUWER",5671519,124.85,"38,446.00","4,800,018.48"
0.71,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,71.09,"67,025.00","4,764,807.25"
0.67,BIDU,"BAIDU INC - SPON ADR",B0FXT17,108.40,"41,167.00","4,462,502.80"
0.66,"EXPN LN","EXPERIAN PLC",B19NLV4,32.35,"135,157.00","4,372,923.51"
0.65,ROK,"ROCKWELL AUTOMATION INC",2754060,258.50,"16,885.00","4,364,772.50"
0.62,"6702 JP","FUJITSU LIMITED",6356945,132.07,"31,139.00","4,112,423.45"
0.60,"6954 JP","FANUC CORP",6356934,26.82,"148,867.00","3,992,719.62"
0.53,SPLK,"SPLUNK INC",B424494,146.62,"24,096.00","3,532,955.52"
0.52,ZS,"ZSCALER INC",BZ00V34,163.47,"21,394.00","3,497,277.18"
0.52,DDOG,"DATADOG INC - CLASS A",BKT9Y49,79.55,"43,294.00","3,444,037.70"
0.48,EBAY,"EBAY INC",2293819,40.36,"78,637.00","3,173,789.32"
0.45,HPE,"HEWLETT PACKA",BYVYWS0,15.91,"188,926.00","3,005,812.66"
0.38,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,91.97,"27,690.00","2,546,731.92"
0.38,INFA,"INFORMATICA INC - CLASS A",BMG95P4,22.77,"110,620.00","2,518,817.40"
0.37,CYBR,"CYBERARK SOFTWAR",BQT3XY6,178.49,"13,747.00","2,453,702.03"
0.37,STX,"SEAGATE TECHNOLO",BKVD2N4,71.13,"34,286.00","2,438,763.18"
0.36,BAH,"BOOZ ALLEN HAMIL",B5367T7,123.64,"19,315.00","2,388,106.60"
0.33,FRSH,"FRESHWORKS INC-CL A",BPF0BB7,18.32,"121,736.00","2,230,203.52"
0.33,"6701 JP","NEC CORP",6640400,50.78,"42,926.00","2,179,913.21"
0.32,SNAP,"SNAP INC - A",BD8DJ71,10.73,"199,335.00","2,138,864.55"
0.32,HUBB,"HUBBELL INC",BDFG6S3,278.25,"7,632.00","2,123,604.00"
0.32,WIX,"WIX.COM LTD",BFZCHN7,86.73,"24,456.00","2,121,068.88"
0.32,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,4.64,"452,990.00","2,101,873.60"
0.31,BZ,"KANZHUN LTD - ADR",BM91SH0,15.35,"132,899.00","2,039,999.65"
0.31,CCCS,"CCC INTELLIGENT",BP4CXL8,10.90,"186,916.00","2,037,384.40"
