"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 12/11/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.75,INTC,"INTEL CORP",2463247,44.54,"690,117.00","30,737,811.18"
3.46,NOW,"SERVICENOW INC",B80NXX8,705.12,"40,286.00","28,406,464.32"
3.44,ADBE,"ADOBE INC",2008154,625.20,"45,079.00","28,183,390.80"
3.37,IBM,IBM,2005973,163.51,"169,028.00","27,637,768.28"
3.21,AMZN,"AMAZON.COM INC",2000019,145.89,"180,377.00","26,315,200.53"
3.18,GOOGL,"ALPHABET INC-CL A",BYVY8G0,133.29,"195,606.00","26,072,323.74"
3.17,CRM,"SALESFORCE INC",2310525,252.10,"103,013.00","25,969,577.30"
3.15,META,"META PLATFORMS INC",B7TL820,325.28,"79,526.00","25,868,217.28"
3.12,QCOM,"QUALCOMM INC",2714923,136.10,"188,229.00","25,617,966.90"
3.10,ACN,"ACCENTURE PLC-CL A",B4BNMY3,342.31,"74,222.00","25,406,932.82"
3.09,MSFT,"MICROSOFT CORP",2588173,371.30,"68,253.00","25,342,338.90"
3.07,NFLX,"NETFLIX INC",2857817,459.89,"54,778.00","25,191,854.42"
3.01,NVDA,"NVIDIA CORP",2379504,466.27,"52,888.00","24,660,087.76"
3.00,"SIE GR","SIEMENS AG-REG",5727973,176.53,"139,256.00","24,583,125.57"
2.90,"005930 KS","SAMSUNG ELECTRON",6771720,55.45,"428,472.00","23,759,699.19"
2.88,AAPL,"APPLE INC",2046251,193.18,"122,130.00","23,593,073.40"
2.80,ORCL,"ORACLE CORP",2661568,115.13,"199,383.00","22,954,964.79"
2.68,CSCO,"CISCO SYSTEMS INC",2198163,49.39,"445,512.00","22,003,837.68"
2.64,TSLA,"TESLA INC",B616C79,239.74,"90,184.00","21,620,712.16"
2.64,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,39.36,"549,043.00","21,611,794.65"
2.57,UBER,"UBER TECHNOLOGIES INC",BK6N347,62.46,"337,978.00","21,110,105.88"
2.21,BABA,"ALIBABA GRP-ADR",BP41ZD1,71.37,"254,325.00","18,151,175.25"
1.77,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,72.81,"199,765.00","14,544,889.65"
1.72,SNPS,"SYNOPSYS INC",2867719,556.02,"25,343.00","14,091,214.86"
1.49,CDNS,"CADENCE DESIGN SYS INC",2302232,268.75,"45,443.00","12,212,806.25"
1.45,"000660 KS","SK HYNIX INC",6450267,97.91,"121,519.00","11,898,514.26"
1.31,TRI,"THOMSON REUTERS CORP",BNBXPB4,141.35,"75,830.00","10,718,570.50"
1.22,"3690 HK","MEITUAN-CLASS B",BGJW376,10.70,"937,515.00","10,030,624.27"
1.16,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,219.54,"43,425.00","9,533,350.80"
1.16,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,276.11,"34,322.00","9,476,647.42"
1.06,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,39.65,"218,452.00","8,662,173.03"
0.89,"STMMI IM","STMICROELECTRONICS NV",5962343,47.82,"152,799.00","7,307,414.22"
0.73,"WKL NA","WOLTERS KLUWER",5671519,139.84,"42,892.00","5,997,994.86"
0.73,"EXPN LN","EXPERIAN PLC",B19NLV4,39.17,"153,077.00","5,995,824.81"
0.69,DDOG,"DATADOG INC - CLASS A",BKT9Y49,114.73,"49,054.00","5,627,965.42"
0.66,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,71.13,"75,985.00","5,404,813.05"
