"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 03/05/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.24,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,65.04,"2,032,643.00","132,208,037.53"
4.24,BABA,"ALIBABA GRP-ADR",BP41ZD1,141.03,"937,093.00","132,158,225.79"
3.30,AAPL,"APPLE INC",2046251,235.74,"436,067.00","102,798,434.58"
3.22,META,"META PLATFORMS INC",B7TL820,656.47,"153,008.00","100,445,161.76"
3.22,CSCO,"CISCO SYSTEMS INC",2198163,63.96,"1,566,705.00","100,206,451.80"
3.14,NFLX,"NETFLIX INC",2857817,990.92,"98,675.00","97,779,031.00"
3.11,"005930 KS","SAMSUNG ELECTRON",6771720,37.12,"2,609,227.00","96,863,919.98"
3.00,ACN,"ACCENTURE PLC-CL A",B4BNMY3,348.26,"268,583.00","93,536,715.58"
2.94,IBM,IBM,2005973,251.35,"364,351.00","91,579,623.85"
2.80,MSFT,"MICROSOFT CORP",2588173,401.02,"217,931.00","87,394,689.62"
2.77,AMZN,"AMAZON.COM INC",2000019,208.36,"414,089.00","86,279,584.04"
2.73,GOOGL,"ALPHABET INC-CL A",BYVY8G0,173.02,"492,521.00","85,215,983.42"
2.73,CRM,"SALESFORCE INC",2310525,291.97,"291,601.00","85,138,743.97"
2.71,ORCL,"ORACLE CORP",2661568,161.56,"523,016.00","84,498,464.96"
2.57,TSM,"TAIWAN SEMIC-ADR",2113382,184.28,"434,339.00","80,039,990.92"
2.53,NOW,"SERVICENOW INC",B80NXX8,915.79,"86,093.00","78,843,108.47"
2.52,"SIE GR","SIEMENS AG-REG",5727973,249.24,"315,489.00","78,632,836.70"
2.49,AVGO,"BROADCOM INC",BDZ78H9,191.58,"405,727.00","77,729,178.66"
2.49,NVDA,"NVIDIA CORP",2379504,117.30,"661,999.00","77,652,482.70"
2.49,ADBE,"ADOBE INC",2008154,451.24,"171,756.00","77,503,177.44"
2.48,PLTR,"PALANTIR TECHN-A",BN78DQ4,90.13,"858,763.00","77,400,309.19"
2.21,QCOM,"QUALCOMM INC",2714923,157.64,"437,529.00","68,972,071.56"
2.12,TSLA,"TESLA INC",B616C79,279.10,"236,617.00","66,039,804.70"
2.08,AMD,"ADVANCED MICRO DEVICES",2007849,101.67,"638,850.00","64,951,879.50"
2.03,UBER,"UBER TECHNOLOGIES INC",BK6N347,76.48,"828,881.00","63,392,818.88"
1.63,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,106.15,"477,498.00","50,686,412.70"
1.55,"3690 HK","MEITUAN-CLASS B",BGJW376,22.07,"2,183,315.00","48,178,814.89"
1.33,MU,"MICRON TECHNOLOGY INC",2588184,94.34,"438,408.00","41,359,410.72"
1.22,"000660 KS","SK HYNIX INC",6450267,132.75,"286,587.00","38,044,788.74"
1.20,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,318.00,"117,713.00","37,432,734.00"
1.13,INTC,"INTEL CORP",2463247,20.81,"1,696,738.00","35,309,117.78"
1.03,FTNT,"FORTINET INC",B5B2106,106.80,"301,576.00","32,208,316.80"
1.00,TRI,"THOMSON REUTERS CORP",BNBXPB4,176.00,"176,804.00","31,117,504.00"
0.99,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,90.14,"340,651.00","30,706,281.14"
0.88,SNPS,"SYNOPSYS INC",2867719,447.96,"61,068.00","27,356,021.28"
0.85,CDNS,"CADENCE DESIGN SYS INC",2302232,244.70,"108,212.00","26,479,476.40"
0.74,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,177.31,"129,554.00","22,971,219.74"
