"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 11/29/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.85,TSLA,"TESLA INC",B616C79,345.16,"278,063.00","95,976,225.08"
3.80,NFLX,"NETFLIX INC",2857817,886.81,"106,767.00","94,682,043.27"
3.77,NOW,"SERVICENOW INC",B80NXX8,"1,049.44","89,550.00","93,977,352.00"
3.55,ORCL,"ORACLE CORP",2661568,184.84,"478,706.00","88,484,017.04"
3.55,CRM,"SALESFORCE INC",2310525,329.99,"267,770.00","88,361,422.30"
3.51,CSCO,"CISCO SYSTEMS INC",2198163,59.21,"1,478,280.00","87,528,958.80"
3.40,IBM,IBM,2005973,227.41,"372,289.00","84,662,241.49"
3.24,META,"META PLATFORMS INC",B7TL820,574.32,"140,302.00","80,578,244.64"
3.16,BABA,"ALIBABA GRP-ADR",BP41ZD1,87.37,"900,526.00","78,678,956.62"
3.10,NVDA,"NVIDIA CORP",2379504,138.25,"559,050.00","77,288,662.50"
3.07,AMZN,"AMAZON.COM INC",2000019,207.89,"367,577.00","76,415,582.53"
3.02,ACN,"ACCENTURE PLC-CL A",B4BNMY3,362.37,"207,370.00","75,144,666.90"
2.98,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,51.15,"1,451,643.00","74,246,636.47"
2.90,AAPL,"APPLE INC",2046251,237.33,"304,442.00","72,253,219.86"
2.72,AVGO,"BROADCOM INC",BDZ78H9,162.08,"418,433.00","67,819,620.64"
2.62,MSFT,"MICROSOFT CORP",2588173,423.46,"154,070.00","65,242,482.20"
2.60,ADBE,"ADOBE INC",2008154,515.93,"125,331.00","64,662,022.83"
2.56,GOOGL,"ALPHABET INC-CL A",BYVY8G0,168.95,"377,112.00","63,713,072.40"
2.36,"SIE GR","SIEMENS AG-REG",5727973,193.45,"303,810.00","58,773,159.41"
2.29,UBER,"UBER TECHNOLOGIES INC",BK6N347,71.96,"792,605.00","57,035,855.80"
2.26,QCOM,"QUALCOMM INC",2714923,158.53,"354,399.00","56,182,873.47"
2.13,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,115.60,"458,696.00","53,025,257.60"
1.82,"3690 HK","MEITUAN-CLASS B",BGJW376,21.68,"2,089,315.00","45,295,274.14"
1.77,"005930 KS","SAMSUNG ELECTRON",6771720,38.85,"1,132,208.00","43,988,153.54"
1.65,MU,"MICRON TECHNOLOGY INC",2588184,97.95,"420,514.00","41,189,346.30"
1.56,INTC,"INTEL CORP",2463247,24.05,"1,614,925.00","38,838,946.25"
1.30,SNPS,"SYNOPSYS INC",2867719,558.49,"57,996.00","32,390,186.04"
1.27,CDNS,"CADENCE DESIGN SYS INC",2302232,306.81,"103,234.00","31,673,223.54"
1.27,"000660 KS","SK HYNIX INC",6450267,114.62,"276,160.00","31,653,334.29"
1.12,TRI,"THOMSON REUTERS CORP",BNBXPB4,162.59,"171,065.00","27,813,458.35"
1.10,FTNT,"FORTINET INC",B5B2106,95.05,"288,359.00","27,408,522.95"
0.89,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,229.37,"96,969.00","22,241,779.53"
0.87,TTD,"TRADE DESK INC-A",BD8FDD1,128.55,"167,938.00","21,588,429.90"
0.81,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,249.99,"80,290.00","20,071,697.10"
0.72,DDOG,"DATADOG INC - CLASS A",BKT9Y49,152.75,"116,949.00","17,863,959.75"
0.66,"EXPN LN","EXPERIAN PLC",B19NLV4,47.68,"347,036.00","16,545,688.41"
0.65,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,32.55,"493,611.00","16,065,466.43"
0.63,"WKL NA","WOLTERS KLUWER",5671519,166.83,"94,037.00","15,687,897.16"
0.60,"6702 JP","FUJITSU LIMITED",6356945,19.08,"780,341.00","14,891,349.38"
0.58,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,83.22,"172,348.00","14,342,800.56"
0.51,ROK,"ROCKWELL AUTOMATION INC",2754060,295.14,"43,004.00","12,692,200.56"
0.48,"5803 JP","FUJIKURA LTD",6356707,35.44,"339,585.00","12,033,634.32"
0.48,EBAY,"EBAY INC",2293819,63.29,"189,383.00","11,986,050.07"
0.48,TWLO,"TWILIO INC - A",BD6P5Q0,104.54,"113,306.00","11,845,009.24"
0.47,ZS,"ZSCALER INC",BZ00V34,206.59,"57,003.00","11,776,249.77"
0.42,HPE,"HEWLETT PACKA",BYVYWS0,21.22,"493,580.00","10,473,767.60"
0.41,PEGA,"PEGASYSTEMS INC",2675860,94.97,"108,219.00","10,277,558.43"
0.40,CLS,"CELESTICA INC",BMDLRD5,85.24,"117,510.00","10,016,552.40"
0.39,"6954 JP","FANUC CORP",6356934,25.88,"377,693.00","9,775,228.49"
0.39,DOCU,"DOCUSIGN INC",BFYT7B7,79.69,"121,140.00","9,653,646.60"
0.38,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.14,"1,174,875.00","9,563,482.50"
0.38,HUBB,"HUBBELL INC",BDFG6S3,460.09,"20,390.00","9,381,235.10"
0.38,G,"GENPACT LTD",B23DBK6,46.16,"202,905.00","9,366,094.80"
0.37,BIDU,"BAIDU INC - SPON ADR",B0FXT17,85.05,"108,944.00","9,265,687.20"
0.36,WIX,"WIX.COM LTD",BFZCHN7,223.74,"40,158.00","8,984,950.92"
0.36,AI,"C3.AI INC-A",BMGNBJ2,37.18,"239,241.00","8,894,980.38"
0.35,"6701 JP","NEC CORP",6640400,84.86,"103,309.00","8,767,008.72"
0.34,AMBA,"AMBARELLA INC",B7KH3G6,71.55,"117,433.00","8,402,331.15"
0.33,ZBRA,"ZEBRA TECH CORP",2989356,407.00,"20,459.00","8,326,813.00"
0.33,CYBR,"CYBERARK SOFTWAR",BQT3XY6,323.51,"25,658.00","8,300,619.58"
0.32,STX,"SEAGATE TECHNOLO",BKVD2N4,101.33,"78,950.00","8,000,003.50"
0.32,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,81.20,"97,036.00","7,879,323.20"
0.32,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,55.95,"140,718.00","7,873,172.10"
