"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 04/08/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.10,NVDA,"NVIDIA CORP",2379504,871.33,"79,052.00","68,880,379.16"
3.80,META,"META PLATFORMS INC",B7TL820,519.25,"122,906.00","63,818,940.50"
3.59,NFLX,"NETFLIX INC",2857817,628.41,"96,007.00","60,331,758.87"
3.34,AMZN,"AMAZON.COM INC",2000019,185.19,"303,195.00","56,148,682.05"
3.18,QCOM,"QUALCOMM INC",2714923,173.62,"308,168.00","53,504,128.16"
3.17,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,39.00,"1,367,343.00","53,322,081.90"
3.12,ORCL,"ORACLE CORP",2661568,123.95,"422,974.00","52,427,627.30"
3.12,"005930 KS","SAMSUNG ELECTRON",6771720,62.44,"838,753.00","52,369,770.20"
3.07,IBM,IBM,2005973,189.82,"272,046.00","51,639,771.72"
3.07,AVGO,"BROADCOM INC",BDZ78H9,"1,336.10","38,649.00","51,638,928.90"
3.07,CRM,"SALESFORCE INC",2310525,301.73,"170,788.00","51,531,863.24"
3.00,MSFT,"MICROSOFT CORP",2588173,424.59,"118,628.00","50,368,262.52"
2.96,GOOGL,"ALPHABET INC-CL A",BYVY8G0,154.85,"321,784.00","49,828,252.40"
2.94,NOW,"SERVICENOW INC",B80NXX8,785.60,"62,900.00","49,414,240.00"
2.73,BABA,"ALIBABA GRP-ADR",BP41ZD1,71.71,"639,169.00","45,834,808.99"
2.62,CSCO,"CISCO SYSTEMS INC",2198163,48.24,"913,873.00","44,085,233.52"
2.53,UBER,"UBER TECHNOLOGIES INC",BK6N347,75.03,"566,839.00","42,529,930.17"
2.53,ACN,"ACCENTURE PLC-CL A",B4BNMY3,331.80,"127,977.00","42,462,768.60"
2.49,"SIE GR","SIEMENS AG-REG",5727973,189.13,"221,338.00","41,860,603.30"
2.43,AAPL,"APPLE INC",2046251,168.45,"242,410.00","40,833,964.50"
2.33,TSLA,"TESLA INC",B616C79,172.98,"226,295.00","39,144,509.10"
2.28,ADBE,"ADOBE INC",2008154,484.28,"79,219.00","38,364,177.32"
2.22,MU,"MICRON TECHNOLOGY INC",2588184,122.95,"303,125.00","37,269,218.75"
2.19,INTC,"INTEL CORP",2463247,37.98,"967,538.00","36,747,093.24"
1.59,"000660 KS","SK HYNIX INC",6450267,133.89,"199,066.00","26,652,942.11"
