Global X Artificial Intelligence & Technology ETF,,,,,,
Fund Holdings Data as of 09/30/2025,,,,,,
% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
3.97,BABA,ALIBABA GRP-ADR,BP41ZD1,178.73,"1,350,347.00","241,347,519.31"
3.64,TSLA,TESLA INC,B616C79,444.72,"496,997.00","221,024,505.84"
3.48,GOOGL,ALPHABET INC-CL A,BYVY8G0,243.1,"870,506.00","211,620,008.60"
3.38,005930 KS,SAMSUNG ELECTRON,6771720,59.8,"3,437,126.00","205,534,279.89"
3.33,700 HK,TENCENT HOLDINGS LTD,BMMV2K8,85.21,"2,377,818.00","202,623,686.96"
3.24,AAPL,APPLE INC,2046251,254.63,"773,052.00","196,842,230.76"
3.21,PLTR,PALANTIR TECHN-A,BN78DQ4,182.42,"1,069,914.00","195,173,711.88"
3.17,ORCL,ORACLE CORP,2661568,281.24,"684,255.00","192,439,876.20"
3.16,TSM,TAIWAN SEMIC-ADR,2113382,279.29,"688,454.00","192,278,317.66"
3.16,AVGO,BROADCOM INC,BDZ78H9,329.91,"581,966.00","191,996,403.06"
2.98,NVDA,NVIDIA CORP,2379504,186.58,"969,404.00","180,871,398.32"
2.81,META,META PLATFORMS INC,B7TL820,734.38,"232,268.00","170,572,973.84"
2.8,MSFT,MICROSOFT CORP,2588173,517.95,"328,218.00","170,000,513.10"
2.78,AMD,ADVANCED MICRO DEVICES,2007849,161.79,"1,043,437.00","168,817,672.23"
2.77,NFLX,NETFLIX INC,2857817,"1,198.92","140,153.00","168,032,234.76"
2.73,IBM,IBM,2005973,282.16,"587,480.00","165,763,356.80"
2.71,CSCO,CISCO SYSTEMS INC,2198163,68.42,"2,410,800.00","164,946,936.00"
2.62,AMZN,AMAZON.COM INC,2000019,219.57,"724,897.00","159,165,634.29"
2.41,CRM,SALESFORCE INC,2310525,237,"618,114.00","146,493,018.00"
