"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 08/21/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.38,GOOGL,"ALPHABET INC-CL A",BYVY8G0,128.37,"131,836.00","16,923,787.32"
3.34,NVDA,"NVIDIA CORP",2379504,469.67,"35,633.00","16,735,751.11"
3.32,CSCO,"CISCO SYSTEMS INC",2198163,55.44,"300,442.00","16,656,504.48"
3.27,AMZN,"AMAZON.COM INC",2000019,134.68,"121,637.00","16,382,071.16"
3.23,IBM,IBM,2005973,142.28,"113,848.00","16,198,293.44"
3.17,ADBE,"ADOBE INC",2008154,520.47,"30,472.00","15,859,761.84"
3.13,ORCL,"ORACLE CORP",2661568,116.59,"134,413.00","15,671,211.67"
3.11,META,"META PLATFORMS INC",B7TL820,289.90,"53,716.00","15,572,268.40"
3.08,INTC,"INTEL CORP",2463247,33.14,"464,947.00","15,408,343.58"
3.07,ACN,"ACCENTURE PLC-CL A",B4BNMY3,306.51,"50,192.00","15,384,349.92"
3.03,BABA,"ALIBABA GRP-ADR",BP41ZD1,88.57,"171,555.00","15,194,626.35"
3.01,NFLX,"NETFLIX INC",2857817,408.29,"36,978.00","15,097,747.62"
3.01,NOW,"SERVICENOW INC",B80NXX8,554.70,"27,207.00","15,091,722.90"
3.00,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,40.57,"371,043.00","15,052,838.43"
2.96,MSFT,"MICROSOFT CORP",2588173,321.88,"46,003.00","14,807,445.64"
2.89,CRM,"SALESFORCE INC",2310525,209.03,"69,392.00","14,505,009.76"
2.89,AAPL,"APPLE INC",2046251,175.84,"82,429.00","14,494,315.36"
2.86,"005930 KS","SAMSUNG ELECTRON",6771720,49.60,"288,742.00","14,322,050.50"
2.81,TSLA,"TESLA INC",B616C79,231.28,"60,814.00","14,065,061.92"
2.80,QCOM,"QUALCOMM INC",2714923,110.68,"126,819.00","14,036,326.92"
2.75,"SIE GR","SIEMENS AG-REG",5727973,146.89,"93,866.00","13,788,433.85"
2.03,"3690 HK","MEITUAN-CLASS B",BGJW376,16.20,"627,315.00","10,163,807.49"
2.03,UBER,"UBER TECHNOLOGIES INC",BK6N347,44.63,"227,618.00","10,158,591.34"
1.48,SNPS,"SYNOPSYS INC",2867719,436.47,"16,995.00","7,417,807.65"
1.45,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,53.93,"134,795.00","7,269,494.35"
1.43,"000660 KS","SK HYNIX INC",6450267,86.69,"82,359.00","7,139,783.72"
1.39,CDNS,"CADENCE DESIGN SYS INC",2302232,225.00,"30,925.00","6,958,125.00"
1.30,TRI,"THOMSON REUTERS CORP",BNBXPB4,127.34,"51,328.00","6,536,107.52"
1.17,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,201.62,"29,185.00","5,884,279.70"
1.05,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,227.23,"23,201.00","5,271,963.23"
1.03,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,34.98,"147,252.00","5,151,126.60"
0.95,"STMMI IM","STMICROELECTRONICS NV",5962343,46.34,"102,959.00","4,771,415.64"
0.79,BIDU,"BAIDU INC - SPON ADR",B0FXT17,124.92,"31,477.00","3,932,106.84"
0.75,ROK,"ROCKWELL AUTOMATION INC",2754060,292.83,"12,895.00","3,776,042.85"
0.73,TTD,"TRADE DESK INC-A",BD8FDD1,73.34,"49,811.00","3,653,138.74"
0.70,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,68.97,"51,065.00","3,521,953.05"
0.70,"EXPN LN","EXPERIAN PLC",B19NLV4,34.09,"103,237.00","3,519,159.46"
0.70,"WKL NA","WOLTERS KLUWER",5671519,118.73,"29,326.00","3,481,839.89"
0.63,"6954 JP","FANUC CORP",6356934,27.57,"114,097.00","3,145,163.88"
