"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 01/17/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.68,TSLA,"TESLA INC",B616C79,426.50,"300,939.00","128,350,483.50"
3.93,AVGO,"BROADCOM INC",BDZ78H9,237.44,"453,013.00","107,563,406.72"
3.79,NOW,"SERVICENOW INC",B80NXX8,"1,071.48","96,998.00","103,931,417.04"
3.63,NFLX,"NETFLIX INC",2857817,858.10,"115,811.00","99,377,419.10"
3.52,CSCO,"CISCO SYSTEMS INC",2198163,60.23,"1,600,640.00","96,406,547.20"
3.44,CRM,"SALESFORCE INC",2310525,324.56,"290,114.00","94,159,399.84"
3.40,META,"META PLATFORMS INC",B7TL820,612.77,"152,006.00","93,144,716.62"
3.31,IBM,IBM,2005973,224.79,"403,145.00","90,622,964.55"
3.28,AMZN,"AMAZON.COM INC",2000019,225.94,"397,901.00","89,901,751.94"
3.04,ORCL,"ORACLE CORP",2661568,161.03,"518,074.00","83,425,456.22"
3.04,NVDA,"NVIDIA CORP",2379504,137.71,"605,334.00","83,360,545.14"
3.03,BABA,"ALIBABA GRP-ADR",BP41ZD1,85.12,"975,006.00","82,992,510.72"
2.92,GOOGL,"ALPHABET INC-CL A",BYVY8G0,196.00,"408,500.00","80,066,000.00"
2.89,ACN,"ACCENTURE PLC-CL A",B4BNMY3,352.59,"224,394.00","79,119,080.46"
2.81,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,48.79,"1,575,343.00","76,865,251.11"
2.77,AAPL,"APPLE INC",2046251,229.98,"329,446.00","75,765,991.08"
2.61,MSFT,"MICROSOFT CORP",2588173,429.03,"166,838.00","71,578,507.14"
2.48,"SIE GR","SIEMENS AG-REG",5727973,206.90,"328,814.00","68,030,132.37"
2.30,QCOM,"QUALCOMM INC",2714923,164.56,"383,659.00","63,134,925.04"
2.13,ADBE,"ADOBE INC",2008154,429.99,"135,439.00","58,237,415.61"
2.11,UBER,"UBER TECHNOLOGIES INC",BK6N347,67.34,"858,041.00","57,780,480.94"
1.87,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,103.35,"496,468.00","51,309,967.80"
1.76,MU,"MICRON TECHNOLOGY INC",2588184,105.75,"455,094.00","48,126,190.50"
1.65,"005930 KS","SAMSUNG ELECTRON",6771720,36.84,"1,225,840.00","45,153,896.49"
1.61,"000660 KS","SK HYNIX INC",6450267,147.13,"299,036.00","43,998,506.02"
1.56,"3690 HK","MEITUAN-CLASS B",BGJW376,18.99,"2,248,915.00","42,701,923.45"
1.37,INTC,"INTEL CORP",2463247,21.49,"1,748,457.00","37,574,340.93"
1.25,CDNS,"CADENCE DESIGN SYS INC",2302232,305.60,"111,746.00","34,149,577.60"
1.21,SNPS,"SYNOPSYS INC",2867719,526.70,"62,784.00","33,068,332.80"
1.08,TRI,"THOMSON REUTERS CORP",BNBXPB4,159.25,"185,429.00","29,529,568.25"
1.07,FTNT,"FORTINET INC",B5B2106,94.23,"312,299.00","29,427,934.77"
0.83,TTD,"TRADE DESK INC-A",BD8FDD1,124.42,"181,770.00","22,615,823.40"
0.83,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,215.36,"104,949.00","22,601,816.64"
0.79,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,249.64,"86,674.00","21,637,297.36"
0.68,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,35.03,"534,575.00","18,725,378.43"
0.66,"WKL NA","WOLTERS KLUWER",5671519,176.46,"102,017.00","18,001,516.41"
0.64,DDOG,"DATADOG INC - CLASS A",BKT9Y49,138.40,"126,525.00","17,511,060.00"
0.63,"EXPN LN","EXPERIAN PLC",B19NLV4,45.59,"375,764.00","17,131,651.37"
0.58,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,84.74,"186,712.00","15,821,974.88"
0.53,"6702 JP","FUJITSU LIMITED",6356945,17.14,"845,245.00","14,487,594.04"
0.53,CLS,"CELESTICA INC",BMDLRD5,113.28,"127,086.00","14,396,302.08"
0.51,"5803 JP","FUJIKURA LTD",6356707,38.19,"367,781.00","14,044,581.73"
0.50,TWLO,"TWILIO INC - A",BD6P5Q0,111.94,"122,882.00","13,755,411.08"
0.50,EBAY,"EBAY INC",2293819,66.19,"205,343.00","13,591,653.17"
0.49,ROK,"ROCKWELL AUTOMATION INC",2754060,286.60,"46,728.00","13,392,244.80"
0.45,HPE,"HEWLETT PACKA",BYVYWS0,23.14,"534,544.00","12,369,348.16"
0.44,PEGA,"PEGASYSTEMS INC",2675860,103.29,"117,263.00","12,112,095.27"
0.43,"6954 JP","FANUC CORP",6356934,28.78,"409,081.00","11,772,624.07"
0.43,DOCU,"DOCUSIGN INC",BFYT7B7,89.60,"131,248.00","11,759,820.80"
0.42,ZS,"ZSCALER INC",BZ00V34,187.58,"61,791.00","11,590,755.78"
0.40,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.54,"1,271,699.00","10,860,309.46"
0.38,WIX,"WIX.COM LTD",BFZCHN7,240.89,"43,350.00","10,442,581.50"
0.37,AMBA,"AMBARELLA INC",B7KH3G6,80.79,"127,009.00","10,261,057.11"
0.36,G,"GENPACT LTD",B23DBK6,45.11,"219,929.00","9,920,997.19"
0.36,CYBR,"CYBERARK SOFTWAR",BQT3XY6,352.22,"27,786.00","9,786,784.92"
