"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 10/25/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.48,GOOGL,"ALPHABET INC-CL A",BYVY8G0,125.61,"170,334.00","21,395,653.74"
3.38,META,"META PLATFORMS INC",B7TL820,299.53,"69,347.00","20,771,506.91"
3.34,ADBE,"ADOBE INC",2008154,521.14,"39,443.00","20,555,325.02"
3.31,CSCO,"CISCO SYSTEMS INC",2198163,52.40,"388,299.00","20,346,867.60"
3.30,MSFT,"MICROSOFT CORP",2588173,340.67,"59,478.00","20,262,370.26"
3.28,IBM,IBM,2005973,137.08,"147,266.00","20,187,223.28"
3.21,INTC,"INTEL CORP",2463247,32.83,"601,314.00","19,741,138.62"
3.19,NFLX,"NETFLIX INC",2857817,411.25,"47,758.00","19,640,477.50"
3.12,NVDA,"NVIDIA CORP",2379504,417.79,"45,954.00","19,199,121.66"
3.10,AMZN,"AMAZON.COM INC",2000019,121.39,"157,211.00","19,083,843.29"
3.08,ACN,"ACCENTURE PLC-CL A",B4BNMY3,292.68,"64,745.00","18,949,566.60"
3.06,"005930 KS","SAMSUNG ELECTRON",6771720,50.39,"373,365.00","18,812,107.29"
3.03,NOW,"SERVICENOW INC",B80NXX8,530.17,"35,181.00","18,651,910.77"
2.97,AAPL,"APPLE INC",2046251,171.10,"106,684.00","18,253,632.40"
2.92,BABA,"ALIBABA GRP-ADR",BP41ZD1,81.03,"221,682.00","17,962,892.46"
2.87,CRM,"SALESFORCE INC",2310525,197.06,"89,675.00","17,671,355.50"
2.87,ORCL,"ORACLE CORP",2661568,101.43,"173,760.00","17,624,476.80"
2.87,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,36.79,"478,843.00","17,617,597.70"
2.79,QCOM,"QUALCOMM INC",2714923,104.78,"164,010.00","17,184,967.80"
2.72,TSLA,"TESLA INC",B616C79,212.42,"78,601.00","16,696,424.42"
2.65,"SIE GR","SIEMENS AG-REG",5727973,134.41,"121,355.00","16,310,852.00"
2.03,UBER,"UBER TECHNOLOGIES INC",BK6N347,42.35,"294,454.00","12,470,126.90"
1.85,"3690 HK","MEITUAN-CLASS B",BGJW376,14.01,"812,815.00","11,388,460.50"
1.63,"000660 KS","SK HYNIX INC",6450267,94.47,"106,075.00","10,021,163.68"
1.63,SNPS,"SYNOPSYS INC",2867719,455.26,"21,964.00","9,999,330.64"
1.49,CDNS,"CADENCE DESIGN SYS INC",2302232,231.03,"39,717.00","9,175,818.51"
1.37,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,48.49,"174,142.00","8,444,145.58"
1.31,TRI,"THOMSON REUTERS CORP",BNBXPB4,121.78,"66,002.00","8,037,723.56"
1.08,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,175.94,"37,809.00","6,652,115.46"
1.02,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,207.21,"30,208.00","6,259,399.68"
0.94,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,30.45,"190,372.00","5,797,216.37"
0.85,"STMMI IM","STMICROELECTRONICS NV",5962343,39.30,"133,143.00","5,232,832.81"
0.79,"WKL NA","WOLTERS KLUWER",5671519,127.57,"37,950.00","4,841,176.16"
0.75,TTD,"TRADE DESK INC-A",BD8FDD1,71.67,"64,364.00","4,612,967.88"
0.71,ROK,"ROCKWELL AUTOMATION INC",2754060,263.32,"16,668.00","4,389,017.76"
0.71,BIDU,"BAIDU INC - SPON ADR",B0FXT17,107.98,"40,640.00","4,388,307.20"
