"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 11/20/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.82,INTC,"INTEL CORP",2463247,44.74,"640,529.00","28,657,267.46"
3.44,ADBE,"ADOBE INC",2008154,612.70,"42,078.00","25,781,190.60"
3.35,META,"META PLATFORMS INC",B7TL820,339.97,"73,842.00","25,104,064.74"
3.34,NOW,"SERVICENOW INC",B80NXX8,666.92,"37,506.00","25,013,501.52"
3.30,GOOGL,"ALPHABET INC-CL A",BYVY8G0,136.25,"181,494.00","24,728,557.50"
3.29,NVDA,"NVIDIA CORP",2379504,504.09,"48,899.00","24,649,496.91"
3.27,AMZN,"AMAZON.COM INC",2000019,146.13,"167,441.00","24,468,153.33"
3.23,IBM,IBM,2005973,154.35,"156,876.00","24,213,810.60"
3.22,NFLX,"NETFLIX INC",2857817,474.47,"50,858.00","24,130,595.26"
3.19,MSFT,"MICROSOFT CORP",2588173,377.44,"63,353.00","23,911,956.32"
3.04,ACN,"ACCENTURE PLC-CL A",B4BNMY3,330.90,"68,930.00","22,808,937.00"
3.02,QCOM,"QUALCOMM INC",2714923,129.51,"174,705.00","22,626,044.55"
2.99,"005930 KS","SAMSUNG ELECTRON",6771720,56.29,"397,700.00","22,386,984.13"
2.90,AAPL,"APPLE INC",2046251,191.45,"113,659.00","21,760,015.55"
2.89,ORCL,"ORACLE CORP",2661568,116.92,"185,075.00","21,638,969.00"
2.87,CRM,"SALESFORCE INC",2310525,225.13,"95,565.00","21,514,548.45"
2.85,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,41.91,"509,843.00","21,366,943.04"
2.79,"SIE GR","SIEMENS AG-REG",5727973,161.51,"129,260.00","20,876,850.30"
2.66,CSCO,"CISCO SYSTEMS INC",2198163,48.27,"413,564.00","19,962,734.28"
2.63,TSLA,"TESLA INC",B616C79,235.60,"83,716.00","19,723,489.60"
2.47,BABA,"ALIBABA GRP-ADR",BP41ZD1,78.46,"236,097.00","18,524,170.62"
2.29,UBER,"UBER TECHNOLOGIES INC",BK6N347,54.75,"313,674.00","17,173,651.50"
1.72,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,69.51,"185,457.00","12,891,116.07"
1.69,SNPS,"SYNOPSYS INC",2867719,541.52,"23,359.00","12,649,365.68"
1.60,"3690 HK","MEITUAN-CLASS B",BGJW376,13.99,"859,315.00","12,019,008.48"
1.53,"000660 KS","SK HYNIX INC",6450267,101.74,"112,895.00","11,486,181.18"
1.53,CDNS,"CADENCE DESIGN SYS INC",2302232,270.25,"42,352.00","11,445,628.00"
1.30,TRI,"THOMSON REUTERS CORP",BNBXPB4,138.89,"70,342.00","9,769,800.38"
1.09,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,203.34,"40,289.00","8,192,365.26"
1.02,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,237.02,"32,223.00","7,637,495.46"
1.00,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,37.10,"202,772.00","7,521,986.74"
0.87,"STMMI IM","STMICROELECTRONICS NV",5962343,46.18,"141,823.00","6,548,755.99"
0.73,"WKL NA","WOLTERS KLUWER",5671519,134.94,"40,430.00","5,455,564.37"
0.70,"EXPN LN","EXPERIAN PLC",B19NLV4,36.75,"142,101.00","5,222,095.00"
0.69,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,73.33,"70,497.00","5,169,545.01"
0.68,DDOG,"DATADOG INC - CLASS A",BKT9Y49,111.77,"45,526.00","5,088,441.02"
0.64,BIDU,"BAIDU INC - SPON ADR",B0FXT17,111.29,"43,275.00","4,816,074.75"
0.64,ROK,"ROCKWELL AUTOMATION INC",2754060,271.12,"17,753.00","4,813,193.36"
0.62,TTD,"TRADE DESK INC-A",BD8FDD1,67.29,"68,549.00","4,612,662.21"
0.61,"6702 JP","FUJITSU LIMITED",6356945,138.86,"32,751.00","4,547,676.86"
0.58,ZS,"ZSCALER INC",BZ00V34,191.96,"22,510.00","4,321,019.60"
0.57,"6954 JP","FANUC CORP",6356934,27.26,"156,431.00","4,264,143.20"
0.51,SPLK,"SPLUNK INC",B424494,151.29,"25,336.00","3,833,083.44"
0.44,EBAY,"EBAY INC",2293819,39.45,"82,729.00","3,263,659.05"
0.42,HPE,"HEWLETT PACKA",BYVYWS0,15.83,"198,722.00","3,145,769.26"
0.39,INFA,"INFORMATICA INC - CLASS A",BMG95P4,24.79,"116,324.00","2,883,671.96"
0.37,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,100.68,"27,690.00","2,787,730.75"
0.37,STX,"SEAGATE TECHNOLO",BKVD2N4,77.06,"36,022.00","2,775,855.32"
0.37,CYBR,"CYBERARK SOFTWAR",BQT3XY6,190.40,"14,491.00","2,759,086.40"
0.35,BAH,"BOOZ ALLEN HAMIL",B5367T7,127.54,"20,307.00","2,589,954.78"
0.34,SNAP,"SNAP INC - A",BD8DJ71,12.15,"209,503.00","2,545,461.45"
0.34,WIX,"WIX.COM LTD",BFZCHN7,98.29,"25,696.00","2,525,659.84"
0.34,"6701 JP","NEC CORP",6640400,55.70,"45,158.00","2,515,186.91"
0.32,FRSH,"FRESHWORKS INC-CL A",BPF0BB7,18.92,"128,060.00","2,422,895.20"
0.32,BZ,"KANZHUN LTD - ADR",BM91SH0,17.31,"139,719.00","2,418,535.89"
0.32,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,304.60,"7,925.00","2,413,955.00"
0.32,HUBB,"HUBBELL INC",BDFG6S3,300.75,"8,004.00","2,407,203.00"
0.32,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,5.04,"476,302.00","2,400,562.08"
0.31,STNE,"STONECO LTD-A",BGKG6M3,13.91,"168,736.00","2,347,117.76"
0.31,PATH,"UIPATH INC - CLASS A",BMD02L5,18.55,"123,906.00","2,298,456.30"
0.30,CCCS,"CCC INTELLIGENT",BP4CXL8,11.52,"196,712.00","2,266,122.24"
0.30,TWLO,"TWILIO INC - A",BD6P5Q0,63.63,"34,987.00","2,226,222.81"
0.30,OKTA,"OKTA INC",BDFZSP1,72.06,"30,740.00","2,215,124.40"
0.29,"6526 JP","SOCIONEXT INC",BMTVX75,98.35,"22,005.00","2,164,085.81"
0.29,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,41.76,"51,276.00","2,141,285.76"
0.28,"2353 TT","ACER INC",6005850,1.09,"1,948,400.00","2,127,867.62"
0.28,"6502 JP","TOSHIBA CORP",6897217,31.01,"68,312.00","2,118,130.16"
0.28,PEGA,"PEGASYSTEMS INC",2675860,52.70,"39,982.00","2,107,051.40"
0.27,"5803 JP","FUJIKURA LTD",6356707,7.59,"264,869.00","2,010,329.91"
0.27,"TIETO FH","TIETOEVRY OYJ",5479702,22.93,"87,651.00","2,009,763.44"
0.27,"TEMN SW","TEMENOS AG - REG",7147892,79.23,"25,277.00","2,002,721.65"
0.26,G,"GENPACT LTD",B23DBK6,34.18,"57,319.00","1,959,163.42"
0.26,IONQ,"IONQ INC",BP484B3,12.85,"150,810.00","1,937,908.50"
0.25,"AMP IM","AMPLIFON SPA",B14NJ71,30.82,"61,687.00","1,900,978.85"
0.25,TDC,"TERADATA CORP",B247H10,47.49,"39,710.00","1,885,827.90"
0.25,"3665 TT","BIZLINK HOLDING INC",B5SG8Y4,8.25,"228,368.00","1,884,057.66"
0.25,"2395 TT","ADVANTECH CO LTD",6202673,10.89,"169,457.00","1,845,300.81"
0.24,DXC,"DXC TECHNOLOGY CO",BYXD7B3,23.00,"77,836.00","1,790,228.00"
0.23,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,56.41,"30,540.00","1,722,761.40"
0.23,"XRO AU","XERO LTD",B8P4LP4,65.82,"25,974.00","1,709,697.37"
0.23,ZBRA,"ZEBRA TECH CORP",2989356,220.54,"7,683.00","1,694,408.82"
0.23,"3443 TT","GLOBAL UNICHIP CORP",B056381,54.21,"31,200.00","1,691,364.27"
0.21,AMBA,"AMBARELLA INC",B7KH3G6,55.72,"27,532.00","1,534,083.04"
0.19,CGNX,"COGNEX CORP",2208288,37.24,"38,430.00","1,431,133.20"
0.19,ENV,"ENVESTNET INC",B474ZK7,39.48,"35,298.00","1,393,565.04"
0.18,VSAT,"VIASAT INC",2946243,19.93,"68,879.00","1,372,758.47"
0.18,VRNT,"VERINT SYSTEMS INC",2849193,23.26,"57,745.00","1,343,148.70"
0.09,,CASH,,1.00,"670,694.45","670,694.45"
0.05,,"OTHER PAYABLE & RECEIVABLES",,1.00,"382,604.30","382,604.30"
0.00,,"JAPANESE YEN",,0.01,-3.00,-0.02
0.00,,EURO,,1.09,-332.77,-364.03
0.00,,"TAIWAN DOLLAR",,0.03,"-622,840.08","-19,687.70"
0.00,,"KOREAN WON",,0.00,"-27,422,799.70","-21,233.29"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
