"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 06/12/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.90,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,64.97,"2,064,443.00","134,135,009.49"
3.59,NFLX,"NETFLIX INC",2857817,"1,215.03","101,584.00","123,427,607.52"
3.47,PLTR,"PALANTIR TECHN-A",BN78DQ4,135.19,"882,716.00","119,334,376.04"
3.41,"005930 KS","SAMSUNG ELECTRON",6771720,43.79,"2,681,463.00","117,413,289.55"
3.26,BABA,"ALIBABA GRP-ADR",BP41ZD1,116.62,"962,958.00","112,300,161.96"
3.17,META,"META PLATFORMS INC",B7TL820,693.36,"157,340.00","109,093,262.40"
3.12,ORCL,"ORACLE CORP",2661568,199.86,"537,415.00","107,407,761.90"
3.12,MSFT,"MICROSOFT CORP",2588173,478.87,"224,147.00","107,337,273.89"
3.10,AVGO,"BROADCOM INC",BDZ78H9,256.07,"416,988.00","106,778,117.16"
3.06,IBM,IBM,2005973,281.03,"374,361.00","105,206,671.83"
3.05,CSCO,"CISCO SYSTEMS INC",2198163,65.10,"1,610,086.00","104,816,598.60"
2.87,NVDA,"NVIDIA CORP",2379504,145.00,"680,492.00","98,671,340.00"
2.79,TSM,"TAIWAN SEMIC-ADR",2113382,215.43,"446,210.00","96,127,020.30"
2.64,AMZN,"AMAZON.COM INC",2000019,213.24,"425,579.00","90,750,465.96"
2.59,AAPL,"APPLE INC",2046251,199.20,"448,046.00","89,250,763.20"
2.59,NOW,"SERVICENOW INC",B80NXX8,"1,007.37","88,315.00","88,965,881.55"
2.58,GOOGL,"ALPHABET INC-CL A",BYVY8G0,175.70,"506,116.00","88,924,581.20"
2.55,ACN,"ACCENTURE PLC-CL A",B4BNMY3,318.13,"275,909.00","87,774,930.17"
2.37,"SIE GR","SIEMENS AG-REG",5727973,251.75,"323,569.00","81,457,222.45"
2.32,CRM,"SALESFORCE INC",2310525,266.91,"299,520.00","79,944,883.20"
2.26,AMD,"ADVANCED MICRO DEVICES",2007849,118.50,"656,777.00","77,828,074.50"
2.25,TSLA,"TESLA INC",B616C79,319.11,"242,677.00","77,440,657.47"
2.12,UBER,"UBER TECHNOLOGIES INC",BK6N347,85.62,"852,281.00","72,972,299.22"
2.12,ADBE,"ADOBE INC",2008154,413.68,"176,200.00","72,890,416.00"
2.07,QCOM,"QUALCOMM INC",2714923,158.70,"449,718.00","71,370,246.60"
1.56,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,109.21,"490,925.00","53,613,919.25"
1.52,MU,"MICRON TECHNOLOGY INC",2588184,116.18,"450,949.00","52,391,254.82"
1.48,"000660 KS","SK HYNIX INC",6450267,173.31,"294,731.00","51,079,332.16"
1.34,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,380.58,"120,743.00","45,952,370.94"
1.17,"3690 HK","MEITUAN-CLASS B",BGJW376,17.96,"2,243,915.00","40,308,309.66"
1.05,INTC,"INTEL CORP",2463247,20.77,"1,739,764.00","36,134,898.28"
1.04,TRI,"THOMSON REUTERS CORP",BNBXPB4,197.10,"182,028.00","35,877,718.80"
0.99,CDNS,"CADENCE DESIGN SYS INC",2302232,307.85,"111,040.00","34,183,664.00"
0.91,FTNT,"FORTINET INC",B5B2106,101.66,"309,252.00","31,438,558.32"
0.90,SNPS,"SYNOPSYS INC",2867719,494.99,"62,684.00","31,027,953.16"
0.82,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,211.28,"133,504.00","28,206,725.12"
0.71,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,69.64,"349,337.00","24,327,828.68"
0.65,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,217.40,"102,839.00","22,357,198.60"
0.63,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,250.69,"86,648.00","21,721,787.12"
0.63,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,41.19,"526,737.00","21,697,999.01"
0.58,"6702 JP","FUJITSU LIMITED",6356945,24.03,"833,233.00","20,025,877.47"
0.55,"EXPN LN","EXPERIAN PLC",B19NLV4,51.24,"369,924.00","18,954,085.24"
0.54,ZS,"ZSCALER INC",BZ00V34,301.43,"62,118.00","18,724,228.74"
0.49,"WKL NA","WOLTERS KLUWER",5671519,173.97,"96,326.00","16,757,780.79"
0.47,"6701 JP","NEC CORP",6640400,27.06,"599,735.00","16,228,786.13"
0.47,STNE,"STONECO LTD-A",BGKG6M3,13.94,"1,162,874.00","16,210,463.56"
0.46,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,17.51,"894,101.00","15,655,708.51"
0.45,DDOG,"DATADOG INC - CLASS A",BKT9Y49,122.68,"126,656.00","15,538,158.08"
0.39,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,73.11,"184,388.00","13,480,606.68"
0.38,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,43.36,"297,860.00","12,915,209.60"
0.37,TTD,"TRADE DESK INC-A",BD8FDD1,70.57,"181,025.00","12,774,934.25"
0.34,STX,"SEAGATE TECHNOLO",BKVD2N4,126.07,"91,448.00","11,528,849.36"
0.33,OKTA,"OKTA INC",BDFZSP1,100.18,"113,096.00","11,329,957.28"
0.32,CYBR,"CYBERARK SOFTWAR",BQT3XY6,392.12,"27,774.00","10,890,740.88"
0.31,"2353 TT","ACER INC",6005850,1.22,"8,783,200.00","10,714,111.02"
0.31,NICE,"NICE LTD - SPON ADR",2639736,171.44,"62,154.00","10,655,681.76"
0.31,BIDU,"BAIDU INC - SPON ADR",B0FXT17,87.81,"120,734.00","10,601,652.54"
0.31,"6954 JP","FANUC CORP",6356934,26.50,"400,007.00","10,601,555.91"
0.31,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.50,"1,240,682.00","10,545,797.00"
0.30,TWLO,"TWILIO INC - A",BD6P5Q0,115.80,"88,030.00","10,193,874.00"
0.30,"2395 TT","ADVANTECH CO LTD",6202673,11.74,"863,857.00","10,144,161.84"
0.29,"TIETO FH","TIETOEVRY OYJ",5479702,18.79,"539,184.00","10,129,567.25"
0.29,"6526 JP","SOCIONEXT INC",BMTVX75,17.40,"573,715.00","9,985,286.98"
0.29,"5803 JP","FUJIKURA LTD",6356707,46.71,"213,072.00","9,952,895.41"
0.28,INFA,"INFORMATICA INC - CLASS A",BMG95P4,24.12,"402,987.00","9,720,046.44"
0.28,"4755 JP","RAKUTEN GROUP INC",6229597,5.71,"1,697,358.00","9,689,068.03"
0.28,HPE,"HEWLETT PACKA",BYVYWS0,18.13,"528,956.00","9,589,972.28"
0.27,G,"GENPACT LTD",B23DBK6,43.59,"215,987.00","9,414,873.33"
0.27,PEGA,"PEGASYSTEMS INC",2675860,101.21,"91,242.00","9,234,602.82"
0.27,"3443 TT","GLOBAL UNICHIP CORP",B056381,38.64,"238,865.00","9,228,966.59"
0.27,"TEMN SW","TEMENOS AG - REG",7147892,78.46,"117,061.00","9,184,642.19"
0.27,PATH,"UIPATH INC - CLASS A",BMD02L5,12.66,"721,885.00","9,139,064.10"
0.26,"AMP IM","AMPLIFON SPA",B14NJ71,24.69,"366,630.00","9,053,536.26"
0.26,"6588 JP","TOSHIBA TEC CORP",6894887,19.65,"456,804.00","8,976,879.41"
0.23,SNAP,"SNAP INC - A",BD8DJ71,8.30,"940,972.00","7,810,067.60"
0.23,CCCS,"CCC INTELLIGENT",BP4CXL8,8.93,"871,605.00","7,783,432.65"
0.22,DXC,"DXC TECHNOLOGY CO",BYXD7B3,15.86,"470,363.00","7,459,957.18"
0.21,HUT,"HUT 8 CORP",BQQ8816,18.36,"390,735.00","7,173,894.60"
0.21,VRNT,"VERINT SYSTEMS INC",2849193,18.32,"389,623.00","7,137,893.36"
0.21,AI,"C3.AI INC-A",BMGNBJ2,24.36,"292,216.00","7,118,381.76"
0.20,ZBRA,"ZEBRA TECH CORP",2989356,292.68,"23,703.00","6,937,394.04"
0.20,TDC,"TERADATA CORP",B247H10,22.19,"309,230.00","6,861,813.70"
0.19,WIX,"WIX.COM LTD",BFZCHN7,154.75,"41,902.00","6,484,334.50"
0.19,AMBA,"AMBARELLA INC",B7KH3G6,53.18,"120,695.00","6,418,560.10"
0.17,SOUN,"SOUNDHOUND AI INC-A",BLDBS68,9.47,"606,437.00","5,742,958.39"
0.07,,CASH,,1.00,"2,527,716.46","2,527,716.46"
0.05,,"OTHER PAYABLE & RECEIVABLES",,1.00,"1,705,336.19","1,705,336.19"
0.00,,"SWISS FRANC",,1.23,132.60,163.07
0.00,,"KOREAN WON",,0.00,0.46,0.00
0.00,,"CANADIAN DOLLAR",,0.73,-277.95,-204.20
0.00,,EURO,,1.16,-332.77,-385.43
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
