"Global X Artificial Intelligence & Technology ETF",,,,
"Fund Holdings Data as of 10/26/2020",,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.832,QCOM,"QUALCOMM INC",2714923,126.20,"30,275.00","3,820,705.00"
3.589,"3690 HK","MEITUAN DIANPING-CLASS B",BGJW376,33.86,"105,711.00","3,579,169.86"
3.532,NVDA,"NVIDIA CORP",2379504,525.65,"6,701.00","3,522,380.65"
3.493,CRM,"SALESFORCE.COM INC",2310525,241.98,"14,395.00","3,483,302.10"
3.317,BABA,"ALIBABA GRP-ADR",BP41ZD1,306.87,"10,779.00","3,307,751.73"
3.244,FB,"FACEBOOK INC-CLASS A",B7TL820,277.11,"11,673.00","3,234,705.03"
3.226,"005930 KS","SAMSUNG ELECTRON",6771720,53.56,"60,066.00","3,217,012.99"
3.160,NOW,"SERVICENOW INC",B80NXX8,501.61,"6,281.00","3,150,612.41"
3.043,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,"1,038.05","2,923.00","3,034,220.15"
2.987,ADBE,"ADOBE INC",2008154,475.20,"6,268.00","2,978,553.60"
2.945,AMD,"ADVANCED MICRO DEVICES",2007849,82.23,"35,715.00","2,936,844.45"
2.917,AMZN,"AMAZON.COM INC",2000019,"3,207.04",907.00,"2,908,785.28"
2.849,GOOGL,"ALPHABET INC-CL A",BYVY8G0,"1,584.29","1,793.00","2,840,631.97"
2.823,MSFT,"MICROSOFT CORP",2588173,210.08,"13,401.00","2,815,282.08"
2.807,ORCL,"ORACLE CORP",2661568,57.49,"48,686.00","2,798,958.14"
2.782,NFLX,"NETFLIX INC",2857817,488.24,"5,682.00","2,774,179.68"
2.743,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,72.45,"37,751.00","2,735,120.84"
2.596,"SIE GR","SIEMENS AG-REG",5727973,127.06,"20,375.00","2,588,891.52"
2.400,IBM,IBM,2005973,112.22,"21,324.00","2,392,979.28"
2.154,CSCO,"CISCO SYSTEMS INC",2198163,37.67,"57,026.00","2,148,169.42"
2.097,INTC,"INTEL CORP",2463247,46.72,"44,755.00","2,090,953.60"
1.887,UBER,"UBER TECHNOLOGIES INC",BK6N347,35.49,"53,010.00","1,881,324.90"
1.572,NOC,"NORTHROP GRUMMAN CORP",2648806,309.84,"5,059.00","1,567,480.56"
1.521,SNAP,"SNAP INC - A",BD8DJ71,41.27,"36,747.00","1,516,548.69"
1.246,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,31.22,"39,809.00","1,242,678.72"
1.222,TRI,"THOMSON REUTERS CORP",BFXPT09,80.99,"15,049.00","1,218,818.51"
1.185,TWLO,"TWILIO INC - A",BD6P5Q0,300.62,"3,932.00","1,182,037.84"
1.169,TWTR,"TWITTER INC",BFLR866,49.00,"23,799.00","1,166,151.00"
1.141,EBAY,"EBAY INC",2293819,53.34,"21,321.00","1,137,262.14"
1.120,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,210.33,"5,308.00","1,116,431.64"
1.103,BIDU,"BAIDU INC - SPON ADR",B0FXT17,132.95,"8,275.00","1,100,161.25"
1.074,"EXPN LN","EXPERIAN PLC",B19NLV4,38.38,"27,900.00","1,070,771.09"
1.013,SPLK,"SPLUNK INC",B424494,209.78,"4,816.00","1,010,300.48"
1.011,SNPS,"SYNOPSYS INC",2867719,220.63,"4,569.00","1,008,058.47"
0.968,"000660 KS","SK HYNIX INC",6450267,73.78,"13,077.00","964,758.50"
0.915,VRSK,"VERISK ANALYTICS INC",B4P9W92,185.49,"4,919.00","912,425.31"
0.912,"STM IM","STMICROELECTRONICS NV",5962343,33.04,"27,537.00","909,872.99"
0.894,MU,"MICRON TECHNOLOGY INC",2588184,52.14,"17,096.00","891,385.44"
0.849,MCHP,"MICROCHIP TECHNOLOGY INC",2592174,109.73,"7,711.00","846,128.03"
0.847,XLNX,"XILINX INC",2985677,114.55,"7,375.00","844,806.25"
