"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 01/19/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.90,INTC,"INTEL CORP",2463247,48.15,"794,545.00","38,257,341.75"
3.69,NVDA,"NVIDIA CORP",2379504,594.91,"60,876.00","36,215,741.16"
3.59,META,"META PLATFORMS INC",B7TL820,383.45,"91,783.00","35,194,191.35"
3.55,NOW,"SERVICENOW INC",B80NXX8,749.11,"46,507.00","34,838,858.77"
3.40,IBM,IBM,2005973,171.48,"194,324.00","33,322,679.52"
3.39,CRM,"SALESFORCE INC",2310525,280.88,"118,517.00","33,289,054.96"
3.36,GOOGL,"ALPHABET INC-CL A",BYVY8G0,146.38,"225,303.00","32,979,853.14"
3.36,QCOM,"QUALCOMM INC",2714923,151.96,"216,726.00","32,933,682.96"
3.29,AMZN,"AMAZON.COM INC",2000019,155.34,"207,863.00","32,289,438.42"
3.25,ADBE,"ADOBE INC",2008154,611.55,"52,096.00","31,859,308.80"
3.19,MSFT,"MICROSOFT CORP",2588173,398.67,"78,618.00","31,342,638.06"
3.18,ACN,"ACCENTURE PLC-CL A",B4BNMY3,363.90,"85,762.00","31,208,791.80"
3.11,NFLX,"NETFLIX INC",2857817,482.95,"63,189.00","30,517,127.55"
2.86,"SIE GR","SIEMENS AG-REG",5727973,175.15,"160,410.00","28,096,103.21"
2.80,"005930 KS","SAMSUNG ELECTRON",6771720,55.79,"493,446.00","27,528,316.80"
2.75,AAPL,"APPLE INC",2046251,191.56,"140,875.00","26,986,015.00"
2.68,CSCO,"CISCO SYSTEMS INC",2198163,51.27,"513,733.00","26,339,090.91"
2.58,UBER,"UBER TECHNOLOGIES INC",BK6N347,65.11,"388,570.00","25,299,792.70"
2.57,ORCL,"ORACLE CORP",2661568,109.67,"229,705.00","25,191,747.35"
2.25,TSLA,"TESLA INC",B616C79,212.19,"103,924.00","22,051,633.56"
2.24,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,34.68,"633,943.00","21,985,337.80"
2.07,BABA,"ALIBABA GRP-ADR",BP41ZD1,69.42,"293,151.00","20,350,542.42"
1.88,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,80.01,"230,473.00","18,440,144.73"
1.56,CDNS,"CADENCE DESIGN SYS INC",2302232,292.14,"52,379.00","15,302,001.06"
1.54,SNPS,"SYNOPSYS INC",2867719,517.31,"29,158.00","15,083,724.98"
1.50,"000660 KS","SK HYNIX INC",6450267,105.53,"139,774.00","14,749,862.73"
1.34,TRI,"THOMSON REUTERS CORP",BNBXPB4,151.17,"87,254.00","13,190,187.18"
1.17,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,289.99,"39,626.00","11,491,143.74"
1.11,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,218.36,"49,953.00","10,907,737.08"
0.96,"3690 HK","MEITUAN-CLASS B",BGJW376,8.78,"1,070,315.00","9,396,051.76"
0.95,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,37.21,"251,092.00","9,342,920.01"
0.79,"STMMI IM","STMICROELECTRONICS NV",5962343,44.10,"175,647.00","7,745,702.76"
0.76,DDOG,"DATADOG INC - CLASS A",BKT9Y49,130.31,"56,918.00","7,416,984.58"
0.75,"WKL NA","WOLTERS KLUWER",5671519,149.48,"49,420.00","7,387,237.45"
0.72,"EXPN LN","EXPERIAN PLC",B19NLV4,40.36,"175,925.00","7,100,442.22"
0.68,ROK,"ROCKWELL AUTOMATION INC",2754060,303.45,"21,981.00","6,670,134.45"
0.66,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,74.11,"87,409.00","6,477,880.99"
0.66,ZS,"ZSCALER INC",BZ00V34,231.29,"27,946.00","6,463,630.34"
0.58,TTD,"TRADE DESK INC-A",BD8FDD1,66.85,"85,448.00","5,712,198.80"
0.57,BIDU,"BAIDU INC - SPON ADR",B0FXT17,102.65,"54,417.00","5,585,905.05"
0.56,"6954 JP","FANUC CORP",6356934,28.36,"193,275.00","5,480,942.57"
0.55,"6702 JP","FUJITSU LIMITED",6356945,135.75,"39,703.00","5,389,614.23"
0.50,SPLK,"SPLUNK INC",B424494,153.25,"31,796.00","4,872,737.00"
0.45,INFA,"INFORMATICA INC - CLASS A",BMG95P4,30.29,"144,108.00","4,365,031.32"
0.43,SNAP,"SNAP INC - A",BD8DJ71,16.42,"259,334.00","4,258,264.28"
0.43,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,423.36,"10,027.00","4,245,030.72"
0.43,EBAY,"EBAY INC",2293819,41.13,"102,661.00","4,222,446.93"
0.42,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,118.79,"34,690.00","4,120,895.95"
0.42,CYBR,"CYBERARK SOFTWAR",BQT3XY6,232.51,"17,704.00","4,116,357.04"
0.42,WIX,"WIX.COM LTD",BFZCHN7,127.15,"32,236.00","4,098,807.40"
0.39,STX,"SEAGATE TECHNOLO",BKVD2N4,85.42,"45,212.00","3,862,009.04"
0.39,HPE,"HEWLETT PACKA",BYVYWS0,15.37,"246,438.00","3,787,752.06"
0.36,"2353 TT","ACER INC",6005850,1.46,"2,431,600.00","3,553,647.89"
0.36,STNE,"STONECO LTD-A",BGKG6M3,17.03,"205,118.00","3,493,159.54"
0.35,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,5.89,"590,157.00","3,476,024.73"
0.35,"6701 JP","NEC CORP",6640400,61.64,"56,030.00","3,453,616.49"
0.35,PATH,"UIPATH INC - CLASS A",BMD02L5,22.23,"153,502.00","3,412,349.46"
0.34,FRSH,"FRESHWORKS INC-CL A",BPF0BB7,21.24,"158,864.00","3,374,271.36"
0.34,HUBB,"HUBBELL INC",BDFG6S3,329.62,"10,218.00","3,368,057.16"
0.33,BAH,"BOOZ ALLEN HAMIL",B5367T7,127.49,"25,139.00","3,204,971.11"
0.33,TWLO,"TWILIO INC - A",BD6P5Q0,73.36,"43,443.00","3,186,978.48"
0.32,OKTA,"OKTA INC",BDFZSP1,81.28,"38,525.00","3,131,312.00"
0.31,"TEMN SW","TEMENOS AG - REG",7147892,95.96,"31,969.00","3,067,758.34"
0.30,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,46.15,"63,659.00","2,937,862.85"
0.28,"6526 JP","SOCIONEXT INC",BMTVX75,19.95,"136,699.00","2,726,965.30"
0.28,CCCS,"CCC INTELLIGENT",BP4CXL8,10.94,"248,615.00","2,719,848.10"
0.27,"5803 JP","FUJIKURA LTD",6356707,7.97,"328,289.00","2,616,691.97"
0.27,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,69.17,"37,788.00","2,613,795.96"
0.26,G,"GENPACT LTD",B23DBK6,35.36,"71,211.00","2,518,020.96"
0.26,"TIETO FH","TIETOEVRY OYJ",5479702,23.09,"108,791.00","2,512,401.26"
0.25,"AMP IM","AMPLIFON SPA",B14NJ71,31.91,"78,281.00","2,497,876.63"
0.25,"XRO AU","XERO LTD",B8P4LP4,75.54,"32,724.00","2,472,097.90"
0.25,ZBRA,"ZEBRA TECH CORP",2989356,249.09,"9,843.00","2,451,792.87"
0.24,"2395 TT","ADVANTECH CO LTD",6202673,10.64,"222,857.00","2,370,932.26"
0.24,TDC,"TERADATA CORP",B247H10,48.00,"49,374.00","2,369,952.00"
0.24,PEGA,"PEGASYSTEMS INC",2675860,47.57,"49,646.00","2,361,660.22"
0.24,BZ,"KANZHUN LTD - ADR",BM91SH0,13.42,"173,242.00","2,324,907.64"
0.23,DXC,"DXC TECHNOLOGY CO",BYXD7B3,23.00,"96,560.00","2,220,880.00"
0.23,ENV,"ENVESTNET INC",B474ZK7,50.73,"43,754.00","2,219,640.42"
0.22,"3665 TT","BIZLINK HOLDING INC",B5SG8Y4,7.63,"281,768.00","2,150,798.15"
0.22,"3443 TT","GLOBAL UNICHIP CORP",B056381,53.27,"40,200.00","2,141,596.30"
0.21,VRNT,"VERINT SYSTEMS INC",2849193,28.44,"71,637.00","2,037,356.28"
0.21,VSAT,"VIASAT INC",2946243,23.80,"85,490.00","2,034,662.00"
0.21,IONQ,"IONQ INC",BP484B3,10.85,"187,050.00","2,029,492.50"
0.19,AMBA,"AMBARELLA INC",B7KH3G6,55.73,"34,176.00","1,904,628.48"
0.18,CGNX,"COGNEX CORP",2208288,37.64,"47,490.00","1,787,523.60"
0.14,,CASH,,1.00,"1,383,817.36","1,383,817.36"
0.01,,"OTHER PAYABLE & RECEIVABLES",,1.00,"108,320.64","108,320.64"
0.00,,"KOREAN WON",,0.00,-4.00,0.00
0.00,,"JAPANESE YEN",,0.01,-3.00,-0.02
0.00,,EURO,,1.09,-332.77,-362.16
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
