"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 02/12/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.53,META,"META PLATFORMS INC",B7TL820,468.90,"92,137.00","43,203,039.30"
3.50,NVDA,"NVIDIA CORP",2379504,722.48,"59,258.00","42,812,719.84"
3.28,NFLX,"NETFLIX INC",2857817,557.85,"71,973.00","40,150,138.05"
3.20,AMZN,"AMAZON.COM INC",2000019,172.34,"227,313.00","39,175,122.42"
3.10,IBM,IBM,2005973,186.16,"203,489.00","37,881,512.24"
3.04,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,36.73,"1,012,243.00","37,177,885.01"
3.03,NOW,"SERVICENOW INC",B80NXX8,787.35,"47,061.00","37,053,478.35"
3.01,MSFT,"MICROSOFT CORP",2588173,415.26,"88,727.00","36,844,774.02"
3.01,CRM,"SALESFORCE INC",2310525,287.32,"128,049.00","36,791,038.68"
3.00,ORCL,"ORACLE CORP",2661568,115.84,"317,118.00","36,734,949.12"
2.99,AVGO,"BROADCOM INC",BDZ78H9,"1,265.00","28,914.00","36,576,210.00"
2.97,ADBE,"ADOBE INC",2008154,611.84,"59,262.00","36,258,862.08"
2.91,GOOGL,"ALPHABET INC-CL A",BYVY8G0,147.53,"241,271.00","35,594,710.63"
2.89,QCOM,"QUALCOMM INC",2714923,153.10,"231,063.00","35,375,745.30"
2.88,ACN,"ACCENTURE PLC-CL A",B4BNMY3,367.43,"95,722.00","35,171,134.46"
2.87,BABA,"ALIBABA GRP-ADR",BP41ZD1,73.14,"479,015.00","35,035,157.10"
2.84,"005930 KS","SAMSUNG ELECTRON",6771720,55.79,"622,376.00","34,720,919.71"
2.79,CSCO,"CISCO SYSTEMS INC",2198163,49.99,"683,169.00","34,151,618.31"
2.78,AAPL,"APPLE INC",2046251,187.15,"181,298.00","33,929,920.70"
2.62,INTC,"INTEL CORP",2463247,44.03,"726,117.00","31,970,931.51"
2.61,TSLA,"TESLA INC",B616C79,188.13,"169,473.00","31,882,955.49"
2.41,"SIE GR","SIEMENS AG-REG",5727973,177.81,"165,873.00","29,494,645.56"
2.40,UBER,"UBER TECHNOLOGIES INC",BK6N347,69.12,"425,093.00","29,382,428.16"
1.82,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,89.12,"249,646.00","22,248,451.52"
1.60,MU,"MICRON TECHNOLOGY INC",2588184,85.70,"228,156.00","19,552,969.20"
