"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/07/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.42,GOOGL,"ALPHABET INC-CL A",BYVY8G0,135.26,"141,484.00","19,137,125.84"
3.40,INTC,"INTEL CORP",2463247,38.18,"498,849.00","19,046,054.82"
3.28,ADBE,"ADOBE INC",2008154,560.46,"32,750.00","18,355,065.00"
3.27,CSCO,"CISCO SYSTEMS INC",2198163,56.79,"322,284.00","18,302,508.36"
3.22,ORCL,"ORACLE CORP",2661568,125.09,"144,195.00","18,037,352.55"
3.22,IBM,IBM,2005973,147.52,"122,156.00","18,020,453.12"
3.21,AMZN,"AMAZON.COM INC",2000019,137.85,"130,481.00","17,986,805.85"
3.15,ACN,"ACCENTURE PLC-CL A",B4BNMY3,328.20,"53,810.00","17,660,442.00"
3.15,NVDA,"NVIDIA CORP",2379504,462.41,"38,179.00","17,654,351.39"
3.14,NFLX,"NETFLIX INC",2857817,443.14,"39,658.00","17,574,046.12"
3.13,NOW,"SERVICENOW INC",B80NXX8,599.32,"29,217.00","17,510,332.44"
3.07,META,"META PLATFORMS INC",B7TL820,298.67,"57,602.00","17,203,989.34"
2.96,CRM,"SALESFORCE INC",2310525,222.53,"74,484.00","16,574,924.52"
2.96,BABA,"ALIBABA GRP-ADR",BP41ZD1,89.97,"184,017.00","16,556,009.49"
2.93,TSLA,"TESLA INC",B616C79,251.49,"65,236.00","16,406,201.64"
2.92,"005930 KS","SAMSUNG ELECTRON",6771720,52.72,"309,780.00","16,330,459.40"
2.91,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,41.02,"397,843.00","16,320,098.57"
2.91,MSFT,"MICROSOFT CORP",2588173,329.91,"49,353.00","16,282,048.23"
2.80,AAPL,"APPLE INC",2046251,177.56,"88,459.00","15,706,780.04"
2.63,"SIE GR","SIEMENS AG-REG",5727973,146.08,"100,700.00","14,710,345.34"
2.58,QCOM,"QUALCOMM INC",2714923,106.40,"136,065.00","14,477,316.00"
2.02,UBER,"UBER TECHNOLOGIES INC",BK6N347,46.27,"244,234.00","11,300,707.18"
1.90,"3690 HK","MEITUAN-CLASS B",BGJW376,15.94,"667,515.00","10,643,048.93"
1.67,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,64.78,"144,577.00","9,365,698.06"
1.49,SNPS,"SYNOPSYS INC",2867719,458.09,"18,201.00","8,337,696.09"
1.43,CDNS,"CADENCE DESIGN SYS INC",2302232,241.46,"33,203.00","8,017,196.38"
1.40,"000660 KS","SK HYNIX INC",6450267,88.73,"88,255.00","7,831,231.05"
1.26,TRI,"THOMSON REUTERS CORP",BNBXPB4,128.41,"55,080.00","7,072,822.80"
1.14,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,204.01,"31,329.00","6,391,429.29"
1.12,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,250.47,"24,943.00","6,247,473.21"
0.97,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,34.47,"157,972.00","5,445,327.68"
0.87,"STMMI IM","STMICROELECTRONICS NV",5962343,44.00,"110,463.00","4,860,707.83"
0.83,BIDU,"BAIDU INC - SPON ADR",B0FXT17,137.07,"33,755.00","4,626,797.85"
0.80,TTD,"TRADE DESK INC-A",BD8FDD1,84.31,"53,429.00","4,504,598.99"
0.75,ROK,"ROCKWELL AUTOMATION INC",2754060,304.44,"13,833.00","4,211,318.52"
0.68,"WKL NA","WOLTERS KLUWER",5671519,121.72,"31,470.00","3,830,409.79"
0.68,"EXPN LN","EXPERIAN PLC",B19NLV4,34.59,"110,741.00","3,830,137.77"
0.65,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,65.90,"54,817.00","3,612,440.30"
0.61,"6954 JP","FANUC CORP",6356934,28.04,"122,271.00","3,428,026.81"
0.61,DDOG,"DATADOG INC - CLASS A",BKT9Y49,96.68,"35,446.00","3,426,919.28"
0.58,"6702 JP","FUJITSU LIMITED",6356945,127.84,"25,471.00","3,256,277.61"
0.50,EBAY,"EBAY INC",2293819,43.12,"65,261.00","2,814,054.32"
0.50,ZS,"ZSCALER INC",BZ00V34,161.02,"17,470.00","2,813,019.40"
0.48,HPE,"HEWLETT PACKA",BYVYWS0,17.29,"154,482.00","2,670,993.78"
0.44,SPLK,"SPLUNK INC",B424494,124.80,"19,736.00","2,463,052.80"
0.41,FRSH,"FRESHWORKS INC-CL A",BPF0BB7,23.12,"99,500.00","2,300,440.00"
0.38,OKTA,"OKTA INC",BDFZSP1,87.68,"24,020.00","2,106,073.60"
0.37,IONQ,"IONQ INC",BP484B3,17.49,"117,210.00","2,050,002.90"
0.36,HUBB,"HUBBELL INC",BDFG6S3,325.02,"6,182.00","2,009,273.64"
0.35,INFA,"INFORMATICA INC - CLASS A",BMG95P4,21.32,"90,564.00","1,930,824.48"
