"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 07/25/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
5.56,NVDA,"NVIDIA CORP",2379504,456.79,"58,515.00","26,729,066.85"
4.80,META,"META PLATFORMS INC",B7TL820,294.47,"78,466.00","23,105,883.02"
4.32,TSLA,"TESLA INC",B616C79,265.28,"78,252.00","20,758,690.56"
3.39,MSFT,"MICROSOFT CORP",2588173,350.98,"46,436.00","16,298,107.28"
3.38,CRM,"SALESFORCE INC",2310525,226.03,"71,977.00","16,268,961.31"
3.38,ADBE,"ADOBE INC",2008154,525.34,"30,914.00","16,240,360.76"
3.21,AAPL,"APPLE INC",2046251,193.62,"79,854.00","15,461,331.48"
3.10,ORCL,"ORACLE CORP",2661568,117.95,"126,502.00","14,920,910.90"
3.09,AMZN,"AMAZON.COM INC",2000019,129.13,"115,026.00","14,853,307.38"
2.87,GOOGL,"ALPHABET INC-CL A",BYVY8G0,122.21,"112,860.00","13,792,620.60"
2.80,NFLX,"NETFLIX INC",2857817,427.70,"31,514.00","13,478,537.80"
2.66,ACN,"ACCENTURE PLC-CL A",B4BNMY3,317.59,"40,245.00","12,781,409.55"
2.64,INTC,"INTEL CORP",2463247,34.10,"372,434.00","12,699,999.40"
2.64,CSCO,"CISCO SYSTEMS INC",2198163,53.60,"236,542.00","12,678,651.20"
2.57,"005930 KS","SAMSUNG ELECTRON",6771720,54.88,"224,798.00","12,337,980.24"
2.50,"SIE GR","SIEMENS AG-REG",5727973,167.66,"71,699.00","12,020,706.40"
2.48,NOW,"SERVICENOW INC",B80NXX8,582.38,"20,482.00","11,928,307.16"
2.32,IBM,IBM,2005973,140.33,"79,425.00","11,145,710.25"
2.24,QCOM,"QUALCOMM INC",2714923,125.07,"85,995.00","10,755,394.65"
2.04,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,44.16,"221,843.00","9,796,837.68"
1.99,UBER,"UBER TECHNOLOGIES INC",BK6N347,47.17,"202,938.00","9,572,585.46"
1.87,"3690 HK","MEITUAN-CLASS B",BGJW376,17.25,"520,515.00","8,981,403.94"
1.86,BABA,"ALIBABA GRP-ADR",BP41ZD1,94.98,"94,261.00","8,952,909.78"
1.46,SNPS,"SYNOPSYS INC",2867719,456.45,"15,411.00","7,034,350.95"
1.38,CDNS,"CADENCE DESIGN SYS INC",2302232,238.29,"27,933.00","6,656,154.57"
1.38,"000660 KS","SK HYNIX INC",6450267,88.91,"74,615.00","6,634,264.54"
1.37,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,64.99,"101,673.00","6,607,728.27"
1.30,TRI,"THOMSON REUTERS CORP",BNBXPB4,134.35,"46,400.78","6,233,944.32"
1.21,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,219.89,"26,369.00","5,798,279.41"
1.14,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,41.25,"133,172.00","5,492,758.51"
1.01,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,321.35,"15,060.00","4,839,531.00"
1.00,"STMMI IM","STMICROELECTRONICS NV",5962343,51.65,"93,103.00","4,808,722.70"
0.97,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,227.40,"20,435.00","4,646,919.00"
0.88,BIDU,"BAIDU INC - SPON ADR",B0FXT17,148.73,"28,485.00","4,236,574.05"
0.82,ROK,"ROCKWELL AUTOMATION INC",2754060,337.89,"11,663.00","3,940,811.07"
0.79,IONQ,"IONQ INC",BP484B3,15.22,"249,688.00","3,800,251.36"
0.78,TTD,"TRADE DESK INC-A",BD8FDD1,83.23,"45,059.00","3,750,260.57"
0.75,"EXPN LN","EXPERIAN PLC",B19NLV4,38.71,"93,381.00","3,614,849.08"
0.73,"6954 JP","FANUC CORP",6356934,33.79,"103,336.00","3,492,016.36"
0.72,DDOG,"DATADOG INC - CLASS A",BKT9Y49,115.30,"29,866.00","3,443,549.80"
0.68,"WKL NA","WOLTERS KLUWER",5671519,124.20,"26,510.00","3,292,413.00"
0.58,"6702 JP","FUJITSU LIMITED",6356945,130.66,"21,441.00","2,801,409.23"
0.57,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,70.57,"38,690.00","2,730,259.44"
0.57,"3443 TT","GLOBAL UNICHIP CORP",B056381,60.19,"45,200.00","2,720,587.53"
0.55,EBAY,"EBAY INC",2293819,48.31,"55,031.00","2,658,547.61"
0.48,HPE,"HEWLETT PACKA",BYVYWS0,17.59,"130,017.00","2,286,999.03"
0.47,ZS,"ZSCALER INC",BZ00V34,155.21,"14,680.00","2,278,482.80"
0.39,TDC,"TERADATA CORP",B247H10,55.94,"33,230.00","1,858,886.20"
0.37,"XRO AU","XERO LTD",B8P4LP4,80.94,"21,672.00","1,754,109.43"
0.36,SPLK,"SPLUNK INC",B424494,104.30,"16,636.00","1,735,134.80"
0.36,SNAP,"SNAP INC - A",BD8DJ71,12.51,"138,138.00","1,728,106.38"
0.35,HUBB,"HUBBELL INC",BDFG6S3,318.52,"5,252.00","1,672,867.04"
0.34,"6701 JP","NEC CORP",6640400,48.68,"33,348.00","1,623,497.73"
0.33,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,5.14,"312,742.00","1,607,493.88"
0.33,"2353 TT","ACER INC",6005850,1.18,"1,350,400.00","1,597,583.46"
0.32,PEGA,"PEGASYSTEMS INC",2675860,54.56,"28,457.00","1,552,613.92"
0.32,BAH,"BOOZ ALLEN HAMIL",B5367T7,116.22,"13,347.00","1,551,188.34"
0.32,ZBRA,"ZEBRA TECH CORP",2989356,301.43,"5,073.00","1,529,154.39"
0.31,STNE,"STONECO LTD-A",BGKG6M3,13.29,"111,291.00","1,479,057.39"
0.31,"2395 TT","ADVANTECH CO LTD",6202673,13.00,"113,457.44","1,474,484.80"
0.30,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,72.40,"20,100.00","1,455,240.00"
0.30,"6502 JP","TOSHIBA CORP",6897217,32.18,"44,822.00","1,442,233.11"
0.29,"TEMN SW","TEMENOS AG - REG",7147892,84.49,"16,577.00","1,400,511.95"
0.29,"AMP IM","AMPLIFON SPA",B14NJ71,34.96,"39,962.00","1,396,902.36"
0.29,CCCS,"CCC INTELLIGENT",BP4CXL8,10.91,"128,032.00","1,396,829.12"
0.28,"3665 TT","BIZLINK HOLDING INC",B5SG8Y4,9.63,"141,368.56","1,360,984.18"
0.27,CYBR,"CYBERARK SOFTWAR",BQT3XY6,157.66,"8,298.00","1,308,262.68"
