"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 07/09/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.69,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,63.39,"2,238,943.00","141,923,316.79"
3.65,NFLX,"NETFLIX INC",2857817,"1,288.28","108,928.00","140,329,763.84"
3.54,ORCL,"ORACLE CORP",2661568,235.31,"577,807.00","135,963,765.17"
3.53,PLTR,"PALANTIR TECHN-A",BN78DQ4,143.13,"948,812.00","135,803,461.56"
3.29,"005930 KS","SAMSUNG ELECTRON",6771720,43.92,"2,882,199.00","126,594,712.23"
3.24,AVGO,"BROADCOM INC",BDZ78H9,277.90,"448,200.00","124,554,780.00"
3.22,META,"META PLATFORMS INC",B7TL820,732.78,"168,968.00","123,816,371.04"
3.15,MSFT,"MICROSOFT CORP",2588173,503.51,"240,671.00","121,180,255.21"
3.12,CSCO,"CISCO SYSTEMS INC",2198163,69.27,"1,730,650.00","119,882,125.50"
3.10,NVDA,"NVIDIA CORP",2379504,162.88,"731,288.00","119,112,189.44"
3.04,IBM,IBM,2005973,290.14,"402,513.00","116,785,121.82"
2.90,TSM,"TAIWAN SEMIC-ADR",2113382,231.84,"479,870.00","111,253,060.80"
2.80,BABA,"ALIBABA GRP-ADR",BP41ZD1,103.83,"1,035,174.00","107,482,116.42"
2.65,AMZN,"AMAZON.COM INC",2000019,222.54,"457,403.00","101,790,463.62"
2.65,AAPL,"APPLE INC",2046251,211.14,"481,706.00","101,707,404.84"
2.54,AMD,"ADVANCED MICRO DEVICES",2007849,138.41,"705,737.00","97,681,058.17"
2.51,NOW,"SERVICENOW INC",B80NXX8,"1,013.71","95,047.00","96,350,094.37"
2.50,GOOGL,"ALPHABET INC-CL A",BYVY8G0,176.62,"544,060.00","96,091,877.20"
2.39,"SIE GR","SIEMENS AG-REG",5727973,264.18,"348,049.00","91,949,165.86"
2.30,UBER,"UBER TECHNOLOGIES INC",BK6N347,96.64,"915,929.00","88,515,378.56"
2.29,ACN,"ACCENTURE PLC-CL A",B4BNMY3,295.92,"296,717.00","87,804,494.64"
2.27,CRM,"SALESFORCE INC",2310525,270.92,"321,669.00","87,146,565.48"
2.01,TSLA,"TESLA INC",B616C79,295.88,"261,037.00","77,235,627.56"
2.00,QCOM,"QUALCOMM INC",2714923,159.35,"483,378.00","77,026,284.30"
1.84,ADBE,"ADOBE INC",2008154,373.38,"189,299.00","70,680,460.62"
1.68,"000660 KS","SK HYNIX INC",6450267,204.34,"316,763.00","64,728,483.39"
1.57,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,114.32,"527,645.00","60,320,376.40"
1.54,MU,"MICRON TECHNOLOGY INC",2588184,122.24,"484,609.00","59,238,604.16"
1.19,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,352.74,"129,923.00","45,829,039.02"
1.14,INTC,"INTEL CORP",2463247,23.44,"1,870,120.00","43,835,612.80"
1.02,TRI,"THOMSON REUTERS CORP",BNBXPB4,200.01,"195,492.00","39,100,354.92"
1.00,CDNS,"CADENCE DESIGN SYS INC",2302232,322.91,"119,113.00","38,462,778.83"
0.96,SNPS,"SYNOPSYS INC",2867719,550.95,"67,137.00","36,989,130.15"
0.95,"3690 HK","MEITUAN-CLASS B",BGJW376,15.18,"2,409,015.00","36,580,202.29"
0.93,FTNT,"FORTINET INC",B5B2106,107.65,"332,508.00","35,794,486.20"
0.83,SNOW,"SNOWFLAKE INC",BN134B7,221.90,"143,296.00","31,797,382.40"
0.71,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,72.26,"375,653.00","27,144,685.78"
0.66,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,230.42,"110,237.00","25,400,809.54"
