"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 06/24/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.83,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,64.90,"2,114,543.00","137,243,268.60"
3.70,NFLX,"NETFLIX INC",2857817,"1,279.11","103,588.00","132,500,446.68"
3.60,PLTR,"PALANTIR TECHN-A",BN78DQ4,143.23,"900,752.00","129,014,708.96"
3.40,"005930 KS","SAMSUNG ELECTRON",6771720,44.47,"2,736,239.00","121,677,662.26"
3.30,ORCL,"ORACLE CORP",2661568,215.27,"548,437.00","118,062,032.99"
3.21,BABA,"ALIBABA GRP-ADR",BP41ZD1,117.01,"982,664.00","114,981,514.64"
3.19,META,"META PLATFORMS INC",B7TL820,712.20,"160,513.00","114,317,358.60"
3.13,IBM,IBM,2005973,293.79,"382,043.00","112,240,412.97"
3.13,AVGO,"BROADCOM INC",BDZ78H9,263.77,"425,505.00","112,235,453.85"
3.13,MSFT,"MICROSOFT CORP",2588173,490.11,"228,656.00","112,066,592.16"
3.11,CSCO,"CISCO SYSTEMS INC",2198163,67.89,"1,642,985.00","111,542,251.65"
2.87,NVDA,"NVIDIA CORP",2379504,147.90,"694,353.00","102,694,808.70"
2.80,TSM,"TAIWAN SEMIC-ADR",2113382,220.09,"455,395.00","100,227,885.55"
2.59,AMD,"ADVANCED MICRO DEVICES",2007849,138.43,"670,137.00","92,767,064.91"
2.58,AMZN,"AMAZON.COM INC",2000019,212.77,"434,263.00","92,398,138.51"
2.56,AAPL,"APPLE INC",2046251,200.30,"457,231.00","91,583,369.30"
2.51,NOW,"SERVICENOW INC",B80NXX8,996.32,"90,152.00","89,820,240.64"
2.40,GOOGL,"ALPHABET INC-CL A",BYVY8G0,166.77,"516,470.00","86,131,701.90"
2.36,ACN,"ACCENTURE PLC-CL A",B4BNMY3,300.72,"281,587.00","84,678,842.64"
2.35,TSLA,"TESLA INC",B616C79,340.47,"247,687.00","84,329,992.89"
2.31,CRM,"SALESFORCE INC",2310525,271.17,"305,699.00","82,896,397.83"
2.30,"SIE GR","SIEMENS AG-REG",5727973,249.18,"330,249.00","82,292,736.49"
2.22,UBER,"UBER TECHNOLOGIES INC",BK6N347,91.65,"869,649.00","79,703,330.85"
1.99,QCOM,"QUALCOMM INC",2714923,155.71,"458,903.00","71,455,786.13"
1.92,ADBE,"ADOBE INC",2008154,382.34,"179,874.00","68,773,025.16"
1.72,"000660 KS","SK HYNIX INC",6450267,204.70,"300,743.00","61,563,341.05"
1.64,MU,"MICRON TECHNOLOGY INC",2588184,127.91,"460,134.00","58,855,739.94"
1.60,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,114.42,"500,945.00","57,318,126.90"
1.20,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,349.48,"123,248.00","43,072,711.04"
1.12,INTC,"INTEL CORP",2463247,22.55,"1,775,335.00","40,033,804.25"
1.06,"3690 HK","MEITUAN-CLASS B",BGJW376,16.56,"2,294,015.00","37,990,057.32"
1.02,TRI,"THOMSON REUTERS CORP",BNBXPB4,197.19,"185,702.00","36,618,577.38"
0.94,CDNS,"CADENCE DESIGN SYS INC",2302232,296.80,"113,378.00","33,650,590.40"
0.92,FTNT,"FORTINET INC",B5B2106,104.42,"315,598.00","32,954,743.16"
0.86,SNPS,"SYNOPSYS INC",2867719,478.98,"64,020.00","30,664,299.60"
0.85,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,223.14,"136,176.00","30,386,312.64"
0.75,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,75.21,"356,518.00","26,813,718.78"
0.64,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,217.50,"105,010.00","22,839,254.96"
0.62,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,41.35,"537,592.00","22,229,745.52"
0.59,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,239.19,"88,485.00","21,164,727.15"
0.55,"6702 JP","FUJITSU LIMITED",6356945,23.30,"850,267.00","19,810,677.66"
0.55,"EXPN LN","EXPERIAN PLC",B19NLV4,51.99,"377,439.00","19,624,380.74"
0.55,ZS,"ZSCALER INC",BZ00V34,308.46,"63,454.00","19,573,020.84"
0.52,STNE,"STONECO LTD-A",BGKG6M3,15.77,"1,186,755.00","18,715,126.35"
0.48,"6701 JP","NEC CORP",6640400,28.21,"612,260.00","17,273,156.54"
0.47,DDOG,"DATADOG INC - CLASS A",BKT9Y49,130.83,"129,328.00","16,919,982.24"
0.45,"WKL NA","WOLTERS KLUWER",5671519,164.50,"98,330.00","16,174,914.32"
0.45,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,17.53,"912,471.00","15,991,054.28"
0.38,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,71.98,"188,229.00","13,548,723.42"
0.37,TTD,"TRADE DESK INC-A",BD8FDD1,71.84,"184,699.00","13,268,776.16"
0.36,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,42.84,"304,039.00","13,025,030.76"
0.35,STX,"SEAGATE TECHNOLO",BKVD2N4,135.59,"93,285.00","12,648,513.15"
0.32,OKTA,"OKTA INC",BDFZSP1,98.53,"115,434.00","11,373,712.02"
0.31,CYBR,"CYBERARK SOFTWAR",BQT3XY6,397.13,"28,275.00","11,228,850.75"
0.31,"6526 JP","SOCIONEXT INC",BMTVX75,18.96,"585,572.00","11,102,501.77"
0.31,TWLO,"TWILIO INC - A",BD6P5Q0,121.62,"89,867.00","10,929,624.54"
0.30,BIDU,"BAIDU INC - SPON ADR",B0FXT17,86.68,"123,239.00","10,682,356.52"
0.30,"5803 JP","FUJIKURA LTD",6356707,49.04,"217,414.00","10,661,510.85"
0.30,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.38,"1,266,233.00","10,611,032.54"
0.30,"6954 JP","FANUC CORP",6356934,25.88,"408,190.00","10,565,415.37"
0.29,NICE,"NICE LTD - SPON ADR",2639736,165.21,"63,490.00","10,489,182.90"
0.29,"TIETO FH","TIETOEVRY OYJ",5479702,18.82,"550,206.00","10,354,593.00"
0.28,INFA,"INFORMATICA INC - CLASS A",BMG95P4,24.20,"411,337.00","9,954,355.40"
0.28,"2395 TT","ADVANTECH CO LTD",6202673,11.30,"880,557.00","9,947,353.14"
0.27,HPE,"HEWLETT PACKA",BYVYWS0,18.15,"539,811.00","9,797,569.65"
0.27,"2353 TT","ACER INC",6005850,1.07,"8,966,900.00","9,628,437.44"
0.27,PEGA,"PEGASYSTEMS INC",2675860,51.61,"186,158.00","9,607,614.38"
0.26,"4755 JP","RAKUTEN GROUP INC",6229597,5.47,"1,732,261.00","9,477,313.94"
0.26,G,"GENPACT LTD",B23DBK6,42.20,"220,496.00","9,304,931.20"
0.26,"6588 JP","TOSHIBA TEC CORP",6894887,19.89,"466,156.00","9,273,194.85"
0.26,PATH,"UIPATH INC - CLASS A",BMD02L5,12.51,"736,748.00","9,216,717.48"
0.25,"AMP IM","AMPLIFON SPA",B14NJ71,24.28,"374,145.00","9,084,037.71"
0.25,"3443 TT","GLOBAL UNICHIP CORP",B056381,37.77,"238,865.00","9,021,559.35"
0.25,"TEMN SW","TEMENOS AG - REG",7147892,74.95,"119,399.00","8,948,437.94"
0.23,CCCS,"CCC INTELLIGENT",BP4CXL8,9.33,"889,474.00","8,298,792.42"
