"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 02/25/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.00,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,62.36,"2,032,643.00","126,746,067.60"
3.96,BABA,"ALIBABA GRP-ADR",BP41ZD1,134.01,"937,093.00","125,579,832.93"
3.40,AAPL,"APPLE INC",2046251,247.04,"436,067.00","107,725,991.68"
3.29,"005930 KS","SAMSUNG ELECTRON",6771720,39.98,"2,609,227.00","104,310,724.35"
3.18,CSCO,"CISCO SYSTEMS INC",2198163,64.27,"1,566,705.00","100,692,130.35"
3.18,META,"META PLATFORMS INC",B7TL820,657.50,"153,008.00","100,602,760.00"
3.08,ACN,"ACCENTURE PLC-CL A",B4BNMY3,362.95,"268,583.00","97,482,199.85"
3.04,NFLX,"NETFLIX INC",2857817,977.24,"98,675.00","96,429,157.00"
2.96,IBM,IBM,2005973,257.75,"364,351.00","93,911,470.25"
2.82,CRM,"SALESFORCE INC",2310525,305.88,"291,601.00","89,194,913.88"
2.78,ORCL,"ORACLE CORP",2661568,168.54,"523,016.00","88,149,116.64"
2.78,AMZN,"AMAZON.COM INC",2000019,212.80,"414,089.00","88,118,139.20"
2.74,MSFT,"MICROSOFT CORP",2588173,397.90,"217,931.00","86,714,744.90"
2.73,GOOGL,"ALPHABET INC-CL A",BYVY8G0,175.42,"492,521.00","86,398,033.82"
2.65,NVDA,"NVIDIA CORP",2379504,126.63,"661,999.00","83,828,933.37"
2.60,TSM,"TAIWAN SEMIC-ADR",2113382,189.37,"434,339.00","82,250,776.43"
2.59,AVGO,"BROADCOM INC",BDZ78H9,202.54,"405,727.00","82,175,946.58"
2.51,NOW,"SERVICENOW INC",B80NXX8,922.29,"86,093.00","79,402,712.97"
2.40,ADBE,"ADOBE INC",2008154,443.41,"171,756.00","76,158,327.96"
2.38,PLTR,"PALANTIR TECHN-A",BN78DQ4,87.84,"858,763.00","75,433,741.92"
2.26,"SIE GR","SIEMENS AG-REG",5727973,227.39,"315,489.00","71,738,176.49"
2.26,TSLA,"TESLA INC",B616C79,302.80,"236,617.00","71,647,627.60"
2.23,QCOM,"QUALCOMM INC",2714923,161.22,"437,529.00","70,538,425.38"
2.10,AMD,"ADVANCED MICRO DEVICES",2007849,103.96,"638,850.00","66,414,846.00"
1.96,UBER,"UBER TECHNOLOGIES INC",BK6N347,74.95,"828,881.00","62,124,630.95"
1.67,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,110.95,"477,498.00","52,978,403.10"
1.41,"3690 HK","MEITUAN-CLASS B",BGJW376,20.40,"2,183,315.00","44,537,963.55"
1.40,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,377.06,"117,713.00","44,384,863.78"
1.29,MU,"MICRON TECHNOLOGY INC",2588184,93.22,"438,408.00","40,868,393.76"
1.27,"000660 KS","SK HYNIX INC",6450267,140.13,"286,587.00","40,159,836.11"
1.23,INTC,"INTEL CORP",2463247,22.99,"1,696,738.00","39,008,006.62"
1.03,FTNT,"FORTINET INC",B5B2106,108.06,"301,576.00","32,588,302.56"
1.00,TRI,"THOMSON REUTERS CORP",BNBXPB4,179.32,"176,804.00","31,704,493.28"
1.00,MRVL,"MARVELL TECHNOLOGY INC",BNKJSM5,93.00,"340,651.00","31,680,543.00"
0.88,SNPS,"SYNOPSYS INC",2867719,457.95,"61,068.00","27,966,090.60"
0.85,CDNS,"CADENCE DESIGN SYS INC",2302232,248.90,"108,212.00","26,933,966.80"
0.72,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,228.56,"100,213.00","22,904,683.28"
0.68,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,255.22,"84,426.00","21,547,203.72"
0.67,SNOW,"SNOWFLAKE INC-CLASS A",BN134B7,164.20,"129,554.00","21,272,766.80"
0.63,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,38.86,"513,607.00","19,960,665.09"
0.55,"EXPN LN","EXPERIAN PLC",B19NLV4,48.53,"360,834.00","17,509,786.03"
0.54,"WKL NA","WOLTERS KLUWER",5671519,180.93,"93,902.00","16,990,016.06"
0.52,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,90.81,"179,742.00","16,322,371.02"
0.51,"6702 JP","FUJITSU LIMITED",6356945,19.73,"812,629.00","16,036,184.18"
0.45,DDOG,"DATADOG INC - CLASS A",BKT9Y49,114.98,"123,424.00","14,191,291.52"
0.42,TTD,"TRADE DESK INC-A",BD8FDD1,74.98,"176,581.00","13,240,043.38"
0.42,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,45.54,"290,386.00","13,224,178.44"
0.38,"6954 JP","FANUC CORP",6356934,30.45,"390,109.00","11,877,148.95"
0.37,ZS,"ZSCALER INC",BZ00V34,193.04,"60,502.00","11,679,306.08"
0.37,"6701 JP","NEC CORP",6640400,99.00,"116,917.00","11,575,241.77"
0.35,G,"GENPACT LTD",B23DBK6,52.40,"210,533.00","11,031,929.20"
0.35,STNE,"STONECO LTD-A",BGKG6M3,9.66,"1,133,988.00","10,954,324.08"
0.34,"4755 JP","RAKUTEN GROUP INC",6229597,6.45,"1,655,140.00","10,672,341.83"
0.33,BIDU,"BAIDU INC - SPON ADR",B0FXT17,89.02,"117,704.00","10,478,010.08"
0.33,HPE,"HEWLETT PACKA",BYVYWS0,20.29,"515,826.00","10,466,109.54"
0.33,"2353 TT","ACER INC",6005850,1.21,"8,561,000.00","10,347,945.31"
0.33,"2395 TT","ADVANTECH CO LTD",6202673,12.38,"834,657.00","10,330,480.20"
0.32,"TIETO FH","TIETOEVRY OYJ",5479702,19.20,"525,852.00","10,096,826.53"
0.32,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,8.30,"1,209,776.00","10,041,140.80"
0.31,CYBR,"CYBERARK SOFTWAR",BQT3XY6,370.18,"26,741.00","9,898,983.38"
0.31,TWLO,"TWILIO INC - A",BD6P5Q0,115.27,"85,808.00","9,891,088.16"
0.31,OKTA,"OKTA INC",BDFZSP1,89.34,"110,268.00","9,851,343.12"
0.30,SNAP,"SNAP INC - A",BD8DJ71,10.40,"917,540.00","9,542,416.00"
0.30,"TEMN SW","TEMENOS AG - REG",7147892,82.76,"114,233.00","9,453,897.77"
0.30,"3443 TT","GLOBAL UNICHIP CORP",B056381,42.98,"218,865.00","9,407,665.46"
0.29,"AMP IM","AMPLIFON SPA",B14NJ71,25.85,"357,540.00","9,241,029.23"
0.29,NICE,"NICE LTD - SPON ADR",2639736,151.56,"60,538.00","9,175,139.28"
0.29,VRNT,"VERINT SYSTEMS INC",2849193,23.86,"379,927.00","9,065,058.22"
0.28,"6588 JP","TOSHIBA TEC CORP",6894887,20.08,"445,492.00","8,943,606.37"
0.28,STX,"SEAGATE TECHNOLO",BKVD2N4,99.72,"89,226.00","8,897,616.72"
0.28,PATH,"UIPATH INC - CLASS A",BMD02L5,12.63,"703,907.00","8,890,345.41"
0.28,CCCS,"CCC INTELLIGENT",BP4CXL8,10.30,"849,991.00","8,754,907.30"
0.27,AMBA,"AMBARELLA INC",B7KH3G6,73.63,"117,665.00","8,663,673.95"
0.27,"5803 JP","FUJIKURA LTD",6356707,41.03,"207,820.00","8,526,913.77"
0.27,DXC,"DXC TECHNOLOGY CO",BYXD7B3,18.55,"458,647.00","8,507,901.85"
0.26,WIX,"WIX.COM LTD",BFZCHN7,199.21,"40,892.00","8,146,095.32"
0.24,"6526 JP","SOCIONEXT INC",BMTVX75,13.58,"559,373.00","7,594,130.54"
0.24,INFA,"INFORMATICA INC - CLASS A",BMG95P4,19.20,"392,887.00","7,543,430.40"
0.24,AI,"C3.AI INC-A",BMGNBJ2,26.33,"284,944.00","7,502,575.52"
0.23,TDC,"TERADATA CORP",B247H10,24.30,"301,554.00","7,327,762.20"
0.23,ZBRA,"ZEBRA TECH CORP",2989356,310.34,"23,097.00","7,167,922.98"
0.22,PEGA,"PEGASYSTEMS INC",2675860,78.38,"89,020.00","6,977,387.60"
0.18,HUT,"HUT 8 CORP",BQQ8816,14.87,"381,039.00","5,666,049.93"
0.18,QUBT,"QUANTUM COMPUTING INC",BFYDQ34,6.49,"871,881.00","5,658,507.69"
0.17,SOUN,"SOUNDHOUND AI INC-A",BLDBS68,8.90,"591,287.00","5,262,454.30"
0.17,,CASH,,1.00,"5,254,990.09","5,254,990.09"
0.00,,"SWISS FRANC",,1.12,132.60,148.40
0.00,,EURO,,1.05,"-20,502.74","-21,523.83"
-0.05,,"OTHER PAYABLE & RECEIVABLES",,1.00,"-1,512,680.36","-1,512,680.36"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
