"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 09/30/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.00,BABA,"ALIBABA GRP-ADR",BP41ZD1,106.12,"844,106.00","89,576,528.72"
3.50,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,57.24,"1,371,043.00","78,476,436.15"
3.44,IBM,IBM,2005973,221.08,"348,915.00","77,138,128.20"
3.42,ORCL,"ORACLE CORP",2661568,170.40,"448,884.00","76,489,833.60"
3.36,META,"META PLATFORMS INC",B7TL820,572.44,"131,436.00","75,239,223.84"
3.35,NOW,"SERVICENOW INC",B80NXX8,894.39,"83,908.00","75,046,476.12"
3.29,CSCO,"CISCO SYSTEMS INC",2198163,53.22,"1,385,590.00","73,741,099.80"
3.16,NFLX,"NETFLIX INC",2857817,709.27,"99,916.00","70,867,421.32"
3.07,ACN,"ACCENTURE PLC-CL A",B4BNMY3,353.48,"194,474.00","68,742,669.52"
3.07,CRM,"SALESFORCE INC",2310525,273.71,"250,844.00","68,658,511.24"
3.05,TSLA,"TESLA INC",B616C79,261.63,"260,734.00","68,215,836.42"
3.02,AVGO,"BROADCOM INC",BDZ78H9,172.50,"392,238.00","67,661,055.00"
2.97,AAPL,"APPLE INC",2046251,233.00,"285,501.00","66,521,733.00"
2.87,AMZN,"AMAZON.COM INC",2000019,186.33,"344,606.00","64,210,435.98"
2.84,NVDA,"NVIDIA CORP",2379504,121.44,"523,989.00","63,633,224.16"
2.77,MSFT,"MICROSOFT CORP",2588173,430.30,"144,398.00","62,134,459.40"
2.72,ADBE,"ADOBE INC",2008154,517.78,"117,674.00","60,929,243.72"
2.62,GOOGL,"ALPHABET INC-CL A",BYVY8G0,165.85,"353,335.00","58,600,609.75"
2.57,"SIE GR","SIEMENS AG-REG",5727973,202.38,"284,869.00","57,652,892.19"
2.52,QCOM,"QUALCOMM INC",2714923,170.05,"332,234.00","56,496,391.70"
2.49,UBER,"UBER TECHNOLOGIES INC",BK6N347,75.16,"743,036.00","55,846,585.76"
2.23,"005930 KS","SAMSUNG ELECTRON",6771720,47.03,"1,061,280.00","49,911,080.52"
1.95,"3690 HK","MEITUAN-CLASS B",BGJW376,22.14,"1,968,415.00","43,587,689.73"
1.83,MU,"MICRON TECHNOLOGY INC",2588184,103.71,"394,319.00","40,894,823.49"
1.59,INTC,"INTEL CORP",2463247,23.46,"1,513,772.00","35,513,091.12"
1.54,"000660 KS","SK HYNIX INC",6450267,133.52,"258,831.00","34,558,302.82"
1.54,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,80.14,"430,083.00","34,466,851.62"
1.23,SNPS,"SYNOPSYS INC",2867719,506.39,"54,369.00","27,531,917.91"
1.22,TRI,"THOMSON REUTERS CORP",BNBXPB4,170.60,"160,184.00","27,327,390.40"
1.17,CDNS,"CADENCE DESIGN SYS INC",2302232,271.03,"96,786.00","26,231,909.58"
0.97,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,240.01,"90,924.00","21,822,669.24"
0.94,FTNT,"FORTINET INC",B5B2106,77.55,"270,224.00","20,955,871.20"
0.82,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,244.41,"75,454.00","18,441,712.14"
0.77,TTD,"TRADE DESK INC-A",BD8FDD1,109.65,"157,460.00","17,265,489.00"
0.77,"EXPN LN","EXPERIAN PLC",B19NLV4,52.73,"325,274.00","17,151,144.09"
0.73,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,35.11,"462,580.00","16,241,564.70"
0.68,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,93.85,"161,467.00","15,153,677.95"
0.67,"6702 JP","FUJITSU LIMITED",6356945,20.52,"731,175.00","15,005,342.65"
0.66,"WKL NA","WOLTERS KLUWER",5671519,168.86,"87,992.00","14,858,138.88"
0.56,DDOG,"DATADOG INC - CLASS A",BKT9Y49,115.06,"109,695.00","12,621,506.70"
0.52,EBAY,"EBAY INC",2293819,65.11,"177,293.00","11,543,547.23"
0.48,ROK,"ROCKWELL AUTOMATION INC",2754060,268.46,"40,183.00","10,787,528.18"
0.48,BIDU,"BAIDU INC - SPON ADR",B0FXT17,105.29,"102,093.00","10,749,371.97"
0.48,"5803 JP","FUJIKURA LTD",6356707,33.68,"318,226.00","10,718,770.05"
0.46,"6954 JP","FANUC CORP",6356934,29.29,"353,916.00","10,367,086.41"
0.42,HPE,"HEWLETT PACKA",BYVYWS0,20.46,"462,549.00","9,463,752.54"
0.42,"6701 JP","NEC CORP",6640400,96.13,"96,861.00","9,310,953.23"
0.41,ZS,"ZSCALER INC",BZ00V34,170.94,"53,376.00","9,124,093.44"
0.39,SMCI,"SUPER MICRO COMPUTER INC",BRC3N73,41.64,"207,410.00","8,636,552.40"
0.37,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,7.58,"1,101,529.00","8,349,589.82"
0.37,HUBB,"HUBBELL INC",BDFG6S3,428.35,"19,181.00","8,216,181.35"
0.36,STX,"SEAGATE TECHNOLO",BKVD2N4,109.53,"74,114.00","8,117,706.42"
0.33,G,"GENPACT LTD",B23DBK6,39.21,"190,009.00","7,450,252.89"
0.33,PEGA,"PEGASYSTEMS INC",2675860,73.06,"101,368.00","7,405,946.08"
0.33,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,55.36,"131,852.00","7,299,326.72"
0.32,"4755 JP","RAKUTEN GROUP INC",6229597,6.47,"1,105,455.00","7,153,307.80"
0.32,ZBRA,"ZEBRA TECH CORP",2989356,370.32,"19,250.00","7,128,660.00"
0.32,DOCU,"DOCUSIGN INC",BFYT7B7,62.09,"113,483.00","7,046,159.47"
0.31,CYBR,"CYBERARK SOFTWAR",BQT3XY6,291.61,"24,046.00","7,012,054.06"
0.31,TWLO,"TWILIO INC - A",BD6P5Q0,65.22,"106,052.00","6,916,711.44"
0.31,"6588 JP","TOSHIBA TEC CORP",6894887,24.26,"282,599.00","6,855,554.60"
0.30,DXC,"DXC TECHNOLOGY CO",BYXD7B3,20.75,"322,325.00","6,688,243.75"
0.30,PATH,"UIPATH INC - CLASS A",BMD02L5,12.80,"517,272.00","6,621,081.60"
0.29,"TIETO FH","TIETOEVRY OYJ",5479702,20.70,"312,166.00","6,462,667.46"
0.29,INFA,"INFORMATICA INC - CLASS A",BMG95P4,25.28,"255,572.00","6,460,860.16"
0.28,WIX,"WIX.COM LTD",BFZCHN7,167.17,"37,740.00","6,308,995.80"
0.28,CCCS,"CCC INTELLIGENT",BP4CXL8,11.05,"570,620.00","6,305,351.00"
0.28,AMBA,"AMBARELLA INC",B7KH3G6,56.41,"110,179.00","6,214,646.50"
0.28,"TEMN SW","TEMENOS AG - REG",7147892,70.18,"87,915.00","6,169,839.37"
0.27,"6526 JP","SOCIONEXT INC",BMTVX75,19.83,"305,336.00","6,053,781.43"
0.27,TDC,"TERADATA CORP",B247H10,30.34,"197,152.00","5,981,591.68"
0.26,"2353 TT","ACER INC",6005850,1.29,"4,541,600.00","5,855,221.90"
0.26,"2395 TT","ADVANTECH CO LTD",6202673,10.16,"562,957.00","5,719,137.20"
0.25,"AMP IM","AMPLIFON SPA",B14NJ71,28.81,"197,842.00","5,698,870.58"
0.25,CLS,"CELESTICA INC",BMDLRD5,51.12,"110,256.00","5,636,286.72"
0.25,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,61.72,"90,991.00","5,615,964.52"
0.24,AI,"C3.AI INC-A",BMGNBJ2,24.23,"224,330.00","5,435,515.90"
0.24,SNAP,"SNAP INC - A",BD8DJ71,10.70,"495,185.00","5,298,479.50"
0.24,STNE,"STONECO LTD-A",BGKG6M3,11.26,"468,840.00","5,279,138.40"
0.23,"3443 TT","GLOBAL UNICHIP CORP",B056381,34.76,"147,865.00","5,139,636.29"
0.22,OKTA,"OKTA INC",BDFZSP1,74.34,"66,291.00","4,928,072.94"
0.21,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,62.41,"74,650.00","4,658,769.53"
0.21,VRNT,"VERINT SYSTEMS INC",2849193,25.33,"183,576.00","4,649,980.08"
0.20,VSAT,"VIASAT INC",2946243,11.94,"368,169.00","4,395,937.86"
0.13,,CASH,,1.00,"2,876,294.38","2,876,294.38"
0.01,,"OTHER PAYABLE & RECEIVABLES",,1.00,"203,759.38","203,759.38"
0.00,,"JAPANESE YEN",,0.01,"3,016,571.00","21,089.00"
0.00,,"SWISS FRANC",,1.19,132.60,157.19
0.00,,"KOREAN WON",,0.00,-4.04,0.00
0.00,,"TAIWAN DOLLAR",,0.03,-0.66,-0.02
0.00,,EURO,,1.12,-332.78,-371.40
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
