"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 12/22/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.93,INTC,"INTEL CORP",2463247,48.00,"728,259.00","34,956,432.00"
3.35,META,"META PLATFORMS INC",B7TL820,353.39,"84,185.00","29,750,137.15"
3.34,NOW,"SERVICENOW INC",B80NXX8,697.55,"42,577.00","29,699,586.35"
3.29,AMZN,"AMAZON.COM INC",2000019,153.42,"190,571.00","29,237,402.82"
3.28,GOOGL,"ALPHABET INC-CL A",BYVY8G0,141.49,"206,439.00","29,209,054.11"
3.25,CRM,"SALESFORCE INC",2310525,266.34,"108,561.00","28,914,136.74"
3.25,IBM,IBM,2005973,162.14,"178,080.00","28,873,891.20"
3.21,ADBE,"ADOBE INC",2008154,598.75,"47,642.00","28,525,647.50"
3.21,QCOM,"QUALCOMM INC",2714923,143.49,"198,648.00","28,504,001.52"
3.17,NFLX,"NETFLIX INC",2857817,486.76,"57,949.00","28,207,255.24"
3.14,ACN,"ACCENTURE PLC-CL A",B4BNMY3,354.45,"78,688.00","27,890,961.60"
3.07,NVDA,"NVIDIA CORP",2379504,488.30,"55,898.00","27,294,993.40"
3.06,"SIE GR","SIEMENS AG-REG",5727973,185.10,"147,048.00","27,218,276.15"
3.04,MSFT,"MICROSOFT CORP",2588173,374.58,"72,068.00","26,995,231.44"
2.96,"005930 KS","SAMSUNG ELECTRON",6771720,58.25,"452,312.00","26,347,260.78"
2.81,AAPL,"APPLE INC",2046251,193.60,"129,085.00","24,990,856.00"
2.71,TSLA,"TESLA INC",B616C79,252.54,"95,278.00","24,061,506.12"
2.65,CSCO,"CISCO SYSTEMS INC",2198163,50.09,"470,765.00","23,580,618.85"
2.52,ORCL,"ORACLE CORP",2661568,106.20,"210,579.00","22,363,489.80"
2.47,UBER,"UBER TECHNOLOGIES INC",BK6N347,61.71,"356,082.00","21,973,820.22"
2.29,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,35.06,"581,543.00","20,386,742.84"
2.28,BABA,"ALIBABA GRP-ADR",BP41ZD1,75.28,"268,785.00","20,234,134.80"
1.83,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,76.83,"211,347.00","16,237,790.01"
1.58,SNPS,"SYNOPSYS INC",2867719,524.46,"26,800.00","14,055,528.00"
1.55,"000660 KS","SK HYNIX INC",6450267,107.90,"127,984.00","13,810,092.40"
1.49,CDNS,"CADENCE DESIGN SYS INC",2302232,275.82,"47,925.00","13,218,673.50"
1.29,TRI,"THOMSON REUTERS CORP",BNBXPB4,143.08,"79,918.00","11,434,667.44"
1.18,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,228.95,"45,761.00","10,476,980.95"
1.11,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,272.57,"36,220.00","9,872,485.40"
1.09,"3690 HK","MEITUAN-CLASS B",BGJW376,9.80,"991,715.00","9,719,213.02"
1.07,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,41.43,"230,132.00","9,534,134.13"
0.91,"STMMI IM","STMICROELECTRONICS NV",5962343,50.14,"160,975.00","8,071,263.74"
0.73,"EXPN LN","EXPERIAN PLC",B19NLV4,40.50,"161,253.00","6,530,827.49"
0.72,"WKL NA","WOLTERS KLUWER",5671519,142.28,"45,228.00","6,435,100.76"
0.72,DDOG,"DATADOG INC - CLASS A",BKT9Y49,122.49,"52,202.00","6,394,222.98"
0.70,GEHC,"GE HEALTHCARE TECHNOLOGY",BL6JPG8,77.58,"80,073.00","6,212,063.34"
0.70,ROK,"ROCKWELL AUTOMATION INC",2754060,307.78,"20,147.00","6,200,843.66"
0.65,TTD,"TRADE DESK INC-A",BD8FDD1,73.43,"78,374.00","5,755,002.82"
0.65,BIDU,"BAIDU INC - SPON ADR",B0FXT17,114.74,"49,963.00","5,732,754.62"
0.64,ZS,"ZSCALER INC",BZ00V34,221.68,"25,588.00","5,672,347.84"
0.60,"6702 JP","FUJITSU LIMITED",6356945,146.69,"36,297.00","5,324,409.80"
0.58,"6954 JP","FANUC CORP",6356934,29.18,"177,293.00","5,174,029.25"
0.50,SPLK,"SPLUNK INC",B424494,152.10,"29,176.00","4,437,669.60"
0.46,EBAY,"EBAY INC",2293819,43.82,"94,015.00","4,119,737.30"
0.46,SNAP,"SNAP INC - A",BD8DJ71,17.05,"237,588.00","4,050,875.40"
0.43,HPE,"HEWLETT PACKA",BYVYWS0,17.09,"225,740.00","3,857,896.60"
0.43,INFA,"INFORMATICA INC - CLASS A",BMG95P4,29.01,"132,056.00","3,830,944.56"
0.42,"3661 TT","ALCHIP TECHNOLOGIES LTD",B4TPSL0,108.01,"34,690.00","3,746,784.61"
0.41,WIX,"WIX.COM LTD",BFZCHN7,122.79,"29,616.00","3,636,548.64"
0.40,PATH,"UIPATH INC - CLASS A",BMD02L5,25.41,"140,664.00","3,574,272.24"
0.40,STX,"SEAGATE TECHNOLO",BKVD2N4,85.16,"41,544.00","3,537,887.04"
0.40,CYBR,"CYBERARK SOFTWAR",BQT3XY6,217.64,"16,132.00","3,510,968.48"
0.39,FRSH,"FRESHWORKS INC-CL A",BPF0BB7,23.96,"145,502.00","3,486,227.92"
0.38,STNE,"STONECO LTD-A",BGKG6M3,18.01,"187,826.00","3,382,746.26"
0.38,ERIC,"ERICSSON (LM) TEL-SP ADR",2031730,6.22,"540,639.00","3,362,774.58"
0.36,"2353 TT","ACER INC",6005850,1.45,"2,222,000.00","3,226,017.98"
0.36,OKTA,"OKTA INC",BDFZSP1,89.36,"35,381.00","3,161,646.16"
0.35,HUBB,"HUBBELL INC",BDFG6S3,325.99,"9,432.00","3,074,737.68"
0.34,TWLO,"TWILIO INC - A",BD6P5Q0,76.28,"39,775.00","3,034,037.00"
0.33,"6701 JP","NEC CORP",6640400,57.24,"51,314.00","2,937,016.93"
0.33,BAH,"BOOZ ALLEN HAMIL",B5367T7,127.00,"23,043.00","2,926,461.00"
0.31,SMAR,"SMARTSHEET INC-CLASS A",BFZND98,47.66,"58,157.00","2,771,762.62"
0.30,"TEMN SW","TEMENOS AG - REG",7147892,91.24,"29,349.00","2,677,789.66"
0.30,SMCI,"SUPER MICRO COMPUTER INC",B1VQR35,289.72,"9,241.00","2,677,302.52"
0.29,CCCS,"CCC INTELLIGENT",BP4CXL8,11.43,"227,917.00","2,605,091.31"
0.28,BZ,"KANZHUN LTD - ADR",BM91SH0,15.81,"158,570.00","2,506,991.70"
0.28,"AMP IM","AMPLIFON SPA",B14NJ71,34.72,"71,731.00","2,490,670.69"
0.27,ZBRA,"ZEBRA TECH CORP",2989356,269.41,"9,057.00","2,440,046.37"
0.27,PCOR,"PROCORE TECHNOLOGIES INC",BLH11J8,69.37,"34,644.00","2,403,254.28"
0.27,"TIETO FH","TIETOEVRY OYJ",5479702,23.63,"99,621.00","2,354,323.13"
0.26,IONQ,"IONQ INC",BP484B3,13.64,"171,330.00","2,336,941.20"
0.26,"5803 JP","FUJIKURA LTD",6356707,7.58,"300,779.00","2,280,533.31"
0.26,"2395 TT","ADVANTECH CO LTD",6202673,11.52,"196,657.00","2,265,858.74"
0.25,PEGA,"PEGASYSTEMS INC",2675860,49.73,"45,454.00","2,260,427.42"
0.25,G,"GENPACT LTD",B23DBK6,34.59,"65,185.00","2,254,749.15"
0.25,"3443 TT","GLOBAL UNICHIP CORP",B056381,56.09,"40,200.00","2,254,699.29"
0.25,"XRO AU","XERO LTD",B8P4LP4,74.88,"30,104.00","2,254,286.96"
0.24,"3665 TT","BIZLINK HOLDING INC",B5SG8Y4,8.27,"255,568.00","2,113,249.17"
0.23,VSAT,"VIASAT INC",2946243,26.60,"78,154.00","2,078,896.40"
0.23,DXC,"DXC TECHNOLOGY CO",BYXD7B3,22.82,"88,438.00","2,018,155.16"
0.22,ENV,"ENVESTNET INC",B474ZK7,49.71,"40,086.00","1,992,675.06"
0.22,TDC,"TERADATA CORP",B247H10,44.10,"45,182.00","1,992,526.20"
0.22,"6526 JP","SOCIONEXT INC",BMTVX75,78.70,"25,083.00","1,974,047.52"
0.22,AMBA,"AMBARELLA INC",B7KH3G6,62.66,"31,294.00","1,960,882.04"
0.21,CGNX,"COGNEX CORP",2208288,42.23,"43,560.00","1,839,538.80"
0.20,VRNT,"VERINT SYSTEMS INC",2849193,27.42,"65,611.00","1,799,053.62"
0.17,,CASH,,1.00,"1,523,675.22","1,523,675.22"
0.00,,"JAPANESE YEN",,0.01,"4,407,897.00","30,959.77"
0.00,,"CURRENCY CONTRACT - HKD",,0.00,"-11,976.27",0.00
0.00,,"CURRENCY CONTRACT - HKD",,0.00,"-31,933.11",0.00
0.00,,"CURRENCY CONTRACT - HKD",,0.00,"-216,502.90",0.00
0.00,,"CURRENCY CONTRACT - HKD",,0.00,"-82,798.86",0.00
0.00,,"CURRENCY CONTRACT - HKD",,0.00,"93,533.59",-9.33
0.00,,"CURRENCY CONTRACT - HKD",,0.00,"249,394.66",-24.89
0.00,,"CURRENCY CONTRACT - HKD",,0.00,"646,593.66",-71.93
0.00,,"CURRENCY CONTRACT - HKD",,0.00,"1,690,716.50",-188.10
0.00,,EURO,,1.10,-332.77,-366.46
-0.01,,"TAIWAN DOLLAR",,0.03,"-3,030,384.08","-97,123.03"
-0.03,,"OTHER PAYABLE & RECEIVABLES",,1.00,"-261,926.38","-261,926.38"
-0.05,,"KOREAN WON",,0.00,"-560,896,713.00","-430,465.63"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
