"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 07/31/2025",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.34,AMD,"ADVANCED MICRO DEVICES",2007849,176.31,"804,417.00","141,826,761.27"
3.26,META,"META PLATFORMS INC",B7TL820,773.44,"178,840.00","138,322,009.60"
3.22,"005930 KS","SAMSUNG ELECTRON",6771720,51.49,"2,652,578.00","136,569,129.80"
3.17,MSFT,"MICROSOFT CORP",2588173,533.50,"252,294.00","134,598,849.00"
3.16,ORCL,"ORACLE CORP",2661568,253.77,"527,490.00","133,861,137.30"
3.13,NVDA,"NVIDIA CORP",2379504,177.87,"747,256.00","132,914,424.72"
3.12,AVGO,"BROADCOM INC",BDZ78H9,293.70,"449,802.00","132,106,847.40"
3.09,AMZN,"AMAZON.COM INC",2000019,234.11,"558,989.00","130,864,914.79"
3.08,PLTR,"PALANTIR TECHN-A",BN78DQ4,158.35,"825,270.00","130,681,504.50"
3.04,GOOGL,"ALPHABET INC-CL A",BYVY8G0,191.90,"670,854.00","128,736,882.60"
3.03,TSM,"TAIWAN SEMIC-ADR",2113382,241.62,"530,982.00","128,295,870.84"
3.00,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,70.06,"1,815,418.00","127,194,891.72"
2.99,CSCO,"CISCO SYSTEMS INC",2198163,68.08,"1,859,648.00","126,604,835.84"
2.96,NFLX,"NETFLIX INC",2857817,"1,159.40","108,404.00","125,683,597.60"
2.96,BABA,"ALIBABA GRP-ADR",BP41ZD1,120.63,"1,041,027.00","125,579,087.01"
2.92,AAPL,"APPLE INC",2046251,207.57,"595,896.00","123,690,132.72"
2.91,CRM,"SALESFORCE INC",2310525,258.33,"477,514.00","123,356,191.62"
2.79,TSLA,"TESLA INC",B616C79,308.27,"383,672.00","118,274,567.44"
2.70,IBM,IBM,2005973,253.15,"452,504.00","114,551,387.60"
2.23,"SIE GR","SIEMENS AG-REG",5727973,257.41,"367,602.00","94,623,719.31"
2.12,NOW,"SERVICENOW INC",B80NXX8,943.12,"95,241.00","89,823,691.92"
1.99,UBER,"UBER TECHNOLOGIES INC",BK6N347,87.75,"961,369.00","84,360,129.75"
1.80,ACN,"ACCENTURE PLC-CL A",B4BNMY3,267.10,"286,318.00","76,475,537.80"
1.75,QCOM,"QUALCOMM INC",2714923,146.76,"504,757.00","74,078,137.32"
1.65,ADBE,"ADOBE INC",2008154,357.69,"195,029.00","69,759,923.01"
1.61,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,122.21,"559,918.00","68,427,578.78"
1.56,"000660 KS","SK HYNIX INC",6450267,197.22,"335,844.00","66,234,016.44"
1.32,MU,"MICRON TECHNOLOGY INC",2588184,109.14,"514,301.00","56,130,811.14"
1.30,APP,"APPLOVIN CORP-CLASS A",BMV3LG4,390.70,"141,392.00","55,241,854.40"
1.27,SNPS,"SYNOPSYS INC",2867719,633.47,"85,036.00","53,867,754.92"
