"Global X Artificial Intelligence & Technology ETF",,,,,,
"Fund Holdings Data as of 02/01/2024",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
4.35,,"OTHER PAYABLE & RECEIVABLES",,1.00,"47,394,714.13","47,394,714.13"
3.46,NFLX,"NETFLIX INC",2857817,567.51,"66,365.00","37,662,801.15"
3.22,IBM,IBM,2005973,186.90,"187,759.00","35,092,157.10"
3.16,NVDA,"NVIDIA CORP",2379504,630.27,"54,544.00","34,377,446.88"
3.15,ADBE,"ADOBE INC",2008154,627.91,"54,686.00","34,337,886.26"
3.10,ORCL,"ORACLE CORP",2661568,115.53,"292,017.00","33,736,724.01"
3.08,CRM,"SALESFORCE INC",2310525,283.80,"117,989.00","33,485,278.20"
3.07,META,"META PLATFORMS INC",B7TL820,394.78,"84,778.00","33,468,658.84"
3.07,NOW,"SERVICENOW INC",B80NXX8,771.00,"43,343.00","33,417,453.00"
3.06,AMZN,"AMAZON.COM INC",2000019,159.28,"209,299.00","33,337,144.72"
3.04,MSFT,"MICROSOFT CORP",2588173,403.78,"81,863.00","33,054,642.14"
3.02,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,34.73,"944,943.00","32,822,185.98"
3.01,ACN,"ACCENTURE PLC-CL A",B4BNMY3,370.91,"88,286.00","32,746,160.26"
2.95,"005930 KS","SAMSUNG ELECTRON",6771720,55.26,"581,384.00","32,129,345.55"
2.94,BABA,"ALIBABA GRP-ADR",BP41ZD1,72.46,"441,133.00","31,964,497.18"
2.94,AVGO,"BROADCOM INC",BDZ78H9,"1,200.01","26,626.00","31,951,466.26"
2.91,CSCO,"CISCO SYSTEMS INC",2198163,50.18,"630,831.00","31,655,099.58"
2.89,GOOGL,"ALPHABET INC-CL A",BYVY8G0,141.16,"222,967.00","31,474,021.72"
2.87,AAPL,"APPLE INC",2046251,186.86,"167,284.00","31,258,688.24"
2.76,QCOM,"QUALCOMM INC",2714923,141.11,"212,692.00","30,012,968.12"
2.71,TSLA,"TESLA INC",B616C79,188.86,"156,089.00","29,478,968.54"
2.67,INTC,"INTEL CORP",2463247,43.36,"670,633.00","29,078,646.88"
2.54,"SIE GR","SIEMENS AG-REG",5727973,180.37,"153,289.00","27,648,292.64"
2.40,UBER,"UBER TECHNOLOGIES INC",BK6N347,66.73,"391,108.00","26,098,636.84"
1.66,MU,"MICRON TECHNOLOGY INC",2588184,85.61,"210,710.00","18,038,883.10"
1.62,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,76.72,"230,484.00","17,682,732.48"
1.44,SNPS,"SYNOPSYS INC",2867719,540.00,"29,077.00","15,701,580.00"
1.38,CDNS,"CADENCE DESIGN SYS INC",2302232,290.52,"51,595.00","14,989,379.40"
1.27,"000660 KS","SK HYNIX INC",6450267,99.64,"138,466.00","13,796,694.85"
1.20,TRI,"THOMSON REUTERS CORP",BNBXPB4,151.64,"86,282.00","13,083,802.48"
1.08,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,294.00,"39,903.00","11,731,482.00"
0.96,NXPI,"NXP SEMICONDUCTORS NV",B505PN7,213.01,"49,146.00","10,468,589.46"
0.89,FTNT,"FORTINET INC",B5B2106,66.45,"146,413.00","9,729,143.85"
